h3_id,indicator,value_baseline,value_optimized,delta
89a8100c533ffff,S_saude,10.19,10.19,0.0
89a8100c533ffff,S_educacao,3.11,3.676849,0.5668489999999999
89a8100c533ffff,S_abastecimento,11.59,11.59,0.0
89a8100c533ffff,S_lazer,39.43,40.008327,0.5783270000000016
89a8100c533ffff,S_servicos,28.4,28.4,0.0
89a8100c533ffff,I_seguranca,414.68,414.68,0.0
89a8100c533ffff,A_vegetacao,4.91,4.91,0.0
89a8100c533ffff,A_agua,0.03,0.03,0.0
89a8100c533ffff,C_conectividade,9.53,9.53,0.0
89a8100c533ffff,T_transporte,12.33,12.33,0.0
89a8100c533ffff,U_urbanidade,2.89,3.509735,0.6197349999999999
89a8100c507ffff,S_saude,11.52,11.644169999999999,0.12416999999999945
89a8100c507ffff,S_educacao,4.11,5.101734,0.9917340000000001
89a8100c507ffff,S_abastecimento,13.46,13.46,0.0
89a8100c507ffff,S_lazer,52.53,53.513478,0.9834779999999981
89a8100c507ffff,S_servicos,40.15,40.15,0.0
89a8100c507ffff,I_seguranca,384.03,384.03,0.0
89a8100c507ffff,A_vegetacao,3.57,3.57,0.0
89a8100c507ffff,A_agua,0.02,0.02,0.0
89a8100c507ffff,C_conectividade,9.16,9.16,0.0
89a8100c507ffff,T_transporte,13.03,13.03,0.0
89a8100c507ffff,U_urbanidade,2.1,3.95983,1.85983
89a8100c53bffff,S_saude,10.56,10.564847,0.004846999999999824
89a8100c53bffff,S_educacao,4.75,6.530639,1.7806389999999999
89a8100c53bffff,S_abastecimento,12.38,12.38,0.0
89a8100c53bffff,S_lazer,44.45,44.868485,0.4184849999999969
89a8100c53bffff,S_servicos,36.93,36.93,0.0
89a8100c53bffff,I_seguranca,318.64,318.64,0.0
89a8100c53bffff,A_vegetacao,4.15,4.15,0.0
89a8100c53bffff,A_agua,0.03,0.03,0.0
89a8100c53bffff,C_conectividade,7.93,7.93,0.0
89a8100c53bffff,T_transporte,16.6,16.6,0.0
89a8100c53bffff,U_urbanidade,6.49,6.75588,0.2658800000000001
89a8100c523ffff,S_saude,8.32,8.32,0.0
89a8100c523ffff,S_educacao,4.47,5.018835999999999,0.5488359999999997
89a8100c523ffff,S_abastecimento,9.95,9.95,0.0
89a8100c523ffff,S_lazer,52.47,52.686876999999996,0.21687699999999666
89a8100c523ffff,S_servicos,37.38,37.38,0.0
89a8100c523ffff,I_seguranca,382.16,382.16,0.0
89a8100c523ffff,A_vegetacao,6.36,6.36,0.0
89a8100c523ffff,A_agua,0.04,0.04,0.0
89a8100c523ffff,C_conectividade,8.64,8.64,0.0
89a8100c523ffff,T_transporte,15.75,15.75,0.0
89a8100c523ffff,U_urbanidade,8.53,8.530171,0.00017099999999992122
89a8100c537ffff,S_saude,8.19,8.19,0.0
89a8100c537ffff,S_educacao,3.62,3.70662,0.08661999999999992
89a8100c537ffff,S_abastecimento,9.83,9.83127,0.0012699999999998823
89a8100c537ffff,S_lazer,52.52,52.527824,0.007823999999999387
89a8100c537ffff,S_servicos,28.06,28.06,0.0
89a8100c537ffff,I_seguranca,358.36,358.36,0.0
89a8100c537ffff,A_vegetacao,5.14,5.14,0.0
89a8100c537ffff,A_agua,0.03,0.03,0.0
89a8100c537ffff,C_conectividade,7.49,7.49,0.0
89a8100c537ffff,T_transporte,16.4,16.4,0.0
89a8100c537ffff,U_urbanidade,3.91,3.982713,0.0727129999999998
89a8100c5afffff,S_saude,12.93,12.93,0.0
89a8100c5afffff,S_educacao,3.17,3.995196,0.825196
89a8100c5afffff,S_abastecimento,10.19,10.22562,0.03561999999999976
89a8100c5afffff,S_lazer,36.2,36.503113000000006,0.3031130000000033
89a8100c5afffff,S_servicos,21.82,21.82,0.0
89a8100c5afffff,I_seguranca,429.03,429.03,0.0
89a8100c5afffff,A_vegetacao,3.6,3.6,0.0
89a8100c5afffff,A_agua,0.02,0.02,0.0
89a8100c5afffff,C_conectividade,9.82,9.82,0.0
89a8100c5afffff,T_transporte,10.32,10.32,0.0
89a8100c5afffff,U_urbanidade,0.11,1.3154990000000002,1.205499
89a8100c5abffff,S_saude,13.43,13.430113,0.00011300000000069588
89a8100c5abffff,S_educacao,4.98,5.691444000000001,0.7114440000000002
89a8100c5abffff,S_abastecimento,13.59,13.59,0.0
89a8100c5abffff,S_lazer,48.87,49.544571,0.6745710000000003
89a8100c5abffff,S_servicos,30.49,30.49,0.0
89a8100c5abffff,I_seguranca,447.6,447.6,0.0
89a8100c5abffff,A_vegetacao,2.54,2.54,0.0
89a8100c5abffff,A_agua,0.01,0.01,0.0
89a8100c5abffff,C_conectividade,10.96,10.96,0.0
89a8100c5abffff,T_transporte,12.36,12.36,0.0
89a8100c5abffff,U_urbanidade,0.01,1.783503,1.773503
89a8100c517ffff,S_saude,8.65,8.744628,0.09462800000000016
89a8100c517ffff,S_educacao,4.15,4.881176,0.7311759999999996
89a8100c517ffff,S_abastecimento,9.55,9.55,0.0
89a8100c517ffff,S_lazer,38.18,38.521671,0.34167099999999806
89a8100c517ffff,S_servicos,24.15,24.178338,0.02833800000000153
89a8100c517ffff,I_seguranca,313.09,313.09,0.0
89a8100c517ffff,A_vegetacao,1.21,1.21,0.0
89a8100c517ffff,A_agua,0.0,0.0,0.0
89a8100c517ffff,C_conectividade,8.43,8.43,0.0
89a8100c517ffff,T_transporte,8.74,8.74,0.0
89a8100c517ffff,U_urbanidade,0.0,1.5585349999999998,1.5585349999999998
89a8100c503ffff,S_saude,13.7,14.277209,0.5772089999999999
89a8100c503ffff,S_educacao,7.13,8.023464,0.8934640000000007
89a8100c503ffff,S_abastecimento,14.72,14.72,0.0
89a8100c503ffff,S_lazer,65.37,65.90283600000001,0.5328360000000032
89a8100c503ffff,S_servicos,51.73,51.73,0.0
89a8100c503ffff,I_seguranca,385.61,385.61,0.0
89a8100c503ffff,A_vegetacao,1.32,1.32,0.0
89a8100c503ffff,A_agua,0.01,0.01,0.0
89a8100c503ffff,C_conectividade,9.39,9.39,0.0
89a8100c503ffff,T_transporte,13.14,13.14,0.0
89a8100c503ffff,U_urbanidade,1.16,3.2146549999999996,2.0546549999999995
89a8100c50fffff,S_saude,15.14,15.511127,0.37112699999999954
89a8100c50fffff,S_educacao,6.74,8.607424,1.8674239999999998
89a8100c50fffff,S_abastecimento,16.06,16.06,0.0
89a8100c50fffff,S_lazer,56.63,57.092674,0.4626739999999998
