h3_id,dimension,quantity
89a8100c0a7ffff,S_educacao,2
89a8100c0a7ffff,U_urbanidade,1
89a8100c0b7ffff,U_urbanidade,2
89a8100c153ffff,U_urbanidade,1
89a8100c1a7ffff,S_educacao,1
89a8100c1d3ffff,U_urbanidade,3
89a8100c50bffff,U_urbanidade,1
89a8100c50fffff,S_educacao,1
89a8100c513ffff,U_urbanidade,1
89a8100c523ffff,U_urbanidade,1
89a8100c53bffff,S_educacao,1
89a8100c547ffff,S_educacao,1
89a8100c557ffff,S_educacao,1
89a8100c557ffff,U_urbanidade,2
89a8100c56fffff,U_urbanidade,2
89a8100c573ffff,U_urbanidade,4
89a8100c587ffff,S_educacao,1
89a8100c597ffff,U_urbanidade,1
89a8100c59bffff,U_urbanidade,2
89a8100c5a7ffff,S_educacao,2
89a8100c5a7ffff,U_urbanidade,1
89a8100c5abffff,S_educacao,1
89a8100c5b3ffff,S_educacao,3
89a8100c5b7ffff,S_educacao,1
89a8100c5b7ffff,U_urbanidade,1
89a8100c5bbffff,U_urbanidade,1
89a8100c5c3ffff,U_urbanidade,2
89a8100c5c7ffff,U_urbanidade,4
89a8100c5cbffff,S_educacao,2
89a8100c5cfffff,U_urbanidade,1
89a8100e327ffff,U_urbanidade,2
89a8100e36fffff,U_urbanidade,1
89a8100ea1bffff,U_urbanidade,3
89a8100ea43ffff,U_urbanidade,1
89a8100ea4bffff,S_educacao,2
89a8100ea53ffff,U_urbanidade,1
89a8100ea5bffff,U_urbanidade,1
89a8100eac3ffff,U_urbanidade,1
89a8100eacbffff,U_urbanidade,1
89a8100eacfffff,U_urbanidade,1
89a8100ead3ffff,S_educacao,1
89a8100ead3ffff,U_urbanidade,3
89a8100ead7ffff,U_urbanidade,1
89a8100ee0bffff,S_educacao,1
89a8100ee0fffff,U_urbanidade,1
89a8100ee1bffff,U_urbanidade,2
89a8100ee43ffff,U_urbanidade,1
89a8100ee47ffff,S_educacao,2
89a8100ee47ffff,U_urbanidade,1
89a8100ee4bffff,S_educacao,1
89a8100ee4bffff,U_urbanidade,1
89a8100ee53ffff,S_educacao,4
89a8100ee57ffff,S_educacao,1
89a8100ee57ffff,U_urbanidade,2
89a8100ee5bffff,S_educacao,2
89a8100ee5bffff,U_urbanidade,1
89a8100ee63ffff,S_educacao,1
89a8100ee63ffff,U_urbanidade,1
89a8100ee67ffff,U_urbanidade,1
89a8100ee6fffff,U_urbanidade,3
89a8100ee73ffff,U_urbanidade,2
89a8100ee7bffff,S_educacao,1
89a8100ee7bffff,U_urbanidade,2
89a8100eec7ffff,S_educacao,1
89a8100eecbffff,S_educacao,1
