seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,improvement_iterations,stopping_reason,best_alpha,mean_rcl_size,construction_best_objective_value,seed_dir,profile_total_runtime_s,profile_construction_total_s,profile_candidate_eval_total_s,profile_local_search_total_s,profile_evaluation_total_s,profile_evaluation_calls,profile_evaluation_avg_s,profile_local_search_calls
182,54.796299999999995,60.924299999999995,6.920799999999993,12.815465664262486,199,12557,34.42298526130617,8,max_no_improve,0.3471353519143472,257.149648241206,58.180200000000006,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_000182,34.42298526130617,2.0959650268778205,0.5015840977430344,31.815002834424376,30.99141910020262,12557,0.0024680591781637826,199
57,58.6254,60.090199999999996,6.086699999999993,11.270936143027756,159,10487,29.64578315615654,3,max_no_improve,0.29522566890396473,234.64138364779876,58.467400000000005,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_000057,29.64578315615654,1.7233075723052025,0.4134025415405631,27.501223418861628,26.771037152037024,10487,0.0025527831746006507,159
7217,58.063100000000006,60.2538,6.250299999999996,11.573879470775033,171,10955,30.528236027806997,6,max_no_improve,0.5456387639655693,280.67619883040936,58.6676,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_007217,30.528236027806997,1.8339811274781823,0.44017062708735466,28.24512481316924,27.516668452881277,10955,0.0025117908218056846,171
395,49.6805,60.8902,6.886699999999998,12.75232160878461,171,10853,29.70528520923108,7,max_no_improve,0.3200384879856992,275.5622222222222,58.674800000000005,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_000395,29.70528520923108,1.812430060468614,0.4334127828478813,27.449698415584862,26.725929433479905,10853,0.0024625384164267856,171
2949,56.2066,60.2254,6.221899999999998,11.52129028674067,206,13041,37.42478317208588,4,max_no_improve,0.3109173813042392,290.2944660194175,57.965999999999994,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_002949,37.42478317208588,2.304125632159412,0.5532860206440091,34.55718491598964,33.67835382651538,13041,0.002582497801281756,206
2177,55.2272,60.23910000000001,6.235600000000005,11.546659012841769,157,10122,30.67460574489087,5,max_no_improve,0.59328659881164,284.9387261146496,58.31660000000001,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_002177,30.67460574489087,1.8965814169496298,0.45185718685388565,28.31765913683921,27.585082415491343,10122,0.002725260068710862,157
4854,57.76259999999999,59.6318,5.628299999999996,10.422102271149084,90,5676,15.391578377224505,3,max_no_improve,0.29820635748042734,331.34922222222224,57.9559,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_004854,15.391578377224505,0.9441810147836804,0.22150832880288363,14.220628728158772,13.82296366803348,5676,0.002435335389012241,90
1356,55.8714,60.3181,6.314599999999999,11.692945827585245,246,15836,49.21809227578342,6,max_no_improve,0.331815573511682,253.03817073170734,58.003,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_001356,49.21809227578342,2.99302810523659,0.700893372297287,45.51329746749252,44.37468756828457,15836,0.002802139907065204,246
3557,58.799,60.1164,6.112899999999996,11.319451517031297,233,14896,45.1444923337549,6,max_no_improve,0.33556302625533707,288.95141630901287,58.648300000000006,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_003557,45.1444923337549,3.006738499738276,0.6444339565932751,41.48138997517526,40.33766587264836,14896,0.00270795286470518,233
3801,57.003699999999995,59.9516,5.948099999999997,11.014286111085386,96,6164,17.40871080290526,4,max_no_improve,0.6734689113940135,284.695,57.593199999999996,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_003801,17.40871080290526,1.0179978888481855,0.25967605132609606,16.125579702667892,15.694935557432473,6164,0.00254622575558606,96
9674,57.74040000000001,60.394400000000005,6.390900000000002,11.83423296638181,112,7209,19.61035381257534,6,max_no_improve,0.5633718638614956,272.76178571428574,57.8839,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_009674,19.61035381257534,1.1575609780848026,0.2804520707577467,18.16584800183773,17.66053058579564,7209,0.0024497892337072605,112
516,49.4622,60.047,6.0434999999999945,11.190941327876887,195,12271,34.387193472124636,11,max_no_improve,0.31524418910888474,325.1936923076923,57.9016,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_000516,34.387193472124636,2.1281943088397384,0.5020079677924514,31.74743849877268,30.93520049471408,12271,0.0025210007737522682,195
4089,58.13029999999999,59.8892,5.8857,10.898738044756357,85,5549,15.576606878079474,2,max_no_improve,0.30787110128824624,266.5021176470588,58.465599999999995,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_004089,15.576606878079474,0.9158070022240281,0.22313622385263443,14.432058504782617,14.034267275594175,5549,0.002529152509568242,85
4937,55.7623,60.3539,6.3504000000000005,11.759237827177868,93,5718,15.987408257089555,4,max_no_improve,0.35282778259288783,289.42172043010754,58.39959999999999,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_004937,15.987408257089555,0.9820900913327932,0.23759716004133224,14.758359801955521,14.366727783344686,5718,0.0025125442083498927,93
9998,57.466100000000004,60.29129999999999,6.28779999999999,11.643319414482377,134,8251,22.65482601430267,7,max_no_improve,0.46767421199224246,275.2416417910448,58.0398,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_009998,22.65482601430267,1.3981821928173304,0.3425882076844573,20.905871930532157,20.378095449879766,8251,0.0024697728093418694,134
3129,59.220699999999994,60.791999999999994,6.788499999999992,12.570481542862948,105,6734,19.432604361325502,3,max_no_improve,0.2637280207174595,294.99485714285714,58.1362,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_003129,19.432604361325502,1.169856476597488,0.2802054788917303,17.97676592040807,17.49465878587216,6734,0.0025979594276614435,105
2887,57.265899999999995,60.442099999999996,6.438599999999994,11.92256057477755,226,14788,43.043371389620006,5,max_no_improve,0.7698961875906764,280.1748672566372,58.2779,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_002887,43.043371389620006,2.578374797478318,0.608446660451591,39.84583302587271,38.813731268048286,14788,0.002624677526916979,226
7411,57.6523,59.51669999999999,5.5131999999999906,10.208967937263306,86,5616,15.08691221754998,2,max_no_improve,0.37046032116956573,287.93627906976747,58.048500000000004,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_007411,15.08691221754998,0.8868256825953722,0.21464508585631847,13.979705791920424,13.590370586141944,5616,0.0024199377824326825,86
3764,57.046400000000006,60.575500000000005,6.572000000000003,12.16958160119252,99,6315,17.3531257500872,4,max_no_improve,0.6652080441901137,262.3230303030303,57.979,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_003764,17.3531257500872,1.0352940810844302,0.2493276558816433,16.062154213897884,15.623175443150103,6315,0.002473978692501996,99
6307,59.6186,60.292899999999996,6.289399999999993,11.646282185413897,99,6500,17.475574822165072,2,max_no_improve,0.33143511082433685,309.30151515151516,58.7804,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/athlete/dataset_hex177_impacts4998/run_20260704_231657_budget100_seeds100/seed_runs/seed_006307,17.475574822165072,1.0289220856502652,0.24977936409413815,16.191680737771094,15.760336942970753,6500,0.0024246672219955002,99
