h3_id,dimension,quantity
89a8100c037ffff,U_urbanidade,2
89a8100c0a3ffff,U_urbanidade,2
89a8100c0a7ffff,U_urbanidade,1
89a8100c0b3ffff,U_urbanidade,1
89a8100c0b7ffff,U_urbanidade,1
89a8100c11bffff,U_urbanidade,1
89a8100c157ffff,S_educacao,1
89a8100c1a3ffff,U_urbanidade,2
89a8100c1b7ffff,U_urbanidade,1
89a8100c1d3ffff,U_urbanidade,1
89a8100c4a3ffff,S_educacao,1
89a8100c4a3ffff,U_urbanidade,3
89a8100c4a7ffff,U_urbanidade,1
89a8100c4abffff,U_urbanidade,1
89a8100c4b7ffff,U_urbanidade,3
89a8100c50bffff,U_urbanidade,1
89a8100c50fffff,U_urbanidade,2
89a8100c52bffff,U_urbanidade,1
89a8100c533ffff,U_urbanidade,4
89a8100c53bffff,U_urbanidade,1
89a8100c547ffff,U_urbanidade,2
89a8100c54bffff,U_urbanidade,1
89a8100c563ffff,U_urbanidade,1
89a8100c56fffff,U_urbanidade,2
89a8100c573ffff,U_urbanidade,1
89a8100c57bffff,U_urbanidade,3
89a8100c587ffff,U_urbanidade,2
89a8100c597ffff,U_urbanidade,2
89a8100c59bffff,U_urbanidade,1
89a8100c5a3ffff,U_urbanidade,3
89a8100c5afffff,U_urbanidade,1
89a8100c5b3ffff,U_urbanidade,1
89a8100c5cbffff,U_urbanidade,1
89a8100e363ffff,U_urbanidade,1
89a8100e36fffff,U_urbanidade,2
89a8100ea13ffff,U_urbanidade,1
89a8100ea17ffff,U_urbanidade,1
89a8100ea1bffff,U_urbanidade,1
89a8100ea53ffff,U_urbanidade,2
89a8100ea57ffff,U_urbanidade,1
89a8100ea77ffff,U_urbanidade,1
89a8100ea8fffff,U_urbanidade,2
89a8100eacbffff,U_urbanidade,2
89a8100ead7ffff,U_urbanidade,3
89a8100ee03ffff,U_urbanidade,1
89a8100ee0bffff,U_urbanidade,1
89a8100ee0fffff,U_urbanidade,1
89a8100ee13ffff,U_urbanidade,2
89a8100ee1bffff,U_urbanidade,3
89a8100ee43ffff,S_educacao,3
89a8100ee43ffff,U_urbanidade,2
89a8100ee47ffff,U_urbanidade,2
89a8100ee4fffff,U_urbanidade,1
89a8100ee53ffff,U_urbanidade,1
89a8100ee57ffff,U_urbanidade,1
89a8100ee63ffff,U_urbanidade,1
89a8100ee67ffff,U_urbanidade,2
89a8100ee6fffff,U_urbanidade,1
89a8100ee73ffff,U_urbanidade,1
89a8100ee7bffff,U_urbanidade,2
89a8100ee8bffff,U_urbanidade,3
89a8100eec7ffff,U_urbanidade,1
89a8100eecbffff,U_urbanidade,1
89a8100eecfffff,S_educacao,1
