seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,improvement_iterations,stopping_reason,best_alpha,mean_rcl_size,construction_best_objective_value,seed_dir,profile_total_runtime_s,profile_construction_total_s,profile_candidate_eval_total_s,profile_local_search_total_s,profile_evaluation_total_s,profile_evaluation_calls,profile_evaluation_avg_s,profile_local_search_calls
182,37.1734,44.734899999999996,6.055700000000002,15.656218329231221,106,6731,10.706755916588008,7,max_no_improve,0.6401811016973334,171.6874528301887,43.4492,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/elderly/dataset_hex177_impacts1328/run_20260704_231618_budget100_seeds100/seed_runs/seed_000182,10.706755916588008,1.3384245755150914,0.1592384958639741,9.20370988547802,8.578622519038618,6731,0.0012744945058741075,106
57,43.047200000000004,44.5751,5.895900000000005,15.243076382138218,243,16078,24.186029938980937,5,max_no_improve,0.48124412482242074,191.1818106995885,42.837,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/elderly/dataset_hex177_impacts1328/run_20260704_231618_budget100_seeds100/seed_runs/seed_000057,24.186029938980937,3.0062889829277992,0.30305476672947407,20.86697161849588,19.385550818406045,16078,0.0012057190458020926,243
7217,39.627900000000004,44.610299999999995,5.931100000000001,15.33408136672941,124,7747,12.092674006707966,4,max_no_improve,0.5360253139733147,186.32266129032257,43.6838,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/elderly/dataset_hex177_impacts1328/run_20260704_231618_budget100_seeds100/seed_runs/seed_007217,12.092674006707966,1.5136360321193933,0.16448452975600958,10.408652171492577,9.764165317639709,7747,0.0012603801881553773,124
395,37.7457,45.56529999999999,6.886099999999999,17.80310864754183,219,13855,20.758644395507872,8,max_no_improve,0.4991749897076453,188.68940639269405,43.896699999999996,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/elderly/dataset_hex177_impacts1328/run_20260704_231618_budget100_seeds100/seed_runs/seed_000395,20.758644395507872,2.6584354396909475,0.28107813373208046,17.80996251385659,16.559704459272325,13855,0.0011952150457793089,219
2949,40.4621,44.6051,5.925900000000006,15.320637448551176,85,5332,8.60139175131917,3,max_no_improve,0.49522238996822565,198.81741176470587,43.0145,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/elderly/dataset_hex177_impacts1328/run_20260704_231618_budget100_seeds100/seed_runs/seed_002949,8.60139175131917,1.064281389117241,0.12300941254943609,7.409754700027406,6.965964617207646,5332,0.0013064449769706764,85
2177,38.0988,45.3784,6.699200000000005,17.31990320378913,106,6613,9.579663556069136,5,max_no_improve,0.5588618030249557,226.51537735849055,43.7907,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/elderly/dataset_hex177_impacts1328/run_20260704_231618_budget100_seeds100/seed_runs/seed_002177,9.579663556069136,1.2192507553845644,0.13732296787202358,8.217528488487005,7.693737806752324,6613,0.0011634262523442195,106
4854,38.1235,44.053799999999995,5.374600000000001,13.895323584769077,87,5052,8.054031506180763,4,max_no_improve,0.5091355971314958,176.32678160919542,42.8014,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/elderly/dataset_hex177_impacts1328/run_20260704_231618_budget100_seeds100/seed_runs/seed_004854,8.054031506180763,1.1057232720777392,0.12331752479076385,6.819672171957791,6.3323613200336695,5052,0.0012534365241555164,87
1356,36.9944,44.5886,5.909400000000005,15.27797886202405,188,12153,18.227868818677962,7,max_no_improve,0.6714108324064046,172.82164893617022,43.1057,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/elderly/dataset_hex177_impacts1328/run_20260704_231618_budget100_seeds100/seed_runs/seed_001356,18.227868818677962,2.2639604937285185,0.23114551976323128,15.723899433389306,14.632438510656357,12153,0.0012040186382503378,188
3557,40.8476,44.7981,6.118900000000004,15.819613642474518,105,6553,9.24738365598023,4,max_no_improve,0.6651761212276339,211.87114285714287,43.0753,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/elderly/dataset_hex177_impacts1328/run_20260704_231618_budget100_seeds100/seed_runs/seed_003557,9.24738365598023,1.174569196999073,0.12557290215045214,7.942184361629188,7.420017572119832,6553,0.0011323084956691336,105
3801,42.6783,45.1139,6.4347000000000065,16.63607313491491,159,10158,18.746598643250763,7,max_no_improve,0.4985598266886683,207.9361006289308,43.3547,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/av_paulista/elderly/dataset_hex177_impacts1328/run_20260704_231618_budget100_seeds100/seed_runs/seed_003801,18.746598643250763,2.4558159317821264,0.2518069911748171,16.031656492501497,14.931309178471565,10158,0.001469906396778063,159
