h3_id,dimension,quantity
89a8ac8926bffff,U_urbanidade,1
89a8ac8926fffff,S_abastecimento,1
89a8ac89347ffff,T_transporte,1
89a8ac8934bffff,T_transporte,1
89a8ac8934fffff,T_transporte,1
89a8ac89353ffff,S_abastecimento,1
89a8ac89357ffff,S_abastecimento,1
89a8ac8935bffff,T_transporte,1
89a8ac8935bffff,U_urbanidade,1
89a8ac8936bffff,T_transporte,2
89a8ac8937bffff,S_lazer,1
89a8acc6103ffff,S_abastecimento,1
89a8acc610fffff,U_urbanidade,1
89a8acc6113ffff,U_urbanidade,1
89a8acc6117ffff,T_transporte,1
89a8acc612bffff,T_transporte,1
89a8acc613bffff,T_transporte,1
89a8acc616fffff,U_urbanidade,2
89a8acc6173ffff,U_urbanidade,1
89a8acc6177ffff,U_urbanidade,1
89a8acc61b7ffff,S_abastecimento,2
89a8acc61b7ffff,U_urbanidade,1
89a8acc6817ffff,S_abastecimento,1
89a8acc681bffff,U_urbanidade,3
89a8acc6857ffff,S_abastecimento,1
89a8acc6883ffff,U_urbanidade,1
89a8acc689bffff,U_urbanidade,1
89a8acc68bbffff,S_abastecimento,1
89a8acc68c3ffff,S_abastecimento,2
89a8acc68c3ffff,U_urbanidade,1
89a8acc68c7ffff,T_transporte,2
89a8acc68cfffff,T_transporte,1
89a8acc68d3ffff,S_abastecimento,1
89a8acc6c03ffff,T_transporte,1
89a8acc6c07ffff,U_urbanidade,1
89a8acc6c0fffff,S_lazer,1
89a8acc6c13ffff,U_urbanidade,1
89a8acc6c1bffff,T_transporte,1
89a8acc6c27ffff,S_abastecimento,1
89a8acc6c33ffff,S_abastecimento,1
89a8acc6c33ffff,T_transporte,1
89a8acc6c47ffff,S_abastecimento,1
89a8acc6c47ffff,U_urbanidade,2
89a8acc6c6bffff,T_transporte,1
89a8acc6c73ffff,U_urbanidade,1
89a8acc6c7bffff,T_transporte,1
89a8acc6c83ffff,T_transporte,1
89a8acc6c97ffff,T_transporte,1
89a8acc6c97ffff,U_urbanidade,1
89a8acc6ca7ffff,S_abastecimento,1
89a8acc6cabffff,U_urbanidade,1
89a8acc6cbbffff,S_abastecimento,1
89a8acc6cbbffff,U_urbanidade,1
89a8acc6cc3ffff,T_transporte,1
89a8acc6cc7ffff,U_urbanidade,1
89a8acc6cd3ffff,S_abastecimento,1
89a8acc6cd7ffff,S_abastecimento,1
89a8acc6cd7ffff,U_urbanidade,1
89a8acc6cdbffff,T_transporte,1
89a8acc6d43ffff,S_abastecimento,1
89a8acc6d43ffff,U_urbanidade,1
89a8acc6d47ffff,T_transporte,1
89a8acc6d4bffff,U_urbanidade,1
89a8acc6d4fffff,S_abastecimento,1
89a8acc6d4fffff,U_urbanidade,1
89a8acc6d57ffff,S_abastecimento,1
89a8acc6dcbffff,U_urbanidade,1
89a8acc6dd3ffff,S_abastecimento,1
89a8acc6ddbffff,T_transporte,2
89a8acc6ddbffff,U_urbanidade,1
89a8acc6e03ffff,T_transporte,2
89a8acc6e0bffff,S_abastecimento,1
89a8acc6e0fffff,U_urbanidade,2
89a8acc6e17ffff,U_urbanidade,1
89a8acc6e27ffff,T_transporte,1
89a8acc6e2bffff,S_abastecimento,1
89a8acc6e2fffff,S_servicos,1
89a8acc6e67ffff,U_urbanidade,1
89a8acc6e77ffff,T_transporte,1
89a8acc6e77ffff,U_urbanidade,1
89a8acc6e8bffff,S_abastecimento,1
89a8acc6e9bffff,S_abastecimento,1
89a8acc6e9bffff,T_transporte,1
89a8acc6ea3ffff,S_abastecimento,1
89a8acc6ea3ffff,U_urbanidade,1
89a8acc6eabffff,T_transporte,1
89a8acc6ec7ffff,U_urbanidade,1
89a8acc6ed7ffff,T_transporte,1
89a8acc6ed7ffff,U_urbanidade,1
