seed,iter,eval_count,elapsed_s,alpha_used,rcl_size_mean,construction_sum_iqc,after_ls_sum_iqc,best_sum_iqc,delta_vs_baseline,delta_vs_best_prev,improved,no_improve_streak,local_search_accepted_moves,t_construction_s,t_candidate_eval_s,t_local_search_s,t_iter_total_s
7946,1,53,0.07708804681897163,0.11928501560456362,9.0,23.1862,24.524499999999996,24.524499999999996,1.7718999999999951,,True,0,25,0.014007599093019962,0.0026649916544556618,0.05983242020010948,0.0765971802175045
7946,2,119,0.16383867524564266,0.7965188735500636,500.46,28.2012,28.861600000000003,28.861600000000003,6.109000000000002,4.337100000000007,True,0,25,0.01214350014925003,0.0010776296257972717,0.0733385169878602,0.08659433666616678
7946,3,194,0.261627946048975,0.5162356668250511,167.19,26.4752,29.2975,29.2975,6.544899999999998,0.4358999999999966,True,0,25,0.011275000870227814,0.0010017678141593933,0.0853918781504035,0.0976939583197236
7946,4,250,0.33765413518995047,0.675272236742891,342.07,28.1896,30.6329,30.6329,7.880299999999998,1.3354,True,0,25,0.011447249911725521,0.000994018279016018,0.06346732378005981,0.07593375071883202
7946,5,332,0.44322413578629494,0.4773043706652478,132.08,25.7403,26.3988,30.6329,7.880299999999998,0.0,False,1,25,0.011132672429084778,0.0010320674628019333,0.09331336989998817,0.10549925081431866
7946,6,401,0.5301492093130946,0.2645970665194427,46.13,24.0357,25.7213,30.6329,7.880299999999998,0.0,False,2,25,0.01108065340667963,0.0010604122653603554,0.07474929559975863,0.08691173885017633
7946,7,485,0.637254430912435,0.5721857077900717,207.57,26.534100000000002,30.0716,30.6329,7.880299999999998,0.0,False,3,25,0.011080567725002766,0.0010399417951703072,0.09495269507169724,0.10709329880774021
7946,8,579,0.7518884129822254,0.22405853555168231,34.07,24.1807,25.4548,30.6329,7.880299999999998,0.0,False,4,25,0.010771921835839748,0.0010282499715685844,0.10280093736946583,0.11462184134870768
7946,9,664,0.8590327547863126,0.22653897339818085,36.75,25.1415,26.8005,30.6329,7.880299999999998,0.0,False,5,25,0.01078385766595602,0.0010361643508076668,0.09529084339737892,0.10713215358555317
7946,10,765,0.9869685117155313,0.5227235440807323,166.91,28.0383,29.422600000000003,30.6329,7.880299999999998,0.0,False,6,25,0.011236249469220638,0.0010934751480817795,0.11557432170957327,0.12792364414781332
7946,11,819,1.0615666480734944,0.9539709278177955,938.45,26.0826,27.8188,30.6329,7.880299999999998,0.0,False,7,25,0.013090488500893116,0.0010187700390815735,0.060407708398997784,0.07453738898038864
7946,12,882,1.145470056682825,0.7082334620967584,371.35,28.2432,29.282000000000004,30.6329,7.880299999999998,0.0,False,8,25,0.011557196266949177,0.0010679420083761215,0.07124618627130985,0.08389151748269796
7946,13,974,1.261995448730886,0.8718525882115843,598.51,29.119999999999997,31.5882,31.5882,8.8356,0.9553000000000011,True,0,25,0.0116499038413167,0.0010256515815854073,0.1037993673235178,0.1165007371455431
7946,14,1078,1.3894165018573403,0.6487171570399748,323.26,28.285,29.8983,31.5882,8.8356,0.0,False,1,25,0.011479887180030346,0.0010803425684571266,0.11474121082574129,0.1273212693631649
7946,15,1155,1.4866658439859748,0.46622262312753204,143.85,25.031099999999995,28.048299999999998,31.5882,8.8356,0.0,False,2,25,0.010967627167701721,0.0009509939700365067,0.08529917802661657,0.09723783284425735
7946,16,1200,1.5495495721697807,0.9235267110368672,827.36,27.222199999999994,28.805500000000002,31.5882,8.8356,0.0,False,3,25,0.011617654003202915,0.0010325433686375618,0.050203935243189335,0.06287187896668911
7946,17,1277,1.6482813013717532,0.1401295910316639,15.03,23.794,24.934599999999996,31.5882,8.8356,0.0,False,4,25,0.010579535737633705,0.0010610781610012054,0.08706290647387505,0.09872223995625973
7946,18,1357,1.758907288312912,0.5951554237995955,247.03,27.0469,29.683099999999996,31.5882,8.8356,0.0,False,5,25,0.012154183350503445,0.0012683235108852386,0.09715468436479568,0.11060111876577139
7946,19,1451,1.8865357441827655,0.26537817808143593,45.43,24.732300000000002,27.094,31.5882,8.8356,0.0,False,6,25,0.012425469234585762,0.0012211203575134277,0.11394584365189075,0.12761607114225626
7946,20,1516,1.976387893781066,0.16141482728966583,23.53,23.3801,24.480399999999996,31.5882,8.8356,0.0,False,7,25,0.010433451272547245,0.0011183954775333405,0.07825953513383865,0.08983681909739971
7946,21,1568,2.0565079171210527,0.9292906854064273,755.61,28.2825,30.2269,31.5882,8.8356,0.0,False,8,25,0.012310120277106762,0.0011343518272042274,0.0664253868162632,0.08005410898476839
7946,22,1653,2.1747832410037518,0.26400698274468193,48.42,24.841,26.103099999999998,31.5882,8.8356,0.0,False,9,25,0.012490582652390003,0.001095600426197052,0.10453864093869925,0.11816800199449062
7946,23,1714,2.263547409325838,0.713577031745509,384.28,27.5134,29.3535,31.5882,8.8356,0.0,False,10,25,0.013714401051402092,0.0012286948040127754,0.07379109971225262,0.08875351119786501
7946,24,1767,2.3436486748978496,0.9836968771371986,1029.13,27.052699999999998,27.7187,31.5882,8.8356,0.0,False,11,25,0.014867983758449554,0.0012199077755212784,0.06398382876068354,0.08009030018001795
7946,25,1891,2.509918227791786,0.5280311345398482,183.82,28.2546,30.2061,31.5882,8.8356,0.0,False,12,25,0.013065595179796219,0.0012248381972312927,0.15192212536931038,0.16623148135840893
7946,26,1953,2.601378219202161,0.9848851492322913,1074.83,26.5662,27.2476,31.5882,8.8356,0.0,False,13,25,0.014948082156479359,0.0012031765654683113,0.0752789480611682,0.09144894778728485
7946,27,2012,2.6816148832440376,0.9575091300131413,948.55,27.134700000000002,30.3087,31.5882,8.8356,0.0,False,14,25,0.013135809451341629,0.0011398140341043472,0.0659289238974452,0.08022616244852543
7946,28,2066,2.7549659637734294,0.7695339129709777,463.3,30.6687,33.6868,33.6868,10.934199999999997,2.0985999999999976,True,0,25,0.011545006185770035,0.0010629305616021156,0.06069914624094963,0.07333444617688656
7946,29,2128,2.8371197609230876,0.8021012978068637,485.87,27.817300000000003,30.668300000000002,33.6868,10.934199999999997,0.0,False,1,25,0.011533400975167751,0.0010758237913250923,0.06940334849059582,0.08203327935189009
7946,30,2194,2.923523078672588,0.14018267365788195,14.97,23.9078,25.2339,33.6868,10.934199999999997,0.0,False,2,25,0.010819355957210064,0.0010628476738929749,0.0744864335283637,0.08639030624181032
7946,31,2304,3.0675341254100204,0.4377505855672973,119.23,26.1791,28.262100000000004,33.6868,10.934199999999997,0.0,False,3,25,0.01112646609544754,0.0010508885607123375,0.13150517269968987,0.14387247525155544
7946,32,2386,3.1728582810610533,0.8557620784080829,528.08,28.1648,30.336600000000004,33.6868,10.934199999999997,0.0,False,4,25,0.012691782787442207,0.0010714968666434288,0.09142244420945644,0.10521572083234787
7946,33,2459,3.26683821156621,0.14056977034899187,16.02,24.098799999999997,25.5696,33.6868,10.934199999999997,0.0,False,5,25,0.010704666376113892,0.0010849544778466225,0.08214913122355938,0.09395948704332113
7946,34,2563,3.3968796422705054,0.5918021079545259,236.58,26.639699999999998,30.2602,33.6868,10.934199999999997,0.0,False,6,25,0.011769875884056091,0.0010057920590043068,0.1172329057008028,0.13002988509833813
7946,35,2611,3.4620240973308682,0.12964533737370543,11.21,23.937900000000003,24.833199999999998,33.6868,10.934199999999997,0.0,False,7,25,0.01047053374350071,0.0010123029351234436,0.05362899508327246,0.06513318791985512
7946,36,2734,3.6143320063129067,0.36747080369159424,85.48,25.814199999999996,26.9544,33.6868,10.934199999999997,0.0,False,8,25,0.010989982634782791,0.001027512364089489,0.14025895111262798,0.15229672100394964
7946,37,2788,3.6878348672762513,0.08240786755679108,7.8,23.1334,23.932999999999996,33.6868,10.934199999999997,0.0,False,9,25,0.011029290966689587,0.0011186040937900543,0.06132358033210039,0.0734918974339962
7946,38,2847,3.7657865518704057,0.7636249314205165,458.31,26.6448,28.0464,33.6868,10.934199999999997,0.0,False,10,25,0.011560395359992981,0.000994870439171791,0.06536362320184708,0.07793940789997578
7946,39,2898,3.8368744561448693,0.9369020297548601,744.59,29.271600000000003,31.151300000000003,33.6868,10.934199999999997,0.0,False,11,25,0.012311757542192936,0.0009944504126906395,0.05774989817291498,0.07107667531818151
7946,40,2955,3.9134603310376406,0.2675446282249757,44.78,24.1199,26.454,33.6868,10.934199999999997,0.0,False,12,25,0.010942932218313217,0.0011267093941569328,0.06448603887110949,0.07657533325254917
7946,41,3046,4.026653710752726,0.7043449801221303,390.15,28.9255,31.629599999999996,33.6868,10.934199999999997,0.0,False,13,25,0.011591143906116486,0.000998716801404953,0.10049430560320616,0.11310607939958572
7946,42,3126,4.128907474689186,0.9176594807762867,714.56,28.2763,30.282399999999996,33.6868,10.934199999999997,0.0,False,14,25,0.012045030482113361,0.0009811175987124443,0.08919467590749264,0.10224139038473368
7946,43,3252,4.284321007318795,0.2566712969447166,42.77,24.732799999999997,26.203699999999998,33.6868,10.934199999999997,0.0,False,15,25,0.010737973265349865,0.001011035405099392,0.1436179280281067,0.15538791846483946
7946,44,3373,4.439418924972415,0.4870152062027795,156.91,28.8191,31.607,33.6868,10.934199999999997,0.0,False,16,25,0.01110152993351221,0.001093451865017414,0.14286926668137312,0.15508616901934147
7946,45,3447,4.535422807559371,0.5864222321673015,241.99,25.924499999999995,27.462700000000005,33.6868,10.934199999999997,0.0,False,17,25,0.011292260140180588,0.0011235624551773071,0.08355310652405024,0.09599092230200768
7946,46,3523,4.632694435305893,0.32934325300690803,70.34,25.757600000000004,27.3277,33.6868,10.934199999999997,0.0,False,18,25,0.010869406163692474,0.0011069448664784431,0.0852631526067853,0.09726013243198395
7946,47,3579,4.706494794227183,0.023432637893732067,1.65,23.794000000000004,24.0652,33.6868,10.934199999999997,0.0,False,19,25,0.010758626274764538,0.001018483191728592,0.0619901567697525,0.07378880400210619
7946,48,3633,4.779924939386547,0.5040757526597156,173.03,26.120899999999995,27.454700000000003,33.6868,10.934199999999997,0.0,False,20,25,0.011528474278748035,0.0010996926575899124,0.060769698582589626,0.07341889385133982
7946,49,3710,4.877777008339763,0.6119517202726542,315.06,27.4521,29.525800000000004,33.6868,10.934199999999997,0.0,False,21,25,0.011505483649671078,0.0010613910853862762,0.08525334298610687,0.0978403789922595
7946,50,3787,4.977479319088161,0.4156360538525067,99.86,25.661899999999996,26.686999999999998,33.6868,10.934199999999997,0.0,False,22,25,0.010889346711337566,0.0010025063529610634,0.08778135944157839,0.09969228133559227
7946,51,3922,5.141550095751882,0.4815312915669132,143.35,25.822400000000002,27.018700000000003,33.6868,10.934199999999997,0.0,False,23,25,0.011036311276257038,0.0009472062811255455,0.15201204922050238,0.164014988578856
7946,52,3984,5.223812001757324,0.6255699186989401,294.08,25.751099999999997,27.904699999999995,33.6868,10.934199999999997,0.0,False,24,25,0.011266924440860748,0.0011018840596079826,0.06986171752214432,0.08225034084171057
