h3_id,dimension,quantity
89a8100c087ffff,U_urbanidade,1
89a8100c093ffff,U_urbanidade,1
89a8100c097ffff,U_urbanidade,2
89a8100c407ffff,U_urbanidade,1
89a8100c40bffff,U_urbanidade,1
89a8100c413ffff,U_urbanidade,2
89a8100c41bffff,U_urbanidade,1
89a8100c43bffff,U_urbanidade,1
89a8100c443ffff,U_urbanidade,2
89a8100c447ffff,S_educacao,1
89a8100c44bffff,U_urbanidade,2
89a8100c44fffff,S_educacao,1
89a8100c453ffff,U_urbanidade,1
89a8100c457ffff,U_urbanidade,2
89a8100c45bffff,U_urbanidade,1
89a8100c47bffff,U_urbanidade,1
89a8100c483ffff,U_urbanidade,3
89a8100c487ffff,U_urbanidade,2
89a8100c48bffff,U_urbanidade,1
89a8100c48fffff,U_urbanidade,1
89a8100c4a3ffff,U_urbanidade,2
89a8100c4abffff,U_urbanidade,2
89a8100c4b3ffff,U_urbanidade,1
89a8100c4c3ffff,U_urbanidade,2
89a8100c4cfffff,U_urbanidade,2
89a8100c4d7ffff,U_urbanidade,2
89a8100c4dbffff,U_urbanidade,2
89a8100c54bffff,U_urbanidade,1
89a8100c557ffff,U_urbanidade,1
89a8100c58bffff,U_urbanidade,1
89a8100c5c3ffff,U_urbanidade,1
89a8100c5c7ffff,U_urbanidade,1
89a8100c5cfffff,U_urbanidade,3
89a8100c5dbffff,U_urbanidade,2
89a8100c6b7ffff,U_urbanidade,3
89a8100e207ffff,U_urbanidade,1
89a8100e20fffff,U_urbanidade,2
89a8100e223ffff,U_urbanidade,2
89a8100e22bffff,U_urbanidade,3
89a8100e22fffff,U_urbanidade,1
89a8100e237ffff,U_urbanidade,1
89a8100e23bffff,U_urbanidade,1
89a8100e247ffff,U_urbanidade,1
89a8100e24fffff,U_urbanidade,2
89a8100e267ffff,U_urbanidade,1
89a8100e26bffff,U_urbanidade,3
89a8100e273ffff,U_urbanidade,4
89a8100e277ffff,U_urbanidade,1
89a8100e27bffff,U_urbanidade,1
89a8100e31bffff,U_urbanidade,2
89a8100e32fffff,U_urbanidade,1
89a8100e333ffff,U_urbanidade,1
89a8100e343ffff,U_urbanidade,1
89a8100e347ffff,U_urbanidade,2
89a8100e35bffff,U_urbanidade,1
89a8100e363ffff,U_urbanidade,3
89a8100e367ffff,U_urbanidade,2
89a8100e36fffff,U_urbanidade,1
89a8100e373ffff,U_urbanidade,2
89a8100e37bffff,U_urbanidade,1
89a8100e38bffff,U_urbanidade,1
89a8100e38fffff,U_urbanidade,1
89a8100e3c3ffff,U_urbanidade,1
89a8100f1a7ffff,U_urbanidade,1
89a8100f1b3ffff,U_urbanidade,1
