seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,improvement_iterations,stopping_reason,best_alpha,mean_rcl_size,construction_best_objective_value,seed_dir,profile_total_runtime_s,profile_construction_total_s,profile_candidate_eval_total_s,profile_local_search_total_s,profile_evaluation_total_s,profile_evaluation_calls,profile_evaluation_avg_s,profile_local_search_calls
182,43.3909,52.4656,9.924500000000002,23.329203993314703,111,8220,21.46607183199376,7,max_no_improve,0.5494112198540336,200.78333333333333,48.2877,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260704_231947_budget100_seeds100/seed_runs/seed_000182,21.46607183199376,1.1253302143886685,0.2722431402653456,20.062129195779562,19.486037904396653,8220,0.0023705642219460647,111
57,49.9815,52.85980000000001,10.318700000000007,24.255837296167726,142,11520,30.721661169081926,4,max_no_improve,0.6688321215128373,200.66169014084505,49.632099999999994,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260704_231947_budget100_seeds100/seed_runs/seed_000057,30.721661169081926,1.4733837386593223,0.35403453651815653,28.886560023762286,28.02290890365839,11520,0.002432544175664791,142
7217,47.1073,54.2971,11.756,27.63445232962946,134,10267,26.813152047805488,4,max_no_improve,0.8033180784097249,217.69828358208954,49.6073,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260704_231947_budget100_seeds100/seed_runs/seed_007217,26.813152047805488,1.3502180492505431,0.32501296047121286,25.130774404853582,24.384562046267092,10267,0.00237504256805952,134
395,42.69330000000001,52.857600000000005,10.316500000000005,24.250665826694668,206,15138,40.70230982918292,8,max_no_improve,0.7687104264511316,203.5401941747573,49.431,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260704_231947_budget100_seeds100/seed_runs/seed_000395,40.70230982918292,2.183535407297313,0.5155497128143907,37.9922682447359,36.88638707716018,15138,0.0024366750612472045,206
2949,46.3999,52.585,10.0439,23.60987374562482,110,8615,22.64567150361836,7,max_no_improve,0.584762783642068,172.92009090909087,49.5061,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260704_231947_budget100_seeds100/seed_runs/seed_002949,22.64567150361836,1.136790200136602,0.275488780811429,21.227223581634462,20.60483625996858,8615,0.002391739554262168,110
2177,43.4804,52.733799999999995,10.192699999999995,23.959653135438423,119,9335,24.417637310922146,3,max_no_improve,0.7057266969606043,175.52176470588233,49.8511,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260704_231947_budget100_seeds100/seed_runs/seed_002177,24.417637310922146,1.2153235068544745,0.29173632338643074,22.904200522229075,22.22662645112723,9335,0.0023809990842128797,119
4854,45.05629999999999,53.1548,10.613700000000001,24.94928433914497,83,6498,17.195433957502246,3,max_no_improve,0.7110050776394663,185.34807228915662,49.372299999999996,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260704_231947_budget100_seeds100/seed_runs/seed_004854,17.195433957502246,0.8630855232477188,0.20727119594812393,16.119722764007747,15.63737199921161,6498,0.0024064899968008016,83
1356,43.2008,53.7084,11.167299999999997,26.25061411199992,118,9273,24.295857707969844,3,max_no_improve,0.7139159463477825,176.60228813559323,50.9905,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260704_231947_budget100_seeds100/seed_runs/seed_001356,24.295857707969844,1.205421194434166,0.29269498959183693,22.7907674908638,22.11369753535837,9273,0.0023847403790961254,118
3557,47.7104,53.647000000000006,11.105900000000005,26.106283100342978,157,11532,31.21111423149705,7,max_no_improve,0.6119396848104803,185.47388535031848,51.192099999999996,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260704_231947_budget100_seeds100/seed_runs/seed_003557,31.21111423149705,1.6651520347222686,0.3971500201150775,29.139551335945725,28.29281503893435,11532,0.0024534178840560483,157
3801,49.0568,51.9564,9.415300000000002,22.132243877097682,111,7993,21.049672536551952,5,max_no_improve,0.8359373941257761,219.81324324324322,49.5539,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260704_231947_budget100_seeds100/seed_runs/seed_003801,21.049672536551952,1.1187156913802028,0.26881161890923977,19.65596051234752,19.073989500291646,7993,0.002386336732177111,111
