h3_id,dimension,quantity
89a8100c09bffff,U_urbanidade,1
89a8100c0d3ffff,U_urbanidade,2
89a8100c0dbffff,U_urbanidade,4
89a8100c413ffff,U_urbanidade,1
89a8100c41bffff,S_educacao,1
89a8100c433ffff,U_urbanidade,1
89a8100c443ffff,U_urbanidade,1
89a8100c447ffff,S_educacao,1
89a8100c44fffff,S_educacao,1
89a8100c44fffff,U_urbanidade,2
89a8100c453ffff,U_urbanidade,1
89a8100c457ffff,S_educacao,2
89a8100c457ffff,U_urbanidade,3
89a8100c46bffff,U_urbanidade,1
89a8100c47bffff,S_educacao,3
89a8100c483ffff,U_urbanidade,1
89a8100c48fffff,U_urbanidade,1
89a8100c493ffff,U_urbanidade,1
89a8100c497ffff,U_urbanidade,3
89a8100c49bffff,U_urbanidade,2
89a8100c4a3ffff,U_urbanidade,3
89a8100c4bbffff,U_urbanidade,2
89a8100c4c7ffff,U_urbanidade,1
89a8100c4cbffff,U_urbanidade,3
89a8100c4cfffff,U_urbanidade,2
89a8100c4dbffff,U_urbanidade,1
89a8100c503ffff,U_urbanidade,1
89a8100c50fffff,U_urbanidade,2
89a8100c513ffff,U_urbanidade,2
89a8100c517ffff,U_urbanidade,1
89a8100c533ffff,S_educacao,1
89a8100c543ffff,S_educacao,1
89a8100c58bffff,U_urbanidade,1
89a8100c58fffff,U_urbanidade,1
89a8100c59bffff,U_urbanidade,2
89a8100c5c3ffff,U_urbanidade,1
89a8100c5c7ffff,U_urbanidade,1
89a8100c5cbffff,U_urbanidade,1
89a8100c5d7ffff,U_urbanidade,2
89a8100c6a7ffff,U_urbanidade,1
89a8100c6b7ffff,U_urbanidade,1
89a8100e227ffff,U_urbanidade,1
89a8100e22fffff,S_educacao,1
89a8100e22fffff,U_urbanidade,2
89a8100e237ffff,U_urbanidade,1
89a8100e243ffff,U_urbanidade,2
89a8100e247ffff,U_urbanidade,1
89a8100e24fffff,U_urbanidade,2
89a8100e263ffff,U_urbanidade,2
89a8100e267ffff,U_urbanidade,2
89a8100e26bffff,U_urbanidade,1
89a8100e273ffff,U_urbanidade,1
89a8100e27bffff,U_urbanidade,2
89a8100e2afffff,U_urbanidade,1
89a8100e343ffff,U_urbanidade,1
89a8100e34bffff,U_urbanidade,2
89a8100e357ffff,U_urbanidade,1
89a8100e35bffff,U_urbanidade,1
89a8100e363ffff,U_urbanidade,2
89a8100e367ffff,U_urbanidade,1
89a8100e36bffff,U_urbanidade,3
89a8100e373ffff,U_urbanidade,1
89a8100e383ffff,U_urbanidade,1
89a8100e3c3ffff,S_educacao,1
89a8100e3c3ffff,U_urbanidade,1
89a8100e3dbffff,S_educacao,1
89a8100f1b7ffff,U_urbanidade,1
