h3_id,dimension,quantity
89a8100c08fffff,S_abastecimento,1
89a8100c09bffff,S_abastecimento,1
89a8100c0d7ffff,S_abastecimento,1
89a8100c41bffff,U_urbanidade,1
89a8100c433ffff,U_urbanidade,1
89a8100c443ffff,S_educacao,1
89a8100c443ffff,U_urbanidade,2
89a8100c447ffff,S_educacao,1
89a8100c447ffff,U_urbanidade,3
89a8100c44fffff,S_abastecimento,3
89a8100c44fffff,S_educacao,3
89a8100c44fffff,U_urbanidade,1
89a8100c457ffff,U_urbanidade,1
89a8100c467ffff,S_abastecimento,1
89a8100c46bffff,U_urbanidade,2
89a8100c473ffff,U_urbanidade,1
89a8100c47bffff,S_educacao,2
89a8100c47bffff,U_urbanidade,1
89a8100c483ffff,S_educacao,1
89a8100c48fffff,S_educacao,2
89a8100c48fffff,U_urbanidade,1
89a8100c497ffff,U_urbanidade,2
89a8100c49bffff,U_urbanidade,2
89a8100c4a3ffff,S_educacao,3
89a8100c4cfffff,U_urbanidade,3
89a8100c50bffff,U_urbanidade,5
89a8100c547ffff,S_educacao,1
89a8100c557ffff,S_educacao,1
89a8100c5bbffff,S_educacao,1
89a8100c5c3ffff,S_abastecimento,1
89a8100c5c7ffff,U_urbanidade,2
89a8100c5cfffff,U_urbanidade,1
89a8100c6a7ffff,U_urbanidade,1
89a8100c6b7ffff,U_urbanidade,1
89a8100e20fffff,S_educacao,1
89a8100e223ffff,S_abastecimento,1
89a8100e223ffff,S_educacao,2
89a8100e22fffff,S_abastecimento,2
89a8100e22fffff,U_urbanidade,3
89a8100e233ffff,S_abastecimento,1
89a8100e233ffff,U_urbanidade,1
89a8100e237ffff,U_urbanidade,1
89a8100e23bffff,S_abastecimento,1
89a8100e23bffff,U_urbanidade,1
89a8100e243ffff,S_abastecimento,1
89a8100e24fffff,U_urbanidade,3
89a8100e267ffff,S_abastecimento,2
89a8100e2afffff,U_urbanidade,3
89a8100e30bffff,S_educacao,1
89a8100e317ffff,U_urbanidade,1
89a8100e347ffff,S_educacao,3
89a8100e347ffff,U_urbanidade,1
89a8100e373ffff,S_abastecimento,1
89a8100e373ffff,S_educacao,2
89a8100e373ffff,U_urbanidade,1
89a8100e37bffff,U_urbanidade,2
89a8100e383ffff,U_urbanidade,1
89a8100e3c3ffff,U_urbanidade,2
89a8100e3cbffff,U_urbanidade,1
89a8100e3cfffff,S_educacao,1
89a8100e3cfffff,U_urbanidade,3
89a8100e3d7ffff,U_urbanidade,1
89a8100e3dbffff,U_urbanidade,1
