seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,improvement_iterations,stopping_reason,best_alpha,mean_rcl_size,construction_best_objective_value,seed_dir,profile_total_runtime_s,profile_construction_total_s,profile_candidate_eval_total_s,profile_local_search_total_s,profile_evaluation_total_s,profile_evaluation_calls,profile_evaluation_avg_s,profile_local_search_calls
182,32.0612,37.3279,4.881,15.043039550773727,207,14497,20.72870460152626,7,max_no_improve,0.40894069738128225,328.97787439613535,36.237399999999994,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260704_231910_budget100_seeds100/seed_runs/seed_000182,20.72870460152626,2.4519237959757447,0.24545286782085896,18.021364523097873,16.761133051477373,14497,0.001156179419981884,207
57,36.1962,37.902,5.455100000000002,16.812391938829293,86,5939,8.638680780306458,3,max_no_improve,0.4457401338619983,297.31337209302325,35.65560000000001,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260704_231910_budget100_seeds100/seed_runs/seed_000057,8.638680780306458,1.0487756906077266,0.10599000193178654,7.479584351181984,6.9420586777850986,5939,0.0011688935305245157,86
7217,33.806200000000004,37.0789,4.631999999999998,14.275631878546173,269,19269,27.975441589951515,7,max_no_improve,0.39319630843086883,303.92156133828996,35.856,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260704_231910_budget100_seeds100/seed_runs/seed_007217,27.975441589951515,3.298842598684132,0.329296562820673,24.336701510474086,22.556505759246647,19269,0.00117061112456519,269
395,30.604499999999998,36.5291,4.0822,12.581171082599571,96,7119,9.909601151943207,5,max_no_improve,0.4486525075081913,278.93822916666664,35.548,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260704_231910_budget100_seeds100/seed_runs/seed_000395,9.909601151943207,1.1034849379211664,0.11290164943784475,8.688106245361269,8.079930963926017,7119,0.0011349811720643374,96
2949,34.663199999999996,37.4705,5.023600000000002,15.482526836153845,150,10788,14.77666810899973,6,max_no_improve,0.4481177566952236,359.651,35.7875,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260704_231910_budget100_seeds100/seed_runs/seed_002949,14.77666810899973,1.6972197880968451,0.17052222415804863,12.90120246913284,12.01350481621921,10788,0.0011135988891563969,150
2177,31.387700000000002,36.822100000000006,4.375200000000007,13.484184929839236,156,10857,15.08384470269084,7,max_no_improve,0.46048998776678796,303.79012820512827,35.50769999999999,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260704_231910_budget100_seeds100/seed_runs/seed_002177,15.08384470269084,1.756868738681078,0.1856519067659974,13.133185646496713,12.23198563233018,10857,0.0011266450798867256,156
4854,32.9922,36.8869,4.439999999999998,13.68389584212975,124,8818,12.286442633718252,8,max_no_improve,0.5496528269132408,325.55225806451614,35.684200000000004,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260704_231910_budget100_seeds100/seed_runs/seed_004854,12.286442633718252,1.4066907307133079,0.14132990594953299,10.732399426400661,9.995389051735401,8818,0.001133521099085439,124
1356,31.7267,37.0231,4.5762,14.103658592962656,183,12853,18.194622633047402,6,max_no_improve,0.4550126187558502,320.46513661202187,35.9178,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260704_231910_budget100_seeds100/seed_runs/seed_001356,18.194622633047402,2.1505099907517433,0.21704611647874117,15.818510021083057,14.69637601915747,12853,0.0011434199034589176,183
3557,33.9247,36.974000000000004,4.527100000000004,13.952334429483262,130,9538,13.236673703417182,5,max_no_improve,0.41850090874661827,312.3176153846154,36.205799999999996,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260704_231910_budget100_seeds100/seed_runs/seed_003557,13.236673703417182,1.4913293393328786,0.14853926189243793,11.590805388987064,10.786355178803205,9538,0.001130882279178361,130
3801,35.8754,37.0126,4.5657,14.071298028471132,285,20051,28.853111180476844,7,max_no_improve,0.45578481791335523,322.7701754385965,36.2948,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260704_231910_budget100_seeds100/seed_runs/seed_003801,28.853111180476844,3.4550130404531956,0.3416892047971487,25.045680589042604,23.246707319281995,20051,0.0011593789496425113,285
