h3_id,dimension,quantity
891f99cc367ffff,S_educacao,1
891f99cc36bffff,S_educacao,1
891f99cc36fffff,S_educacao,1
891f99cca5bffff,T_transporte,1
891f99ccacbffff,S_educacao,1
891f99ccad3ffff,S_educacao,1
891f99cd807ffff,T_transporte,1
891f99cd80bffff,S_educacao,1
891f99cd82fffff,S_educacao,1
891f99cd833ffff,S_educacao,2
891f99cd837ffff,T_transporte,1
891f99cd847ffff,S_educacao,1
891f99cd88bffff,T_transporte,1
891f99cd897ffff,S_educacao,1
891f99cd89bffff,S_educacao,1
891f99cd8a7ffff,S_educacao,1
891f99cd8abffff,S_educacao,1
891f99cd8bbffff,T_transporte,1
891f99cd8d7ffff,S_educacao,1
891f99cd943ffff,S_educacao,1
891f99cd953ffff,S_educacao,1
891f99cd957ffff,S_educacao,1
891f99cd95bffff,S_educacao,1
891f99cd987ffff,S_educacao,2
891f99cd98bffff,S_educacao,1
891f99cd98fffff,S_educacao,1
891f99cd993ffff,S_educacao,1
891f99cd99bffff,S_educacao,1
891f99cd99bffff,T_transporte,2
891f99cd9c3ffff,S_educacao,1
891f99cd9c7ffff,S_educacao,1
891f99cd9cbffff,S_educacao,1
891f99cd9cfffff,S_educacao,3
891f99cd9cfffff,T_transporte,1
891f99cdb97ffff,T_transporte,1
891f99cdc17ffff,S_educacao,1
891f99cdc33ffff,S_educacao,1
891f99cdc37ffff,T_transporte,4
891f99cdc3bffff,T_transporte,1
891f99cdc6bffff,S_educacao,1
891f99cdca3ffff,S_educacao,1
891f99cdca7ffff,S_educacao,2
891f99cdcabffff,S_educacao,1
891f99cdcafffff,S_educacao,1
891f99cdcb3ffff,S_educacao,1
891f99cdcb7ffff,S_educacao,1
891f99cdcbbffff,S_educacao,1
891f99cdd03ffff,S_educacao,1
891f99cdd0bffff,T_transporte,1
891f99cdd0fffff,S_educacao,1
891f99cdd0fffff,T_transporte,2
891f99cdd23ffff,T_transporte,2
891f99cdd2bffff,S_educacao,2
891f99cdd33ffff,T_transporte,1
891f99cdd3bffff,S_educacao,2
891f99cdd5bffff,T_transporte,2
891f99cdd6bffff,S_educacao,2
891f99cdd7bffff,S_educacao,1
891f99cdd87ffff,S_educacao,1
891f99cdd8fffff,S_educacao,1
891f99cdd9bffff,S_educacao,1
891f99cdda3ffff,S_educacao,1
891f99cddafffff,S_educacao,1
891f99cddafffff,T_transporte,2
891f99cddb3ffff,S_educacao,1
891f99cddb7ffff,S_educacao,2
891f99cddc3ffff,S_educacao,3
891f99cddc7ffff,S_educacao,1
891f99cddcbffff,S_educacao,4
891f99cddcfffff,S_educacao,1
891f99cddd3ffff,S_educacao,3
891f99cddd7ffff,S_educacao,2
891f99cdddbffff,S_educacao,3
