h3_id,dimension,quantity
891f99cc343ffff,S_educacao,1
891f99cc34bffff,S_educacao,2
891f99cc34fffff,T_transporte,1
891f99cc367ffff,S_educacao,1
891f99cca43ffff,S_educacao,1
891f99cca53ffff,S_educacao,2
891f99ccad7ffff,S_educacao,1
891f99cd80fffff,S_educacao,2
891f99cd817ffff,T_transporte,1
891f99cd82fffff,S_educacao,1
891f99cd873ffff,S_educacao,2
891f99cd877ffff,S_educacao,1
891f99cd88bffff,S_saude,1
891f99cd8d3ffff,S_educacao,1
891f99cd8dbffff,S_educacao,1
891f99cd90bffff,T_transporte,3
891f99cd90fffff,S_educacao,1
891f99cd913ffff,T_transporte,2
891f99cd91bffff,S_educacao,1
891f99cd91bffff,T_transporte,1
891f99cd943ffff,T_transporte,1
891f99cd947ffff,S_educacao,1
891f99cd94fffff,S_educacao,1
891f99cd957ffff,S_educacao,1
891f99cd957ffff,T_transporte,2
891f99cd95bffff,T_transporte,1
891f99cd963ffff,T_transporte,1
891f99cd973ffff,S_educacao,1
891f99cd977ffff,S_educacao,1
891f99cd983ffff,S_educacao,2
891f99cd983ffff,T_transporte,1
891f99cd993ffff,S_educacao,1
891f99cd993ffff,T_transporte,1
891f99cd99bffff,S_saude,1
891f99cd9c7ffff,S_educacao,2
891f99cd9c7ffff,T_transporte,2
891f99cd9cbffff,S_educacao,2
891f99cd9cfffff,S_educacao,2
891f99cd9d7ffff,S_educacao,2
891f99cd9dbffff,S_educacao,1
891f99cdc07ffff,S_educacao,3
891f99cdc17ffff,S_educacao,2
891f99cdc27ffff,T_transporte,1
891f99cdc33ffff,S_educacao,2
891f99cdc33ffff,S_saude,1
891f99cdc33ffff,T_transporte,1
891f99cdc67ffff,S_educacao,1
891f99cdc6fffff,T_transporte,2
891f99cdc87ffff,S_educacao,2
891f99cdca3ffff,T_transporte,2
891f99cdcabffff,S_educacao,1
891f99cdcb3ffff,S_educacao,1
891f99cdcb7ffff,T_transporte,1
891f99cdd0bffff,S_abastecimento,1
891f99cdd0bffff,T_transporte,1
891f99cdd23ffff,S_educacao,1
891f99cdd27ffff,S_educacao,3
891f99cdd2bffff,T_transporte,1
891f99cdd33ffff,S_educacao,1
891f99cdd4fffff,T_transporte,1
891f99cdd5bffff,S_saude,1
891f99cdd63ffff,S_educacao,1
891f99cdd63ffff,T_transporte,1
891f99cdd67ffff,S_educacao,1
891f99cdd77ffff,S_educacao,1
891f99cdd83ffff,T_transporte,1
891f99cdd8fffff,T_transporte,1
891f99cdd97ffff,S_educacao,1
891f99cdda3ffff,S_educacao,1
891f99cdda3ffff,T_transporte,1
891f99cddafffff,S_educacao,1
891f99cddb7ffff,S_educacao,1
891f99cddb7ffff,T_transporte,1
891f99cddc3ffff,T_transporte,1
891f99cddd3ffff,T_transporte,3
