h3_id,dimension,quantity
891f99cc343ffff,T_transporte,1
891f99cc34fffff,S_educacao,1
891f99cc34fffff,S_saude,1
891f99cc34fffff,T_transporte,1
891f99cc363ffff,T_transporte,1
891f99cc36bffff,S_educacao,1
891f99cc36bffff,T_transporte,1
891f99cca4bffff,S_educacao,1
891f99cca53ffff,S_abastecimento,1
891f99cca5bffff,T_transporte,1
891f99ccacbffff,T_transporte,2
891f99cce6fffff,S_educacao,1
891f99cd807ffff,S_educacao,1
891f99cd80bffff,S_educacao,1
891f99cd823ffff,S_abastecimento,1
891f99cd823ffff,S_saude,1
891f99cd827ffff,S_abastecimento,1
891f99cd82fffff,S_educacao,1
891f99cd83bffff,S_abastecimento,1
891f99cd83bffff,T_transporte,1
891f99cd847ffff,S_educacao,1
891f99cd887ffff,T_transporte,1
891f99cd8a3ffff,S_educacao,1
891f99cd8b3ffff,S_educacao,1
891f99cd8c7ffff,S_educacao,1
891f99cd8cbffff,S_educacao,1
891f99cd8d3ffff,S_educacao,2
891f99cd90bffff,S_abastecimento,2
891f99cd913ffff,S_saude,1
891f99cd917ffff,T_transporte,2
891f99cd953ffff,S_educacao,2
891f99cd957ffff,S_saude,1
891f99cd95bffff,S_educacao,2
891f99cd97bffff,S_educacao,2
891f99cd983ffff,S_educacao,1
891f99cd997ffff,T_transporte,1
891f99cd9bbffff,T_transporte,1
891f99cd9c7ffff,S_educacao,1
891f99cd9dbffff,S_educacao,1
891f99cdb97ffff,S_educacao,1
891f99cdc07ffff,T_transporte,1
891f99cdc0fffff,S_educacao,1
891f99cdc23ffff,S_abastecimento,1
891f99cdc27ffff,S_educacao,3
891f99cdc2bffff,S_abastecimento,1
891f99cdc2bffff,S_saude,1
891f99cdc2fffff,T_transporte,1
891f99cdc37ffff,S_educacao,1
891f99cdc37ffff,T_transporte,5
891f99cdc3bffff,S_educacao,1
891f99cdc3bffff,T_transporte,1
891f99cdc63ffff,S_educacao,1
891f99cdc6bffff,S_educacao,3
891f99cdc6fffff,T_transporte,1
891f99cdc77ffff,T_transporte,2
891f99cdca3ffff,S_abastecimento,1
891f99cdca3ffff,S_saude,1
891f99cdca3ffff,T_transporte,1
891f99cdca7ffff,T_transporte,1
891f99cdcb7ffff,S_abastecimento,1
891f99cdcb7ffff,S_educacao,1
891f99cdd03ffff,S_abastecimento,1
891f99cdd03ffff,T_transporte,1
891f99cdd07ffff,S_educacao,2
891f99cdd17ffff,T_transporte,1
891f99cdd37ffff,S_educacao,1
891f99cdd3bffff,S_educacao,1
891f99cdd3bffff,T_transporte,1
891f99cdd63ffff,S_educacao,2
891f99cdd6bffff,S_saude,1
891f99cdd8fffff,S_educacao,1
891f99cdd8fffff,T_transporte,1
891f99cdda3ffff,S_abastecimento,1
891f99cddb3ffff,S_educacao,1
891f99cddb7ffff,S_educacao,1
891f99cddbbffff,S_educacao,1
891f99cddbbffff,T_transporte,1
891f99cddc7ffff,T_transporte,2
891f99cddcfffff,S_saude,2
891f99cddd7ffff,T_transporte,1
