h3_id,dimension,quantity
892f5a3621bffff,T_transporte,1
892f5a36243ffff,S_educacao,1
892f5a36247ffff,S_educacao,1
892f5a36283ffff,S_educacao,1
892f5a3628bffff,T_transporte,1
892f5a36297ffff,T_transporte,1
892f5a3629bffff,S_educacao,1
892f5a3629bffff,T_transporte,1
892f5a362c3ffff,T_transporte,2
892f5a362c7ffff,S_educacao,1
892f5a362cfffff,T_transporte,1
892f5a362d7ffff,T_transporte,1
892f5a362dbffff,S_educacao,2
892f5a3662fffff,S_educacao,1
892f5a36633ffff,S_educacao,1
892f5a3665bffff,S_educacao,1
892f5a36663ffff,T_transporte,1
892f5a36677ffff,T_transporte,1
892f5a3667bffff,S_educacao,1
892f5a366c7ffff,T_transporte,1
892f5a37097ffff,S_educacao,1
892f5a370a7ffff,T_transporte,1
892f5a370b7ffff,S_educacao,1
892f5a37183ffff,T_transporte,1
892f5a37187ffff,S_educacao,1
892f5a37187ffff,T_transporte,1
892f5a3718bffff,T_transporte,1
892f5a3718fffff,S_educacao,1
892f5a3718fffff,T_transporte,1
892f5a37197ffff,S_educacao,1
892f5a3719bffff,T_transporte,2
892f5a371bbffff,S_educacao,1
892f5a37423ffff,T_transporte,1
892f5a37427ffff,T_transporte,1
892f5a3742fffff,S_educacao,1
892f5a37433ffff,T_transporte,2
892f5a37437ffff,S_educacao,1
892f5a3743bffff,S_educacao,1
892f5a374a7ffff,S_educacao,1
892f5a374a7ffff,T_transporte,3
892f5a374abffff,S_educacao,1
892f5a374afffff,S_educacao,1
892f5a374b7ffff,T_transporte,1
892f5a374bbffff,S_educacao,1
892f5a37527ffff,S_educacao,1
892f5a37527ffff,T_transporte,1
892f5a3752bffff,T_transporte,3
892f5a3752fffff,S_educacao,1
892f5a37543ffff,S_educacao,1
892f5a3754bffff,T_transporte,1
892f5a3754fffff,T_transporte,1
892f5a37553ffff,T_transporte,1
892f5a3756bffff,T_transporte,3
892f5a37577ffff,T_transporte,1
892f5a3757bffff,S_educacao,1
892f5a3757bffff,T_transporte,1
892f5a37583ffff,S_educacao,1
892f5a375afffff,S_educacao,3
892f5a375c3ffff,T_transporte,2
892f5a375d3ffff,S_educacao,1
892f5a375d7ffff,S_educacao,2
892f5a375d7ffff,T_transporte,1
892f5aadb03ffff,S_educacao,2
892f5aadb0fffff,T_transporte,2
892f5aadb13ffff,S_educacao,1
892f5aadb13ffff,T_transporte,1
892f5aadb17ffff,S_educacao,1
892f5aadb23ffff,T_transporte,1
892f5aadb2bffff,S_educacao,1
892f5aadb2fffff,S_educacao,1
892f5aadb37ffff,S_educacao,1
892f5aadb47ffff,S_educacao,2
892f5aadb4fffff,S_educacao,1
892f5aadb73ffff,S_educacao,2
892f5aadb73ffff,T_transporte,2
892f5aadb77ffff,T_transporte,1
892f5aadb7bffff,S_educacao,1
892f5aadbabffff,T_transporte,1
892f5aadbafffff,S_educacao,2
892f5aadbcfffff,T_transporte,1
