h3_id,dimension,quantity
892f5a3605bffff,S_educacao,1
892f5a36213ffff,S_educacao,1
892f5a36243ffff,S_educacao,1
892f5a36243ffff,T_transporte,3
892f5a3624bffff,T_transporte,1
892f5a36253ffff,S_educacao,2
892f5a36257ffff,S_educacao,1
892f5a36283ffff,T_transporte,1
892f5a3628fffff,S_educacao,1
892f5a36293ffff,T_transporte,1
892f5a362c3ffff,S_educacao,1
892f5a362c3ffff,T_transporte,1
892f5a362cfffff,S_educacao,2
892f5a362d7ffff,S_educacao,1
892f5a3660bffff,S_educacao,1
892f5a3660fffff,S_educacao,1
892f5a3662fffff,S_educacao,1
892f5a36633ffff,T_transporte,1
892f5a36647ffff,T_transporte,1
892f5a3664bffff,S_educacao,1
892f5a3664fffff,T_transporte,1
892f5a36653ffff,T_transporte,2
892f5a3665bffff,T_transporte,2
892f5a36663ffff,S_educacao,1
892f5a36663ffff,T_transporte,1
892f5a3666bffff,T_transporte,1
892f5a3667bffff,T_transporte,2
892f5a366cfffff,S_educacao,1
892f5a366dbffff,T_transporte,1
892f5a37083ffff,S_educacao,1
892f5a37093ffff,S_educacao,1
892f5a37093ffff,T_transporte,3
892f5a37097ffff,S_educacao,2
892f5a3709bffff,S_educacao,1
892f5a370a7ffff,T_transporte,2
892f5a370b7ffff,S_educacao,1
892f5a3718bffff,T_transporte,1
892f5a3718fffff,S_educacao,1
892f5a37197ffff,S_educacao,1
892f5a3719bffff,S_educacao,1
892f5a371b3ffff,S_educacao,1
892f5a371b3ffff,T_transporte,1
892f5a371bbffff,T_transporte,1
892f5a371c3ffff,S_educacao,1
892f5a371c7ffff,T_transporte,2
892f5a37403ffff,T_transporte,2
892f5a37407ffff,T_transporte,1
892f5a3740bffff,S_saude,1
892f5a3740bffff,T_transporte,2
892f5a37417ffff,S_educacao,1
892f5a37423ffff,T_transporte,2
892f5a37427ffff,T_transporte,1
892f5a3742bffff,T_transporte,1
892f5a37433ffff,T_transporte,1
892f5a37437ffff,S_saude,1
892f5a37437ffff,T_transporte,1
892f5a3743bffff,S_educacao,1
892f5a3743bffff,T_transporte,2
892f5a37463ffff,T_transporte,1
892f5a37473ffff,S_educacao,1
892f5a37477ffff,S_educacao,1
892f5a374a3ffff,S_educacao,1
892f5a374a3ffff,S_saude,1
892f5a374a7ffff,T_transporte,1
892f5a374b7ffff,T_transporte,1
892f5a3750bffff,S_saude,1
892f5a37527ffff,S_educacao,1
892f5a3754fffff,T_transporte,1
892f5a3756bffff,T_transporte,1
892f5a375b7ffff,T_transporte,2
892f5a375cbffff,S_saude,1
892f5a375d3ffff,S_educacao,1
892f5a375dbffff,T_transporte,1
892f5aadb07ffff,S_educacao,1
892f5aadb0bffff,S_educacao,1
892f5aadb23ffff,S_educacao,1
892f5aadb2fffff,T_transporte,1
892f5aadb3bffff,T_transporte,1
892f5aadb43ffff,T_transporte,1
892f5aadb47ffff,T_transporte,1
892f5aadb57ffff,T_transporte,1
892f5aadb6fffff,S_saude,1
892f5aadbafffff,S_educacao,1
