h3_id,dimension,quantity
892f5a3621bffff,T_transporte,1
892f5a36243ffff,T_transporte,1
892f5a3624bffff,T_transporte,2
892f5a36253ffff,T_transporte,2
892f5a3625bffff,S_educacao,1
892f5a36293ffff,T_transporte,1
892f5a3629bffff,T_transporte,2
892f5a362c3ffff,T_transporte,1
892f5a362c7ffff,T_transporte,1
892f5a362cbffff,T_transporte,1
892f5a362cfffff,T_transporte,1
892f5a362d3ffff,T_transporte,3
892f5a362dbffff,T_transporte,1
892f5a3662bffff,T_transporte,2
892f5a36647ffff,T_transporte,1
892f5a3664fffff,T_transporte,1
892f5a36653ffff,T_transporte,1
892f5a3665bffff,T_transporte,2
892f5a36667ffff,T_transporte,3
892f5a3667bffff,T_transporte,6
892f5a370a7ffff,S_educacao,1
892f5a37113ffff,T_transporte,1
892f5a37183ffff,T_transporte,1
892f5a3718bffff,T_transporte,2
892f5a3718fffff,T_transporte,2
892f5a37193ffff,T_transporte,2
892f5a37197ffff,T_transporte,1
892f5a3719bffff,T_transporte,2
892f5a371b3ffff,T_transporte,1
892f5a37433ffff,T_transporte,2
892f5a37437ffff,S_educacao,1
892f5a374a3ffff,T_transporte,1
892f5a374a7ffff,S_educacao,3
892f5a374a7ffff,T_transporte,3
892f5a37503ffff,T_transporte,1
892f5a3750bffff,T_transporte,1
892f5a3750fffff,T_transporte,2
892f5a37513ffff,T_transporte,1
892f5a37537ffff,T_transporte,1
892f5a3754fffff,T_transporte,3
892f5a37553ffff,T_transporte,2
892f5a3755bffff,S_educacao,1
892f5a3755bffff,T_transporte,2
892f5a37563ffff,T_transporte,1
892f5a37567ffff,S_educacao,1
892f5a37567ffff,T_transporte,1
892f5a3756bffff,T_transporte,1
892f5a3756fffff,T_transporte,1
892f5a375abffff,T_transporte,1
892f5a375c3ffff,T_transporte,2
892f5a375c7ffff,T_transporte,1
892f5a375cfffff,T_transporte,3
892f5a375d3ffff,T_transporte,1
892f5a375dbffff,T_transporte,1
892f5aadb1bffff,T_transporte,1
892f5aadb23ffff,T_transporte,1
892f5aadb33ffff,T_transporte,2
892f5aadb37ffff,T_transporte,1
892f5aadb3bffff,T_transporte,2
892f5aadb6bffff,T_transporte,2
892f5aadb7bffff,T_transporte,2
892f5aadbabffff,T_transporte,3
892f5aadbafffff,T_transporte,1
