h3_id,dimension,quantity
892f5a36213ffff,T_transporte,3
892f5a3621bffff,T_transporte,3
892f5a3624fffff,T_transporte,1
892f5a36253ffff,T_transporte,1
892f5a36257ffff,T_transporte,1
892f5a3625bffff,T_transporte,2
892f5a362cbffff,T_transporte,3
892f5a362cfffff,T_transporte,1
892f5a36647ffff,T_transporte,1
892f5a3664fffff,T_transporte,1
892f5a36663ffff,T_transporte,2
892f5a37083ffff,T_transporte,2
892f5a37087ffff,T_transporte,1
892f5a3709bffff,T_transporte,2
892f5a37113ffff,T_transporte,2
892f5a37117ffff,T_transporte,1
892f5a37183ffff,T_transporte,1
892f5a3718fffff,S_educacao,1
892f5a37193ffff,T_transporte,2
892f5a37197ffff,T_transporte,2
892f5a3719bffff,T_transporte,1
892f5a371b3ffff,T_transporte,2
892f5a371bbffff,T_transporte,1
892f5a371d3ffff,T_transporte,2
892f5a37407ffff,S_educacao,2
892f5a37433ffff,T_transporte,1
892f5a37437ffff,T_transporte,2
892f5a37467ffff,T_transporte,1
892f5a374a7ffff,T_transporte,2
892f5a374abffff,T_transporte,2
892f5a374afffff,S_educacao,1
892f5a374afffff,T_transporte,1
892f5a374bbffff,T_transporte,1
892f5a37503ffff,T_transporte,2
892f5a3750fffff,T_transporte,2
892f5a37527ffff,T_transporte,1
892f5a3752bffff,T_transporte,1
892f5a3752fffff,T_transporte,3
892f5a3754fffff,T_transporte,1
892f5a37557ffff,S_educacao,2
892f5a37557ffff,T_transporte,1
892f5a3755bffff,T_transporte,1
892f5a37567ffff,T_transporte,1
892f5a3756bffff,T_transporte,1
892f5a37573ffff,T_transporte,1
892f5a37577ffff,T_transporte,2
892f5a37593ffff,T_transporte,2
892f5a37597ffff,T_transporte,1
892f5a3759bffff,T_transporte,1
892f5a375afffff,T_transporte,1
892f5a375b7ffff,T_transporte,1
892f5a375c3ffff,T_transporte,1
892f5a375d3ffff,T_transporte,1
892f5aadb0fffff,T_transporte,2
892f5aadb23ffff,S_educacao,1
892f5aadb27ffff,T_transporte,1
892f5aadb2bffff,T_transporte,2
892f5aadb33ffff,S_educacao,3
892f5aadb37ffff,T_transporte,2
892f5aadb3bffff,T_transporte,1
892f5aadb57ffff,T_transporte,1
892f5aadb67ffff,T_transporte,1
892f5aadb77ffff,T_transporte,2
892f5aadb7bffff,S_educacao,1
892f5aadb7bffff,T_transporte,2
892f5aadba3ffff,T_transporte,1
892f5aadbafffff,S_educacao,1
