h3_id,dimension,quantity
892f5a36253ffff,T_transporte,1
892f5a36257ffff,T_transporte,1
892f5a3625bffff,T_transporte,1
892f5a3628bffff,T_transporte,3
892f5a36293ffff,T_transporte,1
892f5a3629bffff,T_transporte,1
892f5a362c3ffff,T_transporte,2
892f5a362c7ffff,T_transporte,2
892f5a362cbffff,T_transporte,3
892f5a362d7ffff,T_transporte,1
892f5a3661bffff,T_transporte,1
892f5a3663bffff,T_transporte,1
892f5a36647ffff,T_transporte,1
892f5a3664fffff,T_transporte,1
892f5a36653ffff,T_transporte,2
892f5a36657ffff,T_transporte,1
892f5a3665bffff,T_transporte,1
892f5a3666bffff,T_transporte,2
892f5a36673ffff,T_transporte,3
892f5a37097ffff,T_transporte,1
892f5a37183ffff,T_transporte,1
892f5a3718fffff,T_transporte,2
892f5a37193ffff,T_transporte,2
892f5a37197ffff,T_transporte,2
892f5a3719bffff,T_transporte,2
892f5a371d3ffff,T_transporte,1
892f5a371d7ffff,T_transporte,1
892f5a37407ffff,T_transporte,1
892f5a37433ffff,T_transporte,1
892f5a37437ffff,T_transporte,1
892f5a374abffff,T_transporte,1
892f5a374afffff,T_transporte,1
892f5a374b3ffff,T_transporte,1
892f5a3750bffff,T_transporte,2
892f5a3751bffff,T_transporte,1
892f5a3752fffff,T_transporte,1
892f5a3753bffff,T_transporte,3
892f5a37543ffff,T_transporte,1
892f5a37547ffff,T_transporte,2
892f5a37557ffff,T_transporte,1
892f5a37567ffff,T_transporte,1
892f5a3756bffff,T_transporte,1
892f5a3756fffff,T_transporte,1
892f5a37577ffff,T_transporte,1
892f5a37593ffff,T_transporte,2
892f5a375afffff,T_transporte,1
892f5a375b7ffff,T_transporte,1
892f5a375c3ffff,T_transporte,2
892f5a375dbffff,T_transporte,3
892f5aadb03ffff,T_transporte,1
892f5aadb0bffff,T_transporte,1
892f5aadb0fffff,T_transporte,4
892f5aadb13ffff,T_transporte,2
892f5aadb1bffff,T_transporte,4
892f5aadb23ffff,T_transporte,4
892f5aadb2bffff,T_transporte,1
892f5aadb2fffff,T_transporte,1
892f5aadb33ffff,T_transporte,1
892f5aadb67ffff,T_transporte,5
892f5aadb6bffff,T_transporte,1
892f5aadb6fffff,T_transporte,2
892f5aadb7bffff,T_transporte,1
892f5aadba3ffff,T_transporte,1
