seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,improvement_iterations,stopping_reason,best_alpha,mean_rcl_size,construction_best_objective_value,seed_dir,profile_total_runtime_s,profile_construction_total_s,profile_candidate_eval_total_s,profile_local_search_total_s,profile_evaluation_total_s,profile_evaluation_calls,profile_evaluation_avg_s,profile_local_search_calls
182,42.0749,46.991200000000006,4.762600000000006,11.278138512761508,88,7098,11.318952294997871,5,max_no_improve,0.401435602011153,261.3622727272727,45.578199999999995,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260704_232818_budget100_seeds100/seed_runs/seed_000182,11.318952294997871,0.9718884797766805,0.12421445548534393,10.218303098343313,9.625789516605437,7098,0.0013561270099472298,88
57,44.815900000000006,46.7951,4.566499999999998,10.813761289742017,105,8120,12.93748603016138,5,max_no_improve,0.4644543272920387,286.2721904761905,45.4853,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260704_232818_budget100_seeds100/seed_runs/seed_000057,12.93748603016138,1.1642221193760633,0.14757567644119263,11.620356800034642,10.966799188405275,8120,0.0013505910330548368,105
7217,45.319,47.3094,5.080799999999996,12.03165627086855,98,7321,11.720484617166221,3,max_no_improve,0.40309484783522065,198.37642857142856,45.7295,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260704_232818_budget100_seeds100/seed_runs/seed_007217,11.720484617166221,1.06690030451864,0.13836585823446512,10.510276331566274,9.921951876021922,7321,0.001355272760008458,98
395,41.96979999999999,46.5777,4.3491,10.298944317358377,82,6373,10.184572107158601,2,max_no_improve,0.43656891433587985,209.9429268292683,45.3159,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260704_232818_budget100_seeds100/seed_runs/seed_000395,10.184572107158601,0.8972861710935831,0.11627293843775988,9.165943442843854,8.644319182261825,6373,0.001356397172801165,82
2949,43.0929,46.74680000000001,4.518200000000007,10.699383829916234,89,7310,11.607006881386042,5,max_no_improve,0.5037115219819803,239.0847191011236,44.9242,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260704_232818_budget100_seeds100/seed_runs/seed_002949,11.607006881386042,0.9837353900074959,0.12491252273321152,10.493568401783705,9.893189660273492,7310,0.0013533775185052656,89
2177,42.86409999999999,46.3997,4.171100000000003,9.87742904098171,89,7391,11.74640877917409,6,max_no_improve,0.5772600294808078,269.843820224719,45.0114,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260704_232818_budget100_seeds100/seed_runs/seed_002177,11.74640877917409,0.9816002156585455,0.1267566131427884,10.633094266057014,10.016890083439648,7391,0.0013552821111405288,89
4854,43.1788,47.0742,4.8455999999999975,11.47468777084724,203,15670,25.363570215180516,6,max_no_improve,0.5406498076419469,283.5391625615764,46.0725,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260704_232818_budget100_seeds100/seed_runs/seed_004854,25.363570215180516,2.282293329015374,0.2867288123816252,22.785386390052736,21.477374762296677,15670,0.001370604643413955,203
1356,42.4152,47.3545,5.1259000000000015,12.138455927972988,87,6032,9.758064895868301,5,max_no_improve,0.4512673643443883,299.21574712643684,45.277100000000004,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260704_232818_budget100_seeds100/seed_runs/seed_001356,9.758064895868301,0.9678985420614481,0.12322436459362507,8.662295182235539,8.18285670876503,6032,0.0013565743880578631,87
3557,44.5899,47.274,5.045400000000001,11.947826828263311,193,15724,26.452630480751395,9,max_no_improve,0.43122798861549005,231.14886010362696,45.979600000000005,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260704_232818_budget100_seeds100/seed_runs/seed_003557,26.452630480751395,2.3167661000043154,0.28882141690701246,23.838620374910533,22.397574472241104,15724,0.0014244196433630821,193
3801,45.0923,46.925399999999996,4.696799999999996,11.122319944303142,113,8364,13.385999760590494,5,max_no_improve,0.4630615813318222,284.4177876106194,45.158100000000005,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/grasp/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260704_232818_budget100_seeds100/seed_runs/seed_003801,13.385999760590494,1.2482370026409626,0.15956957638263702,11.97246048040688,11.299743642099202,8364,0.001350997566008991,113
