seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,accepted_iterations,improvement_iterations,stopping_reason,final_perturbation_strength,seed_dir
182,55.0974,65.15299999999999,11.149499999999989,20.645884063069964,184,30081,82.96772060496733,32,32,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_000182
57,55.8862,65.2483,11.244799999999998,20.822354106678265,187,30092,82.85601804684848,30,30,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_000057
7217,55.440999999999995,64.9078,10.904299999999992,20.191839417815494,192,30053,82.75471704010852,24,24,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_007217
395,56.488,65.185,11.1815,20.70513948170026,165,30200,83.25145790399984,32,32,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_000395
2949,54.9666,65.2153,11.211799999999997,20.761246956215793,175,30049,82.8480245070532,29,29,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_002949
2177,54.5864,65.2704,11.266899999999993,20.863277380169787,163,30221,83.24563985411078,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_002177
4854,54.95660000000001,65.0141,11.010599999999997,20.388678511577947,182,30132,101.69422850012779,31,31,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_004854
1356,56.3603,65.3396,11.336100000000002,20.99141722295777,167,30148,101.67485175118782,29,29,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_001356
3557,55.4277,65.4858,11.482299999999995,21.262140416824828,171,30048,101.30155283585191,31,31,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_003557
3801,54.9999,65.03439999999999,11.030899999999988,20.42626866777151,165,30036,100.87139531807043,33,33,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_003801
9674,55.1278,65.0358,11.032299999999992,20.42886109233659,192,30269,101.29051792807877,26,26,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_009674
516,54.48330000000001,65.6374,11.633899999999997,21.54286296258575,175,30017,100.6557430010289,35,35,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_000516
4089,55.4392,64.6026,10.599099999999993,19.62669086262926,170,30124,94.17198086692952,29,29,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_004089
4937,54.8874,65.1321,11.128599999999992,20.607182867777073,169,30023,81.92811617394909,31,31,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_004937
9998,55.7277,64.8559,10.852400000000003,20.09573453572454,182,30067,81.99169423314743,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_009998
3129,55.494600000000005,65.3525,11.349000000000004,21.015304563593105,162,25696,70.04000200890005,27,27,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_003129
2887,55.4345,65.2398,11.2363,20.806614386104606,165,30156,81.88876622612588,34,34,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_002887
