h3_id,dimension,quantity
89a8100c027ffff,U_urbanidade,3
89a8100c087ffff,S_educacao,1
89a8100c097ffff,S_educacao,1
89a8100c0a7ffff,U_urbanidade,3
89a8100c0b7ffff,U_urbanidade,1
89a8100c153ffff,U_urbanidade,1
89a8100c187ffff,U_urbanidade,1
89a8100c1cfffff,S_servicos,1
89a8100c1cfffff,U_urbanidade,6
89a8100c1dbffff,U_urbanidade,1
89a8100c427ffff,S_educacao,1
89a8100c437ffff,S_educacao,1
89a8100c523ffff,S_educacao,1
89a8100c54bffff,S_educacao,1
89a8100c55bffff,S_educacao,5
89a8100c577ffff,S_educacao,1
89a8100c57bffff,U_urbanidade,1
89a8100c587ffff,U_urbanidade,1
89a8100c58fffff,U_urbanidade,1
89a8100c593ffff,U_urbanidade,1
89a8100c59bffff,U_urbanidade,1
89a8100c5b3ffff,U_urbanidade,3
89a8100c5b7ffff,U_urbanidade,1
89a8100c5bbffff,U_urbanidade,2
89a8100e327ffff,U_urbanidade,1
89a8100e32fffff,S_educacao,1
89a8100e363ffff,U_urbanidade,1
89a8100e367ffff,S_educacao,1
89a8100e367ffff,U_urbanidade,5
89a8100e36bffff,U_urbanidade,1
89a8100e36fffff,U_urbanidade,2
89a8100ea07ffff,U_urbanidade,1
89a8100ea0bffff,U_urbanidade,1
89a8100ea13ffff,U_urbanidade,2
89a8100ea1bffff,U_urbanidade,1
89a8100ea47ffff,U_urbanidade,4
89a8100ea4fffff,U_urbanidade,2
89a8100ea8fffff,U_urbanidade,1
89a8100ea9bffff,U_urbanidade,2
89a8100eac7ffff,U_urbanidade,2
89a8100ee0bffff,S_educacao,2
89a8100ee0bffff,U_urbanidade,5
89a8100ee0fffff,S_educacao,1
89a8100ee13ffff,S_educacao,2
89a8100ee1bffff,S_educacao,1
89a8100ee1bffff,U_urbanidade,2
89a8100ee3bffff,U_urbanidade,1
89a8100ee47ffff,S_educacao,1
89a8100ee53ffff,S_educacao,1
89a8100ee57ffff,S_educacao,1
89a8100ee57ffff,U_urbanidade,1
89a8100ee5bffff,S_educacao,2
89a8100ee5bffff,U_urbanidade,1
89a8100ee63ffff,U_urbanidade,1
89a8100ee6bffff,U_urbanidade,1
89a8100ee6fffff,U_urbanidade,3
89a8100ee77ffff,U_urbanidade,1
89a8100ee8bffff,S_educacao,2
89a8100eec7ffff,S_educacao,2
89a8100eecfffff,S_educacao,1
