h3_id,dimension,quantity
89a8100c0a3ffff,T_transporte,1
89a8100c1a3ffff,T_transporte,1
89a8100c1c7ffff,S_educacao,1
89a8100c1d7ffff,S_educacao,1
89a8100c1dbffff,T_transporte,2
89a8100c4afffff,S_educacao,1
89a8100c55bffff,S_educacao,2
89a8100c59bffff,U_urbanidade,1
89a8100c5a7ffff,S_saude,2
89a8100c5dbffff,S_educacao,1
89a8100c5dbffff,S_lazer,2
89a8100c5dbffff,T_transporte,5
89a8100c5dbffff,U_urbanidade,2
89a8100e367ffff,U_urbanidade,2
89a8100ea13ffff,S_abastecimento,5
89a8100ea13ffff,S_servicos,6
89a8100ea13ffff,U_urbanidade,1
89a8100ea1bffff,S_abastecimento,1
89a8100ea1bffff,S_servicos,1
89a8100ea1bffff,U_urbanidade,1
89a8100ea4bffff,U_urbanidade,3
89a8100ea63ffff,T_transporte,2
89a8100eac3ffff,S_abastecimento,2
89a8100eac3ffff,S_saude,4
89a8100eac3ffff,S_servicos,1
89a8100eac7ffff,S_abastecimento,1
89a8100eac7ffff,S_servicos,3
89a8100ead7ffff,S_abastecimento,1
89a8100ead7ffff,S_saude,7
89a8100ead7ffff,U_urbanidade,1
89a8100ee03ffff,S_educacao,1
89a8100ee0bffff,S_educacao,4
89a8100ee13ffff,S_educacao,1
89a8100ee17ffff,S_educacao,1
89a8100ee1bffff,S_educacao,1
89a8100ee43ffff,U_urbanidade,1
89a8100ee53ffff,U_urbanidade,1
89a8100ee5bffff,U_urbanidade,5
89a8100ee63ffff,S_lazer,2
89a8100ee63ffff,S_saude,2
89a8100ee63ffff,S_servicos,1
89a8100ee67ffff,S_lazer,2
89a8100ee6fffff,S_lazer,5
89a8100ee6fffff,S_saude,1
89a8100ee6fffff,T_transporte,1
89a8100ee77ffff,S_lazer,1
89a8100ee8bffff,S_educacao,1
89a8100eec7ffff,S_educacao,5
