h3_id,dimension,quantity
89a8100c037ffff,S_servicos,1
89a8100c097ffff,S_educacao,1
89a8100c0a7ffff,S_abastecimento,1
89a8100c153ffff,S_servicos,1
89a8100c1a3ffff,T_transporte,1
89a8100c1b3ffff,T_transporte,1
89a8100c1c3ffff,S_lazer,1
89a8100c1cfffff,S_educacao,1
89a8100c1d3ffff,T_transporte,3
89a8100c1d7ffff,S_abastecimento,1
89a8100c1d7ffff,S_educacao,1
89a8100c4a3ffff,S_servicos,2
89a8100c4a3ffff,U_urbanidade,1
89a8100c4a7ffff,T_transporte,1
89a8100c4afffff,S_educacao,1
89a8100c4afffff,S_lazer,1
89a8100c517ffff,S_saude,1
89a8100c51bffff,S_saude,1
89a8100c523ffff,S_abastecimento,1
89a8100c523ffff,S_educacao,2
89a8100c533ffff,S_saude,1
89a8100c537ffff,S_abastecimento,1
89a8100c53bffff,S_abastecimento,1
89a8100c53bffff,S_servicos,1
89a8100c547ffff,S_saude,1
89a8100c557ffff,S_lazer,1
89a8100c557ffff,S_saude,1
89a8100c55bffff,S_educacao,2
89a8100c55bffff,S_servicos,1
89a8100c56bffff,S_abastecimento,1
89a8100c573ffff,S_saude,1
89a8100c573ffff,T_transporte,1
89a8100c577ffff,T_transporte,1
89a8100c57bffff,S_servicos,1
89a8100c593ffff,U_urbanidade,1
89a8100c597ffff,U_urbanidade,1
89a8100c5abffff,S_saude,1
89a8100c5c3ffff,T_transporte,1
89a8100c5d3ffff,S_saude,1
89a8100c5d3ffff,T_transporte,1
89a8100c5dbffff,S_educacao,1
89a8100c5dbffff,S_servicos,1
89a8100c5dbffff,T_transporte,1
89a8100e32fffff,U_urbanidade,1
89a8100e367ffff,U_urbanidade,2
89a8100ea07ffff,T_transporte,1
89a8100ea0fffff,S_abastecimento,1
89a8100ea1bffff,S_abastecimento,1
89a8100ea1bffff,S_servicos,3
89a8100ea1bffff,U_urbanidade,1
89a8100ea2bffff,S_saude,1
89a8100ea8bffff,S_abastecimento,2
89a8100ea8bffff,S_servicos,2
89a8100ea8bffff,U_urbanidade,1
89a8100ea93ffff,S_educacao,1
89a8100ea9bffff,T_transporte,1
89a8100eac3ffff,S_abastecimento,1
89a8100eac3ffff,S_servicos,1
89a8100eac3ffff,U_urbanidade,1
89a8100eacbffff,S_abastecimento,3
89a8100eacbffff,S_saude,1
89a8100ead7ffff,S_abastecimento,1
89a8100ead7ffff,S_lazer,1
89a8100eadbffff,S_servicos,1
89a8100ee03ffff,S_lazer,1
89a8100ee0bffff,S_lazer,1
89a8100ee0bffff,U_urbanidade,2
89a8100ee0fffff,T_transporte,1
89a8100ee17ffff,S_servicos,1
89a8100ee1bffff,U_urbanidade,1
89a8100ee47ffff,S_lazer,1
89a8100ee47ffff,S_saude,1
89a8100ee4fffff,S_saude,1
89a8100ee53ffff,U_urbanidade,1
89a8100ee63ffff,S_lazer,1
89a8100ee63ffff,S_saude,1
89a8100ee63ffff,S_servicos,1
89a8100ee63ffff,T_transporte,2
89a8100ee67ffff,S_abastecimento,1
89a8100ee67ffff,T_transporte,1
89a8100ee6fffff,S_lazer,2
89a8100ee6fffff,S_saude,1
89a8100ee73ffff,U_urbanidade,1
89a8100eecfffff,U_urbanidade,2
