h3_id,dimension,quantity
89a8100c037ffff,S_lazer,1
89a8100c0a3ffff,S_lazer,2
89a8100c0a7ffff,T_transporte,1
89a8100c0b3ffff,T_transporte,2
89a8100c18bffff,T_transporte,1
89a8100c197ffff,S_educacao,1
89a8100c1a3ffff,S_abastecimento,1
89a8100c1b3ffff,S_servicos,1
89a8100c1b3ffff,T_transporte,2
89a8100c1b7ffff,S_servicos,3
89a8100c1d3ffff,S_abastecimento,1
89a8100c437ffff,T_transporte,1
89a8100c4a3ffff,S_abastecimento,2
89a8100c4a3ffff,S_educacao,2
89a8100c4a3ffff,S_servicos,1
89a8100c4a3ffff,T_transporte,1
89a8100c4a7ffff,S_educacao,2
89a8100c4abffff,S_educacao,1
89a8100c4afffff,S_abastecimento,1
89a8100c4afffff,S_servicos,1
89a8100c4afffff,T_transporte,1
89a8100c4b3ffff,U_urbanidade,1
89a8100c503ffff,S_abastecimento,1
89a8100c507ffff,S_abastecimento,1
89a8100c513ffff,S_educacao,1
89a8100c513ffff,T_transporte,1
89a8100c513ffff,U_urbanidade,1
89a8100c51bffff,U_urbanidade,1
89a8100c52bffff,S_educacao,3
89a8100c52bffff,S_lazer,1
89a8100c52bffff,T_transporte,1
89a8100c52fffff,T_transporte,1
89a8100c53bffff,S_lazer,1
89a8100c53bffff,S_servicos,2
89a8100c593ffff,U_urbanidade,1
89a8100c5a7ffff,S_saude,4
89a8100c5a7ffff,U_urbanidade,1
89a8100c5bbffff,U_urbanidade,1
89a8100c5c7ffff,S_educacao,2
89a8100c5dbffff,S_educacao,1
89a8100c5dbffff,S_lazer,1
89a8100c5dbffff,S_saude,1
89a8100e323ffff,U_urbanidade,2
89a8100e36fffff,U_urbanidade,1
89a8100ea07ffff,S_lazer,1
89a8100ea0fffff,S_abastecimento,1
89a8100ea13ffff,S_abastecimento,1
89a8100ea13ffff,S_servicos,1
89a8100ea1bffff,S_abastecimento,1
89a8100ea1bffff,S_saude,1
89a8100ea1bffff,S_servicos,2
89a8100ea3bffff,S_servicos,1
89a8100ea47ffff,S_educacao,1
89a8100ea47ffff,S_servicos,1
89a8100ea4bffff,U_urbanidade,2
89a8100ea4fffff,S_educacao,1
89a8100ea63ffff,S_abastecimento,1
89a8100ea7bffff,S_servicos,1
89a8100ea8fffff,T_transporte,1
89a8100eac3ffff,S_abastecimento,2
89a8100eac7ffff,S_abastecimento,1
89a8100eac7ffff,S_saude,1
89a8100eacbffff,S_abastecimento,1
89a8100eacbffff,S_saude,2
89a8100eacfffff,U_urbanidade,1
89a8100ead7ffff,S_abastecimento,1
89a8100ead7ffff,S_educacao,1
89a8100ead7ffff,S_servicos,1
89a8100eadbffff,S_saude,3
89a8100ee17ffff,S_educacao,1
89a8100ee17ffff,S_lazer,1
89a8100ee1bffff,S_educacao,1
89a8100ee1bffff,S_lazer,2
89a8100ee57ffff,U_urbanidade,1
89a8100ee6fffff,S_lazer,1
89a8100ee77ffff,S_servicos,1
89a8100eecfffff,U_urbanidade,1
