h3_id,dimension,quantity
89a8100c0a3ffff,S_saude,2
89a8100c0a3ffff,T_transporte,1
89a8100c0a7ffff,S_lazer,1
89a8100c0a7ffff,S_servicos,1
89a8100c0a7ffff,T_transporte,1
89a8100c0b3ffff,S_saude,1
89a8100c0bbffff,S_abastecimento,1
89a8100c183ffff,S_lazer,1
89a8100c1a3ffff,S_lazer,2
89a8100c1a3ffff,S_saude,1
89a8100c1b3ffff,S_saude,2
89a8100c1d7ffff,T_transporte,1
89a8100c1dbffff,T_transporte,1
89a8100c423ffff,S_servicos,1
89a8100c42fffff,S_servicos,2
89a8100c42fffff,U_urbanidade,1
89a8100c4a3ffff,S_abastecimento,2
89a8100c4a3ffff,S_educacao,2
89a8100c4a3ffff,S_saude,1
89a8100c4a3ffff,U_urbanidade,2
89a8100c507ffff,S_saude,1
89a8100c50bffff,S_abastecimento,1
89a8100c50bffff,S_educacao,1
89a8100c523ffff,S_educacao,1
89a8100c547ffff,S_educacao,1
89a8100c55bffff,S_abastecimento,1
89a8100c563ffff,S_educacao,1
89a8100c573ffff,S_saude,1
89a8100c58fffff,S_educacao,1
89a8100c58fffff,U_urbanidade,1
89a8100c59bffff,S_lazer,2
89a8100c5a7ffff,S_educacao,1
89a8100c5abffff,U_urbanidade,1
89a8100c5c7ffff,T_transporte,1
89a8100c5d3ffff,S_abastecimento,1
89a8100c5d7ffff,U_urbanidade,1
89a8100c5dbffff,S_saude,1
89a8100e327ffff,U_urbanidade,1
89a8100e32fffff,U_urbanidade,1
89a8100e36bffff,S_educacao,1
89a8100e36bffff,T_transporte,1
89a8100e37bffff,S_servicos,1
89a8100ea07ffff,S_servicos,1
89a8100ea07ffff,U_urbanidade,1
89a8100ea0fffff,S_abastecimento,1
89a8100ea0fffff,S_lazer,1
89a8100ea0fffff,S_servicos,1
89a8100ea0fffff,T_transporte,2
89a8100ea13ffff,S_educacao,1
89a8100ea13ffff,S_saude,1
89a8100ea13ffff,S_servicos,1
89a8100ea1bffff,S_abastecimento,1
89a8100ea2bffff,S_lazer,1
89a8100ea2bffff,S_servicos,2
89a8100ea3bffff,S_lazer,1
89a8100ea43ffff,S_saude,1
89a8100ea47ffff,S_abastecimento,1
89a8100ea4bffff,U_urbanidade,2
89a8100ea53ffff,S_abastecimento,2
89a8100ea53ffff,U_urbanidade,2
89a8100ea57ffff,S_educacao,1
89a8100ea5bffff,S_lazer,1
89a8100ea63ffff,S_abastecimento,1
89a8100ea63ffff,S_educacao,1
89a8100ea63ffff,T_transporte,1
89a8100ea7bffff,S_abastecimento,3
89a8100ea7bffff,S_educacao,2
89a8100ea7bffff,S_servicos,1
89a8100eacfffff,S_educacao,1
89a8100eacfffff,S_saude,1
89a8100ead3ffff,S_abastecimento,1
89a8100ead3ffff,S_educacao,1
89a8100ead7ffff,S_abastecimento,1
89a8100ee0fffff,S_abastecimento,2
89a8100ee0fffff,S_lazer,1
89a8100ee13ffff,S_lazer,1
89a8100ee2bffff,S_educacao,1
89a8100ee3bffff,S_educacao,1
89a8100ee3bffff,T_transporte,2
89a8100ee3bffff,U_urbanidade,1
89a8100ee57ffff,S_lazer,1
89a8100eec7ffff,U_urbanidade,1
