h3_id,dimension,quantity
89a8100c037ffff,U_urbanidade,3
89a8100c1a3ffff,U_urbanidade,3
89a8100c1b3ffff,U_urbanidade,1
89a8100c1bbffff,U_urbanidade,1
89a8100c1c3ffff,U_urbanidade,1
89a8100c1d3ffff,U_urbanidade,1
89a8100c4abffff,S_educacao,1
89a8100c50bffff,U_urbanidade,1
89a8100c547ffff,U_urbanidade,1
89a8100c563ffff,U_urbanidade,5
89a8100c56bffff,U_urbanidade,1
89a8100c573ffff,U_urbanidade,2
89a8100c593ffff,U_urbanidade,3
89a8100c5b3ffff,U_urbanidade,6
89a8100c5d3ffff,U_urbanidade,1
89a8100e327ffff,U_urbanidade,3
89a8100e363ffff,U_urbanidade,6
89a8100e367ffff,U_urbanidade,1
89a8100e36bffff,U_urbanidade,1
89a8100e36fffff,U_urbanidade,2
89a8100ea13ffff,S_educacao,2
89a8100ea13ffff,U_urbanidade,2
89a8100ea43ffff,U_urbanidade,2
89a8100ea4bffff,U_urbanidade,5
89a8100ea4fffff,U_urbanidade,1
89a8100ea53ffff,S_educacao,2
89a8100ea57ffff,U_urbanidade,1
89a8100ea63ffff,U_urbanidade,1
89a8100ea7bffff,U_urbanidade,1
89a8100ea8bffff,S_educacao,1
89a8100ea8fffff,U_urbanidade,2
89a8100ea93ffff,U_urbanidade,1
89a8100ea9bffff,U_urbanidade,1
89a8100eac3ffff,U_urbanidade,1
89a8100eac7ffff,U_urbanidade,3
89a8100ee03ffff,U_urbanidade,2
89a8100ee07ffff,U_urbanidade,2
89a8100ee0fffff,U_urbanidade,1
89a8100ee17ffff,U_urbanidade,1
89a8100ee1bffff,U_urbanidade,1
89a8100ee2bffff,U_urbanidade,1
89a8100ee3bffff,U_urbanidade,3
89a8100ee47ffff,U_urbanidade,1
89a8100ee4fffff,U_urbanidade,2
89a8100ee57ffff,U_urbanidade,2
89a8100ee67ffff,U_urbanidade,1
89a8100ee6bffff,U_urbanidade,3
89a8100ee6fffff,U_urbanidade,1
89a8100ee73ffff,U_urbanidade,1
89a8100ee77ffff,U_urbanidade,1
89a8100ee8bffff,U_urbanidade,3
89a8100ee8fffff,U_urbanidade,1
89a8100eecbffff,U_urbanidade,1
89a8100eecfffff,U_urbanidade,2
