seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,accepted_iterations,improvement_iterations,stopping_reason,final_perturbation_strength,seed_dir
182,48.1453,56.4276,9.369900000000001,19.91151288737019,185,30029,66.3462667928543,31,31,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_000182
57,48.681000000000004,56.878499999999995,9.820799999999998,20.86969826404605,176,25583,56.37856100616045,24,24,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_000057
7217,48.9269,57.1884,10.130700000000004,21.528251487004262,199,30000,66.11392251588404,27,27,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_007217
395,49.2314,56.79639999999999,9.738699999999994,20.695231598654406,192,30101,66.3323562759906,23,23,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_000395
2949,47.8343,57.1127,10.055,21.36738514632037,180,30030,66.19478089082986,32,32,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_002949
2177,48.4458,57.1447,10.087000000000003,21.435386769859136,177,30192,66.53734212601557,33,33,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_002177
4854,47.96239999999999,57.406400000000005,10.348700000000008,21.99151254736209,190,30037,66.18216868909076,27,27,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_004854
1356,49.21790000000001,56.9341,9.876400000000004,20.987851084944662,177,30013,66.10709336400032,39,39,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_001356
3557,48.487399999999994,56.9439,9.886200000000002,21.008676582153406,191,29755,65.52199153113179,21,21,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_003557
3801,48.945499999999996,56.2603,9.202600000000004,19.55599189930661,159,30286,66.6625450651627,38,38,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_003801
9674,48.8986,56.3594,9.301700000000004,19.76658442720321,147,25155,55.38805754086934,24,24,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_009674
516,48.3929,56.8969,9.839200000000005,20.908799197580855,195,30057,66.16586764203385,23,23,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_000516
4089,48.8887,56.8068,9.749100000000006,20.717332126304527,166,30039,66.17037536599673,35,35,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_004089
4937,48.008300000000006,56.4875,9.4298,20.03880342643181,134,21560,47.497496649157256,20,20,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_004937
9998,48.8442,57.1865,10.128800000000005,21.524213890606653,177,28937,63.74672715598717,27,27,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_009998
3129,48.5517,56.5766,9.518900000000002,20.22814544697255,188,30048,66.2368343169801,29,29,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_003129
2887,48.08,56.0329,8.975200000000001,19.072755362034272,186,30091,66.29644530499354,31,31,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_002887
7411,48.828100000000006,55.8525,8.794800000000002,18.689396209334504,172,30087,66.30367042520083,31,31,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_007411
3764,48.285799999999995,57.172599999999996,10.114899999999999,21.49467568538199,141,22423,49.45036462787539,23,23,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_003764
6307,48.5948,57.2343,10.1766,21.625791315767668,189,30122,66.40705441706814,30,30,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_006307
4141,48.7902,56.8195,9.761800000000001,20.744320270646465,193,30063,66.2513094979804,27,27,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_004141
8694,48.84129999999999,56.481300000000005,9.423600000000008,20.02562811187119,193,30024,66.18485476821661,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_008694
3415,48.307199999999995,57.4131,10.355400000000003,22.005750387290508,163,25058,55.252132987836376,23,23,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_003415
1149,48.0604,56.8244,9.7667,20.75473301925084,205,30173,66.54709415999241,25,25,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_001149
7946,48.7923,57.121300000000005,10.063600000000008,21.38566058264643,185,30073,66.23566121002659,41,41,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_007946
3459,48.891000000000005,56.98010000000001,9.92240000000001,21.08560341878165,178,30039,66.19916859013028,29,29,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_003459
6469,48.126099999999994,56.541700000000006,9.484000000000009,20.153981176300604,184,30027,66.12264877185225,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_006469
6304,49.023199999999996,56.9711,9.913400000000003,21.066477962161354,180,30040,66.16547137894668,26,26,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_006304
6415,47.9303,57.306400000000004,10.248700000000007,21.77900747380345,183,30104,66.32490695803426,30,30,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_006415
9861,48.3171,56.1113,9.053600000000003,19.239359339704244,174,30043,66.237258778885,32,32,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_009861
733,48.8022,57.0971,10.0394,21.334234354845226,183,30057,66.2620148009155,32,32,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_000733
9836,49.2599,56.7548,9.697100000000006,20.606829488054043,182,30142,66.50421872898005,23,23,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_009836
2885,48.7851,56.712500000000006,9.654800000000009,20.516939841938747,188,30118,66.405220648041,26,26,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_002885
8469,48.72089999999999,56.90219999999999,9.844499999999996,20.92006196647944,177,30122,66.39268422499299,33,33,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_008469
6466,49.0595,56.869699999999995,9.811999999999998,20.850997817572893,152,24420,53.80023520602845,22,22,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_006466
417,48.0843,57.2016,10.143900000000002,21.556302156713997,173,30017,66.13037983002141,34,34,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_000417
446,48.9507,57.2002,10.142500000000005,21.553327085684185,178,30002,66.05428977194242,23,23,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_000446
9895,48.4902,56.568200000000004,9.510500000000008,20.210295020793637,170,30210,66.51399820484221,25,25,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_009895
2937,48.469300000000004,56.96249999999999,9.904799999999994,21.048202525835293,194,30119,66.31345153506845,30,30,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_002937
3462,48.78490000000001,57.2222,10.164500000000004,21.600078201867078,168,30036,66.1483816220425,29,29,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_003462
5173,48.4846,57.234399999999994,10.176699999999997,21.626003820841216,185,30069,66.2240197379142,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_005173
3589,48.5959,56.5816,9.523900000000005,20.238770700650488,184,30102,66.31923190597445,27,27,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_003589
1858,48.485,56.928599999999996,9.870899999999999,20.97616330589893,176,28983,63.83875018591061,33,33,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_001858
7558,48.4923,56.6818,9.624100000000006,20.451700784356238,190,30236,66.59725704602897,25,25,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_007558
9580,48.665099999999995,56.9203,9.8626,20.958525384793564,181,30071,66.18247664091177,35,35,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_009580
2767,47.739399999999996,56.8778,9.820100000000004,20.868210728531153,192,30055,66.22269087191671,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_002767
4332,48.68690000000001,57.1532,10.095500000000001,21.45344970111162,174,30049,66.16619885899127,32,32,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_004332
4432,48.8744,57.0331,9.9754,21.1982311077677,171,30012,66.10519877192564,37,37,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_004432
4878,48.2481,56.555499999999995,9.497799999999998,20.18330687645167,160,30165,66.4503462400753,32,32,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_004878
2141,48.3788,56.069300000000005,9.011600000000008,19.15010720880963,171,28103,61.867116594919935,25,25,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_002141
596,48.6618,56.21900000000001,9.161300000000011,19.468227303926906,173,30148,66.32408852898516,33,33,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_000596
9723,48.297399999999996,56.91189999999999,9.854199999999992,20.940674958614622,173,30273,66.61593447602354,31,31,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_009723
8551,48.8718,56.831599999999995,9.773899999999998,20.77003338454705,207,30114,66.27083994308487,23,23,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_008551
1273,48.221500000000006,57.236599999999996,10.178899999999999,21.63067893245951,198,30066,66.13479211018421,30,30,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_001273
4374,49.004400000000004,56.868399999999994,9.810699999999997,20.84823525161663,164,30400,66.88462643092498,36,36,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_004374
7206,48.94500000000001,57.0959,10.038200000000003,21.331684293962528,186,30097,66.16940557188354,26,26,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_007206
6473,48.2424,57.0405,9.982800000000005,21.213956483211046,182,30048,66.10503536299802,29,29,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_006473
2133,48.700500000000005,56.92550000000001,9.86780000000001,20.969575648618633,161,30316,66.71305943513289,40,40,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/average_adult/dataset_hex177_impacts2999/run_20260530_210834_budget100_seeds100/seed_runs/seed_002133
