seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,accepted_iterations,improvement_iterations,stopping_reason,final_perturbation_strength,seed_dir
182,39.6105,48.1412,9.462000000000003,24.46276034664627,186,30090,40.400799971073866,29,29,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_000182
57,40.2164,48.1704,9.491200000000006,24.538253117954888,198,30066,40.33702918398194,27,27,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_000057
7217,40.212900000000005,48.2759,9.596700000000006,24.811009534840448,172,30119,40.35286223702133,35,35,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_007217
395,40.4159,47.834199999999996,9.155000000000001,23.669052100353685,187,30027,40.18936685100198,33,33,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_000395
2949,39.7141,48.1649,9.485700000000008,24.52403358911252,164,26372,35.283786967163906,29,29,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_002949
2177,39.9894,48.0923,9.413100000000007,24.336335808393166,184,30128,40.3587646309752,27,27,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_002177
4854,39.7706,47.9932,9.314000000000007,24.08012575234237,203,30127,40.33265447500162,24,24,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_004854
1356,40.5569,47.891400000000004,9.21220000000001,23.816935200314408,195,30123,40.3122654450126,27,27,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_001356
3557,40.120900000000006,48.1233,9.444100000000006,24.416482243686545,201,30039,40.19246406387538,29,29,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_003557
3801,40.0248,47.9684,9.289200000000008,24.016008604107657,183,30045,40.20588241890073,26,26,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_003801
9674,40.3456,47.740899999999996,9.061700000000002,23.427837183809395,184,30061,40.1943714809604,26,26,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_009674
516,40.137100000000004,48.2881,9.608900000000006,24.842551035181717,203,30131,40.30173380696215,31,31,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/elderly/dataset_hex177_impacts1328/run_20260530_225710_budget100_seeds100/seed_runs/seed_000516
