h3_id,dimension,quantity
89a8ac8926bffff,S_abastecimento,1
89a8ac8926bffff,S_saude,1
89a8ac8926bffff,S_servicos,1
89a8ac8926fffff,S_abastecimento,1
89a8ac89343ffff,U_urbanidade,1
89a8ac89353ffff,T_transporte,1
89a8ac8935bffff,S_abastecimento,1
89a8acc6103ffff,S_abastecimento,1
89a8acc6107ffff,T_transporte,1
89a8acc6107ffff,U_urbanidade,2
89a8acc6163ffff,S_abastecimento,1
89a8acc616fffff,U_urbanidade,1
89a8acc6177ffff,T_transporte,1
89a8acc61abffff,S_abastecimento,1
89a8acc6853ffff,S_saude,1
89a8acc6853ffff,S_servicos,1
89a8acc6887ffff,S_servicos,1
89a8acc6887ffff,T_transporte,1
89a8acc68b3ffff,S_lazer,1
89a8acc68c3ffff,S_lazer,2
89a8acc68c7ffff,U_urbanidade,1
89a8acc68cbffff,S_saude,1
89a8acc68cfffff,S_lazer,1
89a8acc68cfffff,T_transporte,1
89a8acc68cfffff,U_urbanidade,1
89a8acc68dbffff,S_lazer,1
89a8acc6c0fffff,S_educacao,3
89a8acc6c23ffff,S_lazer,1
89a8acc6c27ffff,S_servicos,1
89a8acc6c2fffff,S_abastecimento,1
89a8acc6c33ffff,S_saude,3
89a8acc6c33ffff,S_servicos,1
89a8acc6c47ffff,U_urbanidade,1
89a8acc6c83ffff,U_urbanidade,1
89a8acc6c97ffff,T_transporte,1
89a8acc6c97ffff,U_urbanidade,1
89a8acc6c9bffff,S_abastecimento,1
89a8acc6cabffff,S_educacao,1
89a8acc6cabffff,S_servicos,1
89a8acc6cafffff,S_abastecimento,1
89a8acc6cafffff,S_lazer,1
89a8acc6cb3ffff,T_transporte,1
89a8acc6cb7ffff,S_educacao,1
89a8acc6ccbffff,U_urbanidade,1
89a8acc6cdbffff,U_urbanidade,1
89a8acc6d43ffff,T_transporte,1
89a8acc6dd3ffff,S_abastecimento,1
89a8acc6ddbffff,S_abastecimento,1
89a8acc6e07ffff,S_lazer,3
89a8acc6e07ffff,S_servicos,5
89a8acc6e17ffff,S_abastecimento,2
89a8acc6e17ffff,T_transporte,1
89a8acc6e2fffff,T_transporte,1
89a8acc6e2fffff,U_urbanidade,1
89a8acc6e33ffff,S_lazer,1
89a8acc6e33ffff,S_saude,2
89a8acc6e33ffff,S_servicos,1
89a8acc6e37ffff,S_lazer,3
89a8acc6e37ffff,S_saude,1
89a8acc6e37ffff,S_servicos,3
89a8acc6e73ffff,S_educacao,2
89a8acc6e77ffff,S_abastecimento,2
89a8acc6e77ffff,S_educacao,7
89a8acc6e77ffff,S_lazer,4
89a8acc6e83ffff,T_transporte,1
89a8acc6e9bffff,S_servicos,1
89a8acc6e9bffff,U_urbanidade,1
89a8acc6eabffff,S_saude,3
89a8acc6eafffff,T_transporte,1
