h3_id,dimension,quantity
89a8ac8922fffff,T_transporte,1
89a8ac8926bffff,S_abastecimento,2
89a8ac8926bffff,U_urbanidade,1
89a8ac89343ffff,S_lazer,1
89a8ac8937bffff,T_transporte,1
89a8acc6103ffff,U_urbanidade,1
89a8acc6107ffff,T_transporte,1
89a8acc6107ffff,U_urbanidade,1
89a8acc610bffff,U_urbanidade,1
89a8acc610fffff,S_abastecimento,1
89a8acc6117ffff,S_abastecimento,1
89a8acc6127ffff,U_urbanidade,1
89a8acc6167ffff,S_servicos,1
89a8acc616fffff,S_abastecimento,1
89a8acc616fffff,T_transporte,1
89a8acc61a3ffff,U_urbanidade,2
89a8acc6853ffff,S_abastecimento,1
89a8acc6857ffff,U_urbanidade,1
89a8acc6887ffff,S_saude,1
89a8acc6887ffff,S_servicos,1
89a8acc6887ffff,T_transporte,1
89a8acc68bbffff,U_urbanidade,2
89a8acc68c3ffff,S_lazer,2
89a8acc68c3ffff,S_servicos,1
89a8acc68cfffff,S_servicos,1
89a8acc68d3ffff,S_lazer,1
89a8acc68dbffff,S_saude,1
89a8acc68dbffff,T_transporte,1
89a8acc6c03ffff,S_educacao,1
89a8acc6c27ffff,S_abastecimento,2
89a8acc6c33ffff,S_saude,1
89a8acc6c33ffff,S_servicos,1
89a8acc6c47ffff,U_urbanidade,1
89a8acc6c73ffff,S_educacao,2
89a8acc6c8bffff,S_saude,1
89a8acc6c8bffff,U_urbanidade,1
89a8acc6c97ffff,S_saude,1
89a8acc6c97ffff,S_servicos,1
89a8acc6ca7ffff,T_transporte,1
89a8acc6cabffff,S_educacao,1
89a8acc6cabffff,U_urbanidade,1
89a8acc6cb7ffff,U_urbanidade,2
89a8acc6cbbffff,U_urbanidade,1
89a8acc6cd7ffff,S_servicos,1
89a8acc6cd7ffff,T_transporte,1
89a8acc6cdbffff,S_abastecimento,1
89a8acc6dc3ffff,T_transporte,1
89a8acc6e03ffff,U_urbanidade,1
89a8acc6e07ffff,S_abastecimento,2
89a8acc6e07ffff,S_saude,1
89a8acc6e07ffff,S_servicos,3
89a8acc6e13ffff,S_abastecimento,1
89a8acc6e17ffff,U_urbanidade,1
89a8acc6e27ffff,U_urbanidade,1
89a8acc6e2bffff,S_lazer,1
89a8acc6e2fffff,U_urbanidade,1
89a8acc6e33ffff,S_lazer,2
89a8acc6e33ffff,S_saude,1
89a8acc6e37ffff,S_lazer,5
89a8acc6e37ffff,S_saude,4
89a8acc6e37ffff,S_servicos,3
89a8acc6e63ffff,S_educacao,2
89a8acc6e63ffff,S_lazer,1
89a8acc6e77ffff,S_abastecimento,2
89a8acc6e77ffff,S_educacao,5
89a8acc6e77ffff,T_transporte,1
89a8acc6e8fffff,U_urbanidade,1
89a8acc6e9bffff,S_saude,1
89a8acc6e9bffff,S_servicos,1
89a8acc6eabffff,S_lazer,1
89a8acc6eabffff,S_saude,1
89a8acc6eabffff,S_servicos,1
89a8acc6eafffff,U_urbanidade,1
89a8acc6ec7ffff,S_servicos,1
