h3_id,dimension,quantity
89a8ac8926bffff,S_lazer,1
89a8ac8926bffff,T_transporte,1
89a8ac8926bffff,U_urbanidade,1
89a8ac89343ffff,T_transporte,1
89a8ac8934fffff,S_saude,1
89a8ac89353ffff,S_abastecimento,1
89a8ac8936bffff,S_educacao,1
89a8acc6107ffff,U_urbanidade,1
89a8acc610fffff,S_educacao,1
89a8acc6117ffff,S_lazer,1
89a8acc611bffff,U_urbanidade,1
89a8acc613bffff,S_saude,1
89a8acc6163ffff,S_abastecimento,1
89a8acc6167ffff,S_educacao,2
89a8acc6177ffff,S_saude,1
89a8acc6177ffff,U_urbanidade,1
89a8acc61a7ffff,T_transporte,1
89a8acc6817ffff,S_saude,2
89a8acc681bffff,S_saude,1
89a8acc6857ffff,T_transporte,1
89a8acc6887ffff,T_transporte,1
89a8acc68c3ffff,S_educacao,1
89a8acc68c3ffff,S_servicos,1
89a8acc68c3ffff,T_transporte,1
89a8acc68cbffff,S_abastecimento,1
89a8acc68cbffff,S_saude,1
89a8acc68cfffff,S_saude,1
89a8acc68dbffff,S_lazer,1
89a8acc6a97ffff,S_servicos,1
89a8acc6a97ffff,U_urbanidade,1
89a8acc6c03ffff,S_saude,1
89a8acc6c07ffff,S_educacao,1
89a8acc6c17ffff,S_abastecimento,1
89a8acc6c17ffff,T_transporte,1
89a8acc6c17ffff,U_urbanidade,1
89a8acc6c2bffff,S_servicos,1
89a8acc6c2fffff,S_lazer,1
89a8acc6c2fffff,T_transporte,1
89a8acc6c37ffff,S_saude,1
89a8acc6c4fffff,T_transporte,1
89a8acc6c57ffff,S_abastecimento,1
89a8acc6c57ffff,S_educacao,1
89a8acc6c5bffff,U_urbanidade,1
89a8acc6c63ffff,S_abastecimento,1
89a8acc6c63ffff,U_urbanidade,1
89a8acc6c67ffff,S_servicos,1
89a8acc6c6bffff,S_lazer,1
89a8acc6c73ffff,S_educacao,1
89a8acc6c77ffff,S_educacao,2
89a8acc6c97ffff,S_lazer,2
89a8acc6c97ffff,S_saude,1
89a8acc6c97ffff,S_servicos,1
89a8acc6c9bffff,T_transporte,1
89a8acc6cafffff,S_lazer,1
89a8acc6cb3ffff,S_lazer,1
89a8acc6cbbffff,S_servicos,1
89a8acc6cc3ffff,S_abastecimento,1
89a8acc6cc3ffff,S_servicos,1
89a8acc6cc7ffff,S_servicos,1
89a8acc6cc7ffff,U_urbanidade,1
89a8acc6ccfffff,T_transporte,1
89a8acc6cdbffff,U_urbanidade,1
89a8acc6d43ffff,S_lazer,1
89a8acc6d43ffff,S_servicos,1
89a8acc6d43ffff,T_transporte,1
89a8acc6d53ffff,S_lazer,1
89a8acc6dc3ffff,S_servicos,1
89a8acc6dcbffff,S_lazer,1
89a8acc6dcbffff,U_urbanidade,1
89a8acc6dcfffff,S_abastecimento,1
89a8acc6dd3ffff,S_educacao,1
89a8acc6ddbffff,S_abastecimento,1
89a8acc6ddbffff,U_urbanidade,1
89a8acc6e07ffff,S_servicos,1
89a8acc6e07ffff,T_transporte,1
89a8acc6e0fffff,S_educacao,1
89a8acc6e1bffff,S_educacao,1
89a8acc6e33ffff,S_saude,1
89a8acc6e33ffff,U_urbanidade,1
89a8acc6e63ffff,T_transporte,1
89a8acc6e6fffff,S_educacao,1
89a8acc6e87ffff,T_transporte,1
89a8acc6e9bffff,S_abastecimento,1
89a8acc6e9bffff,T_transporte,1
89a8acc6ea3ffff,S_abastecimento,1
89a8acc6ea3ffff,S_educacao,1
89a8acc6eafffff,S_lazer,1
89a8acc6eafffff,S_saude,3
89a8acc6eafffff,S_servicos,2
89a8acc6eafffff,U_urbanidade,1
89a8acc6eb7ffff,S_abastecimento,1
89a8acc6ebbffff,T_transporte,1
89a8acc6ec7ffff,S_lazer,1
