h3_id,dimension,quantity
89a8ac8922fffff,U_urbanidade,1
89a8ac8926bffff,S_abastecimento,1
89a8ac8926bffff,S_lazer,1
89a8ac8926bffff,T_transporte,1
89a8ac89343ffff,S_servicos,1
89a8ac89347ffff,S_servicos,1
89a8ac8936bffff,S_lazer,1
89a8ac8936bffff,T_transporte,1
89a8ac8937bffff,S_educacao,1
89a8acc6103ffff,S_abastecimento,1
89a8acc6107ffff,S_abastecimento,1
89a8acc6107ffff,U_urbanidade,1
89a8acc610bffff,T_transporte,1
89a8acc610bffff,U_urbanidade,1
89a8acc6117ffff,S_lazer,1
89a8acc6117ffff,U_urbanidade,1
89a8acc6123ffff,S_educacao,1
89a8acc612bffff,S_abastecimento,1
89a8acc612fffff,S_servicos,1
89a8acc613bffff,S_saude,1
89a8acc6167ffff,S_abastecimento,1
89a8acc6167ffff,S_servicos,1
89a8acc6167ffff,U_urbanidade,1
89a8acc6177ffff,S_educacao,1
89a8acc6177ffff,T_transporte,1
89a8acc6177ffff,U_urbanidade,1
89a8acc6893ffff,T_transporte,1
89a8acc68bbffff,T_transporte,1
89a8acc68cbffff,U_urbanidade,1
89a8acc68dbffff,T_transporte,1
89a8acc6a97ffff,T_transporte,1
89a8acc6c03ffff,S_educacao,1
89a8acc6c03ffff,S_saude,1
89a8acc6c03ffff,U_urbanidade,1
89a8acc6c13ffff,S_abastecimento,1
89a8acc6c17ffff,S_educacao,1
89a8acc6c17ffff,S_saude,2
89a8acc6c17ffff,U_urbanidade,1
89a8acc6c1bffff,S_servicos,1
89a8acc6c1bffff,T_transporte,1
89a8acc6c27ffff,S_saude,1
89a8acc6c27ffff,U_urbanidade,1
89a8acc6c2bffff,S_abastecimento,1
89a8acc6c2bffff,S_saude,1
89a8acc6c37ffff,S_servicos,1
89a8acc6c37ffff,T_transporte,1
89a8acc6c3bffff,S_servicos,1
89a8acc6c43ffff,U_urbanidade,1
89a8acc6c47ffff,S_abastecimento,1
89a8acc6c47ffff,S_educacao,1
89a8acc6c4bffff,S_educacao,1
89a8acc6c6bffff,T_transporte,1
89a8acc6c6fffff,S_servicos,1
89a8acc6c73ffff,U_urbanidade,1
89a8acc6c77ffff,S_educacao,1
89a8acc6c7bffff,U_urbanidade,1
89a8acc6c87ffff,U_urbanidade,1
89a8acc6c8bffff,S_servicos,1
89a8acc6c97ffff,S_lazer,1
89a8acc6c97ffff,T_transporte,1
89a8acc6ca7ffff,S_educacao,1
89a8acc6ca7ffff,U_urbanidade,1
89a8acc6cabffff,T_transporte,1
89a8acc6cafffff,S_abastecimento,1
89a8acc6cbbffff,S_educacao,1
89a8acc6cc3ffff,S_educacao,1
89a8acc6ccbffff,S_servicos,1
89a8acc6ccbffff,T_transporte,1
89a8acc6ccbffff,U_urbanidade,2
89a8acc6ccfffff,U_urbanidade,1
89a8acc6d43ffff,S_abastecimento,1
89a8acc6d43ffff,T_transporte,1
89a8acc6d53ffff,S_abastecimento,1
89a8acc6d5bffff,T_transporte,1
89a8acc6dd3ffff,T_transporte,1
89a8acc6ddbffff,S_abastecimento,1
89a8acc6e07ffff,T_transporte,1
89a8acc6e2fffff,S_abastecimento,1
89a8acc6e2fffff,U_urbanidade,1
89a8acc6e33ffff,S_saude,1
89a8acc6e37ffff,S_saude,1
89a8acc6e37ffff,S_servicos,1
89a8acc6e63ffff,T_transporte,1
89a8acc6e83ffff,S_educacao,1
89a8acc6e8fffff,U_urbanidade,1
89a8acc6e97ffff,U_urbanidade,1
89a8acc6e9bffff,S_educacao,1
89a8acc6e9bffff,S_saude,1
89a8acc6e9bffff,T_transporte,1
89a8acc6ea3ffff,U_urbanidade,1
89a8acc6ea7ffff,U_urbanidade,1
89a8acc6eabffff,S_lazer,1
89a8acc6eafffff,S_abastecimento,1
89a8acc6eafffff,S_lazer,1
89a8acc6ebbffff,S_abastecimento,1
89a8acc6ebbffff,S_servicos,1
89a8acc6ebbffff,T_transporte,1
89a8acc6ec7ffff,U_urbanidade,1
