seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,accepted_iterations,improvement_iterations,stopping_reason,final_perturbation_strength,seed_dir,profile_total_runtime_s,profile_initial_eval_s,profile_initial_local_search_s,profile_iteration_perturbation_s,profile_iteration_candidate_eval_s,profile_iteration_local_search_s,profile_iteration_acceptance_update_s,profile_iteration_bookkeeping_s,profile_iteration_logging_s,profile_evaluation_build_final_matrix_s,profile_evaluation_objective_only_s,profile_evaluation_total_s,profile_evaluation_calls,profile_evaluation_avg_s,profile_local_search_calls
182,44.1853,49.05449999999999,6.51339999999999,15.310840575349463,118,30144,91.91437484300695,30,30,max_evaluations,4,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260601_050348_budget100_seeds100/seed_runs/seed_000182,91.91437484300695,0.0029942630790174007,0.1768209000583738,0.05665029329247773,0.3386062632780522,91.33361281175166,0.000501028960570693,0.0010577570647001266,0.001658247783780098,73.02670987229794,15.179070692043751,88.2057805643417,30144,0.0029261471790187664,119
57,44.01090000000001,49.8039,7.262799999999999,17.072431131305958,112,30328,92.50326387002133,21,21,max_evaluations,7,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260601_050348_budget100_seeds100/seed_runs/seed_000057,92.50326387002133,0.002941354876384139,0.13111225003376603,0.07023697602562606,0.3229595413431525,91.97088307561353,0.00043259630911052227,0.00099583575502038,0.0013122223317623138,73.4916164574679,15.254638043697923,88.74625450116582,30328,0.002926215197215966,113
7217,46.2817,52.1756,9.634500000000003,22.647510290048924,118,30319,92.4611729751341,26,26,max_evaluations,5,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260601_050348_budget100_seeds100/seed_runs/seed_007217,92.4611729751341,0.002938311081379652,0.1615326500032097,0.05839605419896543,0.3389064250513911,91.89368260046467,0.0004739598371088505,0.0010640183463692665,0.0016823513433337212,73.47754415636882,15.241414710879326,88.71895886724815,30319,0.002926183543891558,119
395,45.4541,50.434000000000005,7.8929000000000045,18.553587001746557,110,30075,91.64599674707279,33,33,max_evaluations,4,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260601_050348_budget100_seeds100/seed_runs/seed_000395,91.64599674707279,0.002940285950899124,0.2044752191286534,0.0491762962192297,0.3153205243870616,91.06840304820798,0.0004834949504584074,0.0009875213727355003,0.0018581899348646402,72.82487524021417,15.123178850160912,87.94805409037508,30075,0.002924291075324192,111
2949,43.3617,49.7868,7.245699999999999,17.032234709492702,110,30092,91.61334459600039,25,25,max_evaluations,7,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260601_050348_budget100_seeds100/seed_runs/seed_002949,91.61334459600039,0.00293891504406929,0.13401453685946763,0.06663871393539011,0.3162076575681567,91.08816775586456,0.00045793456956744194,0.0009884124156087637,0.0015692280139774084,72.86565772164613,15.04747533495538,87.91313305660151,30092,0.0029214785676127046,111
2177,44.5051,50.0832,7.542099999999998,17.728972687589174,114,30153,91.75400973996148,37,37,max_evaluations,3,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260601_050348_budget100_seeds100/seed_runs/seed_002177,91.75400973996148,0.002923100022599101,0.14320017420686781,0.05140018300153315,0.3258264537435025,91.2247251495719,0.0004945634864270687,0.0010286751203238964,0.002020319690927863,73.00820677634329,15.058085036464036,88.06629181280732,30153,0.0029206477568668896,115
4854,45.04599999999999,49.2907,6.749600000000001,15.866068343319755,110,30253,92.07510582986288,27,27,max_evaluations,6,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260601_050348_budget100_seeds100/seed_runs/seed_004854,92.07510582986288,0.0030072201043367386,0.1857970110140741,0.06023144815117121,0.31565150059759617,91.50486962171271,0.0004613890778273344,0.0009907071944326162,0.0017070064786821604,73.25627096183598,15.089948687236756,88.34621964907274,30253,0.0029202465755155766,111
1356,46.8448,52.5491,10.008000000000003,23.525484766496408,109,30129,91.63395777018741,25,25,max_evaluations,5,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260601_050348_budget100_seeds100/seed_runs/seed_001356,91.63395777018741,0.002927057910710573,0.2528006611391902,0.05635845731012523,0.3123096083290875,91.00431321864016,0.0004608188755810261,0.000980830518528819,0.0014644293114542961,72.9518173916731,14.985709749627858,87.93752714130096,30129,0.0029187004925918868,110
3557,45.4725,50.7004,8.159300000000002,19.17980494157415,123,30066,91.47516807587817,30,30,max_evaluations,3,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260601_050348_budget100_seeds100/seed_runs/seed_003557,91.47516807587817,0.0029125420842319727,0.15519671910442412,0.05604547564871609,0.35211459803394973,90.90287594730034,0.0005022042896598577,0.0011125486344099045,0.001816264120861888,72.79843295295723,14.998947721673176,87.7973806746304,30066,0.002920155014788479,124
3801,45.6596,50.1883,7.647199999999998,17.976027888324463,116,30122,91.6341553288512,31,31,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/athlete/dataset_hex177_impacts4904/run_20260601_050348_budget100_seeds100/seed_runs/seed_003801,91.6341553288512,0.002923928899690509,0.21924945199862123,0.0535486345179379,0.33147256216034293,91.02125650690868,0.0004819948226213455,0.0010400048922747374,0.0017158053815364838,72.93536973232403,15.013937373645604,87.94930710596964,30122,0.0029197698395182804,117
