h3_id,dimension,quantity
89a8100c093ffff,S_abastecimento,3
89a8100c097ffff,T_transporte,1
89a8100c09bffff,S_abastecimento,1
89a8100c0d3ffff,S_abastecimento,1
89a8100c40bffff,S_abastecimento,1
89a8100c41bffff,U_urbanidade,1
89a8100c44fffff,S_abastecimento,2
89a8100c44fffff,T_transporte,2
89a8100c453ffff,S_servicos,1
89a8100c457ffff,U_urbanidade,2
89a8100c46bffff,S_abastecimento,3
89a8100c46fffff,S_abastecimento,1
89a8100c47bffff,S_abastecimento,2
89a8100c483ffff,S_lazer,1
89a8100c483ffff,U_urbanidade,1
89a8100c48fffff,U_urbanidade,1
89a8100c493ffff,S_servicos,1
89a8100c497ffff,S_lazer,1
89a8100c497ffff,S_servicos,1
89a8100c49bffff,S_servicos,2
89a8100c49bffff,T_transporte,1
89a8100c4a3ffff,S_saude,1
89a8100c4abffff,S_saude,1
89a8100c4bbffff,U_urbanidade,1
89a8100c4c7ffff,S_abastecimento,1
89a8100c503ffff,S_abastecimento,1
89a8100c503ffff,U_urbanidade,1
89a8100c50fffff,S_saude,1
89a8100c51bffff,S_educacao,1
89a8100c51bffff,U_urbanidade,2
89a8100c55bffff,T_transporte,1
89a8100c59bffff,S_abastecimento,1
89a8100c59bffff,S_educacao,2
89a8100c5abffff,S_lazer,1
89a8100c5d7ffff,S_educacao,1
89a8100c637ffff,S_abastecimento,1
89a8100e207ffff,S_educacao,1
89a8100e22bffff,S_saude,1
89a8100e23bffff,T_transporte,1
89a8100e263ffff,S_servicos,1
89a8100e263ffff,U_urbanidade,1
89a8100e26bffff,S_lazer,1
89a8100e277ffff,S_servicos,1
89a8100e313ffff,S_saude,1
89a8100e31bffff,S_educacao,2
89a8100e347ffff,S_educacao,1
89a8100e367ffff,U_urbanidade,1
89a8100e373ffff,S_educacao,1
89a8100e373ffff,T_transporte,1
89a8100e37bffff,S_educacao,3
89a8100e38bffff,S_lazer,2
89a8100e38bffff,U_urbanidade,1
89a8100e38fffff,U_urbanidade,3
89a8100e39bffff,T_transporte,3
89a8100e3c3ffff,S_educacao,2
89a8100e3c3ffff,S_saude,4
89a8100e3c7ffff,S_saude,2
89a8100e3c7ffff,U_urbanidade,1
89a8100e3cbffff,S_saude,2
89a8100e3cfffff,S_saude,2
89a8100e3d3ffff,S_saude,1
89a8100e3d7ffff,S_saude,1
89a8100e3d7ffff,S_servicos,1
89a8100e3dbffff,S_saude,3
89a8100f137ffff,T_transporte,2
89a8100f1a7ffff,S_servicos,2
89a8100f1a7ffff,T_transporte,2
89a8100f1b3ffff,T_transporte,1
89a8100f1b7ffff,S_lazer,1
