h3_id,dimension,quantity
89a8100c093ffff,S_abastecimento,4
89a8100c097ffff,S_saude,2
89a8100c097ffff,S_servicos,1
89a8100c097ffff,T_transporte,4
89a8100c0d3ffff,S_abastecimento,2
89a8100c41bffff,S_abastecimento,1
89a8100c447ffff,S_abastecimento,1
89a8100c447ffff,S_educacao,3
89a8100c44fffff,S_educacao,4
89a8100c44fffff,T_transporte,2
89a8100c44fffff,U_urbanidade,2
89a8100c453ffff,S_abastecimento,3
89a8100c453ffff,S_servicos,1
89a8100c457ffff,S_abastecimento,4
89a8100c467ffff,S_abastecimento,2
89a8100c46fffff,S_abastecimento,1
89a8100c483ffff,S_lazer,5
89a8100c483ffff,S_saude,2
89a8100c483ffff,U_urbanidade,3
89a8100c49bffff,S_servicos,2
89a8100c49bffff,T_transporte,1
89a8100c4a3ffff,S_saude,2
89a8100c4a3ffff,U_urbanidade,3
89a8100c4cfffff,T_transporte,1
89a8100c503ffff,S_saude,4
89a8100c507ffff,S_saude,1
89a8100c51bffff,U_urbanidade,2
89a8100c5c7ffff,U_urbanidade,1
89a8100c6a7ffff,S_abastecimento,1
89a8100e22fffff,S_lazer,1
89a8100e22fffff,U_urbanidade,1
89a8100e233ffff,S_servicos,1
89a8100e23bffff,S_servicos,4
89a8100e247ffff,S_lazer,1
89a8100e247ffff,T_transporte,1
89a8100e247ffff,U_urbanidade,1
89a8100e24fffff,S_lazer,1
89a8100e273ffff,S_lazer,1
89a8100e273ffff,S_servicos,1
89a8100e273ffff,T_transporte,2
89a8100e2afffff,S_servicos,1
89a8100e347ffff,S_educacao,1
89a8100e373ffff,S_educacao,3
89a8100e373ffff,U_urbanidade,2
89a8100e38bffff,T_transporte,2
89a8100e3c3ffff,S_educacao,1
89a8100e3c3ffff,S_lazer,1
89a8100e3c3ffff,S_saude,1
89a8100e3c3ffff,S_servicos,1
89a8100e3c3ffff,T_transporte,1
89a8100e3c3ffff,U_urbanidade,3
89a8100e3cfffff,S_educacao,2
89a8100e3dbffff,S_servicos,1
