seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,accepted_iterations,improvement_iterations,stopping_reason,final_perturbation_strength,seed_dir,profile_total_runtime_s,profile_initial_eval_s,profile_initial_local_search_s,profile_iteration_perturbation_s,profile_iteration_candidate_eval_s,profile_iteration_local_search_s,profile_iteration_acceptance_update_s,profile_iteration_bookkeeping_s,profile_iteration_logging_s,profile_evaluation_build_final_matrix_s,profile_evaluation_objective_only_s,profile_evaluation_total_s,profile_evaluation_calls,profile_evaluation_avg_s,profile_local_search_calls
182,33.7979,36.2209,3.774000000000001,11.631311465810295,117,30219,40.30730218719691,31,31,max_evaluations,5,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260601_035654_budget100_seeds100/seed_runs/seed_000182,40.30730218719691,0.0012924319598823786,0.0813779910095036,0.05510873650200665,0.143445665249601,40.020784282824025,0.00043384870514273643,0.0009546482469886541,0.0015640195924788713,21.743905047653243,14.854681691387668,36.59858673904091,30219,0.0012111117753413718,118
57,34.1736,36.2782,3.831299999999999,11.807907689178316,107,30010,40.029347728937864,19,19,max_evaluations,10,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260601_035654_budget100_seeds100/seed_runs/seed_000057,40.029347728937864,0.0012624089140444994,0.06724284403026104,0.09058516286313534,0.13162603159435093,39.734042493859306,0.00041860202327370644,0.0008833552710711956,0.0010976956691592932,21.572793923318386,14.71713391551748,36.289927838835865,30010,0.00120926117423645,108
7217,33.6394,36.8943,4.447400000000002,13.706702335199978,105,30133,40.15929176309146,25,25,max_evaluations,6,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260601_035654_budget100_seeds100/seed_runs/seed_007217,40.15929176309146,0.0012608389370143414,0.07180135603994131,0.054804346058517694,0.12837613746523857,39.89840173232369,0.0003784697037190199,0.00089037767611444,0.0012784472201019526,21.663135358365253,14.769286008784547,36.4324213671498,30133,0.0012090539065857963,106
395,33.8107,36.9796,4.532699999999998,13.969593397212057,120,30225,40.340441924054176,32,32,max_evaluations,4,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260601_035654_budget100_seeds100/seed_runs/seed_000395,40.340441924054176,0.0012563581112772226,0.07046599988825619,0.05404690932482481,0.14672966743819416,40.06237280066125,0.0004410885740071535,0.0009929582010954618,0.0016865129582583904,21.72487611719407,14.891488613095134,36.616364730289206,30225,0.0012114595444264419,121
2949,33.258900000000004,36.246300000000005,3.7994000000000057,11.709593212294566,113,30290,40.891214025905356,27,27,max_evaluations,5,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260601_035654_budget100_seeds100/seed_runs/seed_002949,40.891214025905356,0.0012651151046156883,0.06526852305978537,0.05883946642279625,0.14065034175291657,40.62016338086687,0.0003985282965004444,0.0009096176363527775,0.001433812314644456,21.709916927153245,15.365822742693126,37.07573966984637,30290,0.0012240257401732047,114
2177,33.9696,36.3281,3.8811999999999998,11.96169741947613,116,30313,40.47995675797574,28,28,max_evaluations,3,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260601_035654_budget100_seeds100/seed_runs/seed_002177,40.47995675797574,0.0012609940022230148,0.07991615612991154,0.054558612406253815,0.1424181521870196,40.19608679320663,0.00042286887764930725,0.0010743413586169481,0.0017391347791999578,21.79971684748307,14.943000039318576,36.742716886801645,30313,0.0012121108727873072,117
4854,33.9511,36.5569,4.109999999999999,12.66684952953903,108,30042,40.08913589292206,34,34,max_evaluations,4,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260601_035654_budget100_seeds100/seed_runs/seed_004854,40.08913589292206,0.0012597599998116493,0.08113622502423823,0.04903986770659685,0.13234013598412275,39.81993254297413,0.00042586447671055794,0.0009371063206344843,0.0018036884721368551,21.593386385124177,14.806802741251886,36.40018912637606,30042,0.0012116433368742447,109
1356,33.6933,36.774300000000004,4.327400000000004,13.336867312439724,111,30133,40.20308669609949,27,27,max_evaluations,3,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260601_035654_budget100_seeds100/seed_runs/seed_001356,40.20308669609949,0.001260882942005992,0.07248432282358408,0.05865960358642042,0.13583299540914595,39.92972815502435,0.0004011867567896843,0.000942746177315712,0.0014569973573088646,21.659892591182142,14.814375959336758,36.4742685505189,30133,0.0012104426559094315,112
3557,34.0381,36.447100000000006,4.000200000000007,12.32845048371341,106,30094,40.13810884207487,30,30,max_evaluations,7,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260601_035654_budget100_seeds100/seed_runs/seed_003557,40.13810884207487,0.0012584510259330273,0.0518376890104264,0.0680061976891011,0.1299954925198108,39.881950435461476,0.0004037774633616209,0.0008882957044988871,0.0015568435192108154,21.62238637311384,14.792095398763195,36.414481771877035,30094,0.0012100246484972764,107
3801,34.2903,36.5807,4.133800000000001,12.740200142386488,112,30218,40.24330122512765,31,31,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/metro_ana_rosa/elderly/dataset_hex177_impacts1308/run_20260601_035654_budget100_seeds100/seed_runs/seed_003801,40.24330122512765,0.001272057881578803,0.09069498581811786,0.05080224992707372,0.13666532607749104,39.958541380707175,0.0004392932169139385,0.0009215644095093012,0.0016737121623009443,21.696460964391008,14.845343708060682,36.54180467245169,30218,0.0012092727735936095,113
