h3_id,dimension,quantity
89a8100c083ffff,T_transporte,2
89a8100c097ffff,S_saude,1
89a8100c0dbffff,S_abastecimento,1
89a8100c41bffff,S_educacao,1
89a8100c437ffff,S_abastecimento,1
89a8100c443ffff,T_transporte,2
89a8100c447ffff,S_educacao,1
89a8100c44bffff,S_educacao,1
89a8100c44bffff,S_servicos,1
89a8100c44fffff,S_abastecimento,2
89a8100c44fffff,S_educacao,1
89a8100c457ffff,S_educacao,3
89a8100c457ffff,S_servicos,1
89a8100c457ffff,U_urbanidade,1
89a8100c467ffff,S_abastecimento,1
89a8100c473ffff,S_abastecimento,1
89a8100c47bffff,T_transporte,1
89a8100c483ffff,S_abastecimento,1
89a8100c483ffff,S_saude,1
89a8100c487ffff,U_urbanidade,1
89a8100c48fffff,S_servicos,1
89a8100c48fffff,T_transporte,1
89a8100c4a3ffff,S_educacao,2
89a8100c4a3ffff,S_lazer,1
89a8100c4a3ffff,S_saude,2
89a8100c4a3ffff,S_servicos,1
89a8100c4a3ffff,U_urbanidade,1
89a8100c4a7ffff,S_educacao,1
89a8100c4b7ffff,S_saude,1
89a8100c4c3ffff,T_transporte,1
89a8100c4cfffff,S_lazer,1
89a8100c4d3ffff,S_servicos,1
89a8100c507ffff,S_abastecimento,1
89a8100c507ffff,S_saude,1
89a8100c50fffff,T_transporte,1
89a8100c517ffff,S_servicos,1
89a8100c517ffff,U_urbanidade,1
89a8100c51bffff,U_urbanidade,1
89a8100c533ffff,S_abastecimento,1
89a8100c547ffff,S_saude,1
89a8100c547ffff,U_urbanidade,1
89a8100c54bffff,T_transporte,1
89a8100c573ffff,S_educacao,1
89a8100c58fffff,S_servicos,1
89a8100c593ffff,S_saude,1
89a8100c593ffff,S_servicos,1
89a8100c593ffff,U_urbanidade,1
89a8100c59bffff,S_abastecimento,1
89a8100c5abffff,S_abastecimento,1
89a8100c5abffff,S_saude,1
89a8100c5c3ffff,U_urbanidade,1
89a8100c5dbffff,U_urbanidade,1
89a8100c6a7ffff,S_lazer,2
89a8100c6afffff,T_transporte,1
89a8100e223ffff,S_servicos,1
89a8100e223ffff,U_urbanidade,1
89a8100e22fffff,S_lazer,1
89a8100e22fffff,S_saude,1
89a8100e233ffff,S_servicos,2
89a8100e243ffff,S_lazer,2
89a8100e243ffff,S_servicos,1
89a8100e243ffff,T_transporte,1
89a8100e24bffff,S_servicos,1
89a8100e24fffff,S_lazer,1
89a8100e24fffff,S_saude,1
89a8100e273ffff,S_saude,1
89a8100e2afffff,S_servicos,1
89a8100e30bffff,S_educacao,1
89a8100e30bffff,S_lazer,1
89a8100e313ffff,S_servicos,1
89a8100e323ffff,U_urbanidade,1
89a8100e333ffff,U_urbanidade,2
89a8100e357ffff,S_educacao,1
89a8100e373ffff,S_lazer,2
89a8100e37bffff,S_servicos,1
89a8100e383ffff,S_lazer,1
89a8100e383ffff,U_urbanidade,1
89a8100e387ffff,S_lazer,1
89a8100e38bffff,U_urbanidade,1
89a8100e38fffff,S_lazer,2
89a8100e393ffff,S_lazer,2
89a8100e3c7ffff,U_urbanidade,1
89a8100e3cbffff,S_educacao,1
89a8100e3cfffff,S_educacao,1
89a8100f1a3ffff,S_abastecimento,1
89a8100f1afffff,S_lazer,1
