h3_id,dimension,quantity
89a8100c083ffff,T_transporte,2
89a8100c08bffff,T_transporte,1
89a8100c093ffff,S_abastecimento,2
89a8100c097ffff,T_transporte,1
89a8100c097ffff,U_urbanidade,1
89a8100c433ffff,S_saude,1
89a8100c433ffff,T_transporte,1
89a8100c437ffff,T_transporte,1
89a8100c443ffff,T_transporte,1
89a8100c443ffff,U_urbanidade,1
89a8100c447ffff,S_educacao,2
89a8100c44fffff,S_abastecimento,3
89a8100c44fffff,S_educacao,3
89a8100c453ffff,S_educacao,1
89a8100c457ffff,S_educacao,1
89a8100c467ffff,S_abastecimento,3
89a8100c483ffff,S_abastecimento,1
89a8100c483ffff,S_lazer,1
89a8100c483ffff,U_urbanidade,1
89a8100c487ffff,S_lazer,1
89a8100c48fffff,T_transporte,1
89a8100c4a3ffff,U_urbanidade,1
89a8100c4b7ffff,U_urbanidade,1
89a8100c4c3ffff,S_abastecimento,5
89a8100c4c3ffff,S_servicos,2
89a8100c4cbffff,S_abastecimento,1
89a8100c507ffff,S_saude,2
89a8100c50bffff,S_lazer,1
89a8100c50bffff,S_saude,3
89a8100c513ffff,S_abastecimento,2
89a8100c51bffff,U_urbanidade,2
89a8100c557ffff,U_urbanidade,1
89a8100c573ffff,S_abastecimento,1
89a8100c587ffff,T_transporte,1
89a8100c58fffff,S_servicos,1
89a8100c58fffff,U_urbanidade,1
89a8100c593ffff,U_urbanidade,1
89a8100c5abffff,U_urbanidade,1
89a8100c5bbffff,S_servicos,1
89a8100c5c3ffff,U_urbanidade,1
89a8100c5cfffff,S_lazer,1
89a8100c6b3ffff,T_transporte,1
89a8100c6b7ffff,S_educacao,2
89a8100e20bffff,S_lazer,1
89a8100e22fffff,S_lazer,1
89a8100e22fffff,S_servicos,1
89a8100e233ffff,U_urbanidade,1
89a8100e23bffff,S_servicos,1
89a8100e23bffff,U_urbanidade,1
89a8100e243ffff,S_saude,1
89a8100e247ffff,S_lazer,1
89a8100e247ffff,S_servicos,1
89a8100e26bffff,U_urbanidade,1
89a8100e277ffff,S_servicos,1
89a8100e2a7ffff,U_urbanidade,1
89a8100e2afffff,S_servicos,1
89a8100e30bffff,S_saude,2
89a8100e32fffff,S_servicos,1
89a8100e33bffff,U_urbanidade,1
89a8100e343ffff,S_lazer,1
89a8100e347ffff,S_educacao,1
89a8100e347ffff,T_transporte,1
89a8100e363ffff,S_educacao,1
89a8100e363ffff,S_saude,1
89a8100e373ffff,S_saude,1
89a8100e377ffff,T_transporte,1
89a8100e37bffff,S_abastecimento,1
89a8100e37bffff,S_educacao,3
89a8100e37bffff,S_servicos,1
89a8100e37bffff,T_transporte,1
89a8100e393ffff,S_lazer,1
89a8100e3c3ffff,S_saude,1
89a8100e3c3ffff,T_transporte,1
89a8100e3c3ffff,U_urbanidade,1
89a8100e3c7ffff,S_lazer,1
89a8100e3d7ffff,S_servicos,1
89a8100e3dbffff,S_servicos,1
