h3_id,dimension,quantity
891f99cc34fffff,S_servicos,1
891f99ccac3ffff,S_abastecimento,1
891f99ccad3ffff,S_abastecimento,9
891f99ccad3ffff,U_urbanidade,1
891f99ccadbffff,U_urbanidade,1
891f99cce6bffff,S_abastecimento,1
891f99cd80bffff,S_educacao,1
891f99cd80fffff,S_educacao,1
891f99cd81bffff,S_lazer,1
891f99cd827ffff,S_educacao,3
891f99cd82fffff,S_educacao,2
891f99cd857ffff,S_educacao,2
891f99cd873ffff,S_abastecimento,1
891f99cd8c3ffff,S_lazer,10
891f99cd8c7ffff,S_lazer,5
891f99cd8cfffff,S_educacao,5
891f99cd8d7ffff,S_lazer,1
891f99cd903ffff,S_saude,2
891f99cd90bffff,U_urbanidade,2
891f99cd91bffff,U_urbanidade,6
891f99cd973ffff,U_urbanidade,1
891f99cd983ffff,S_saude,7
891f99cd987ffff,S_saude,1
891f99cd98fffff,S_saude,9
891f99cd997ffff,S_saude,1
891f99cdc6fffff,S_lazer,1
891f99cdca3ffff,S_servicos,2
891f99cdca3ffff,T_transporte,2
891f99cdcb3ffff,T_transporte,1
891f99cdcb7ffff,S_servicos,11
891f99cdcb7ffff,T_transporte,8
