h3_id,dimension,quantity
891f99cc34fffff,S_servicos,3
891f99cc37bffff,S_servicos,1
891f99ccac3ffff,S_abastecimento,1
891f99ccac3ffff,U_urbanidade,3
891f99ccad3ffff,S_abastecimento,8
891f99ccadbffff,U_urbanidade,1
891f99cd81bffff,S_lazer,2
891f99cd837ffff,S_educacao,1
891f99cd83bffff,S_abastecimento,1
891f99cd83bffff,S_educacao,2
891f99cd857ffff,S_educacao,9
891f99cd88bffff,S_lazer,1
891f99cd8c3ffff,S_lazer,5
891f99cd8cfffff,S_educacao,1
891f99cd8d3ffff,S_abastecimento,1
891f99cd8d7ffff,S_lazer,1
891f99cd90bffff,S_saude,3
891f99cd90bffff,U_urbanidade,2
891f99cd957ffff,U_urbanidade,5
891f99cd95bffff,S_educacao,1
891f99cd973ffff,U_urbanidade,1
891f99cd98fffff,S_saude,10
891f99cd9dbffff,S_educacao,2
891f99cdca3ffff,S_servicos,5
891f99cdca3ffff,T_transporte,9
891f99cdcafffff,S_servicos,1
891f99cdcb7ffff,S_servicos,5
891f99cdcb7ffff,T_transporte,14
891f99cdd23ffff,S_lazer,1
