seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,accepted_iterations,improvement_iterations,stopping_reason,final_perturbation_strength,seed_dir,profile_total_runtime_s,profile_initial_eval_s,profile_initial_local_search_s,profile_iteration_perturbation_s,profile_iteration_candidate_eval_s,profile_iteration_local_search_s,profile_iteration_acceptance_update_s,profile_iteration_bookkeeping_s,profile_iteration_logging_s,profile_evaluation_build_final_matrix_s,profile_evaluation_objective_only_s,profile_evaluation_total_s,profile_evaluation_calls,profile_evaluation_avg_s,profile_local_search_calls
182,57.59049999999999,59.7386,2.2900999999999954,3.986352994421082,123,30138,86.01059967000037,33,33,max_evaluations,6,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/milao_italia/average_adult/dataset_hex183_impacts4440/run_20260601_120732_budget100_seeds100/seed_runs/seed_000182,86.01059967000037,0.0028817150741815567,0.162833594949916,0.06746932584792376,0.33043142152018845,85.44009732897393,0.0005906906444579363,0.0012718446087092161,0.002162236487492919,66.94088239804842,15.30855723656714,82.24943963461556,30138,0.0027290941547088578,124
57,58.0068,59.574299999999994,2.125799999999991,3.7003577116895845,115,30057,85.77058910997584,35,35,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/milao_italia/average_adult/dataset_hex183_impacts4440/run_20260601_120732_budget100_seeds100/seed_runs/seed_000057,85.77058910997584,0.002740719122812152,0.12555733579210937,0.051866028690710664,0.30828551948070526,85.27536347834393,0.0005585295148193836,0.0012080066371709108,0.00228322041220963,66.76490582362749,15.268005294259638,82.03291111788712,30057,0.0027292448054658525,116
7217,57.81810000000001,59.63709999999999,2.188599999999987,3.809673011479824,109,30085,85.86530235689133,41,41,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/milao_italia/average_adult/dataset_hex183_impacts4440/run_20260601_120732_budget100_seeds100/seed_runs/seed_007217,85.86530235689133,0.0027369819581508636,0.15693656797520816,0.04658572166226804,0.29193620989099145,85.36036372254603,0.0005532433278858662,0.001131892204284668,0.0024829378817230463,66.83116469089873,15.29414544114843,82.12531013204716,30085,0.002729775972479547,110
395,57.873599999999996,59.600899999999996,2.152399999999993,3.7466600520466034,110,30300,86.4939300250262,32,32,max_evaluations,4,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/milao_italia/average_adult/dataset_hex183_impacts4440/run_20260601_120732_budget100_seeds100/seed_runs/seed_000395,86.4939300250262,0.002751111052930355,0.14557150495238602,0.055517996195703745,0.29552173614501953,85.98814765247516,0.0005530097987502813,0.0011377520859241486,0.0020967002492398024,67.31502945581451,15.401440551038831,82.71647000685334,30300,0.002729916501876348,111
2949,57.93670000000001,59.5771,2.1285999999999987,3.7052316422534943,111,30057,85.77878600801341,37,37,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/milao_italia/average_adult/dataset_hex183_impacts4440/run_20260601_120732_budget100_seeds100/seed_runs/seed_002949,85.77878600801341,0.0027495678514242172,0.16565020103007555,0.04965414246544242,0.2977360275108367,85.25620819535106,0.0005575544200837612,0.0011542290449142456,0.0024571509566158056,66.76707986672409,15.269561387365684,82.03664125408977,30057,0.002729368907545323,112
2177,57.7898,59.4499,2.0013999999999967,3.4838159394936277,113,30189,86.11762120900676,35,35,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/milao_italia/average_adult/dataset_hex183_impacts4440/run_20260601_120732_budget100_seeds100/seed_runs/seed_002177,86.11762120900676,0.002736973110586405,0.1313572700601071,0.05312585621140897,0.30235275672748685,85.62143605272286,0.0005584806203842163,0.0011618861462920904,0.002245296025648713,67.05344872293063,15.306279805954546,82.35972852888517,30189,0.0027281370210634724,114
4854,57.781200000000005,59.83890000000001,2.3904000000000067,4.1609441499778175,115,30150,86.01032618014142,42,42,max_evaluations,3,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/milao_italia/average_adult/dataset_hex183_impacts4440/run_20260601_120732_budget100_seeds100/seed_runs/seed_004854,86.01032618014142,0.0027380092069506645,0.15698003093712032,0.05011725821532309,0.3076749611645937,85.48568416084163,0.0006085848435759544,0.001198336947709322,0.002595745027065277,66.96452112612315,15.298686471302062,82.26320759742521,30150,0.002728464596929526,116
1356,57.9165,59.6964,2.2478999999999942,3.9128958980652135,118,30183,86.10497596790083,43,43,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/milao_italia/average_adult/dataset_hex183_impacts4440/run_20260601_120732_budget100_seeds100/seed_runs/seed_001356,86.10497596790083,0.002768494188785553,0.21389216696843505,0.051048063673079014,0.3156347672920674,85.51437134528533,0.0006111206021159887,0.0012046413030475378,0.0026407409459352493,67.02621914353222,15.329305860213935,82.35552500374615,30183,0.002728540072350202,119
3557,57.858700000000006,59.486999999999995,2.038499999999992,3.548395519465246,114,30087,85.81687430199236,39,39,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/milao_italia/average_adult/dataset_hex183_impacts4440/run_20260601_120732_budget100_seeds100/seed_runs/seed_003557,85.81687430199236,0.002743723103776574,0.12550756405107677,0.049309926806017756,0.3050044197589159,85.32724069501273,0.0005930676124989986,0.0011967781465500593,0.002569301286712289,66.83198719029315,15.249364835675806,82.08135202596895,30087,0.002728133480439025,115
3801,57.811400000000006,59.5067,2.0581999999999994,3.582687102361244,110,30144,85.94563792296685,40,40,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/milao_italia/average_adult/dataset_hex183_impacts4440/run_20260601_120732_budget100_seeds100/seed_runs/seed_003801,85.94563792296685,0.0027485580649226904,0.16554431011900306,0.04677706793881953,0.29409893648698926,85.42970669129863,0.0005646042991429567,0.0011144033633172512,0.0024548207875341177,66.94744283147156,15.261905916035175,82.20934874750674,30144,0.0027272209642883074,111
