h3_id,dimension,quantity
891f99cc34fffff,S_educacao,1
891f99cc34fffff,S_servicos,1
891f99cc36fffff,S_educacao,1
891f99cc36fffff,S_lazer,1
891f99cc37bffff,S_servicos,1
891f99ccac3ffff,U_urbanidade,2
891f99ccacbffff,S_abastecimento,1
891f99ccad3ffff,S_abastecimento,1
891f99ccad3ffff,S_educacao,3
891f99ccad3ffff,S_lazer,1
891f99ccad3ffff,S_saude,2
891f99ccad3ffff,U_urbanidade,4
891f99ccad7ffff,S_abastecimento,1
891f99cce4fffff,U_urbanidade,1
891f99cce6bffff,S_saude,1
891f99cd803ffff,S_abastecimento,2
891f99cd807ffff,S_abastecimento,3
891f99cd80bffff,S_abastecimento,2
891f99cd80fffff,S_abastecimento,2
891f99cd817ffff,S_abastecimento,1
891f99cd81bffff,S_abastecimento,1
891f99cd81bffff,S_lazer,1
891f99cd827ffff,S_educacao,1
891f99cd827ffff,U_urbanidade,1
891f99cd82fffff,S_educacao,2
891f99cd82fffff,T_transporte,1
891f99cd82fffff,U_urbanidade,1
891f99cd833ffff,S_servicos,3
891f99cd847ffff,S_abastecimento,1
891f99cd857ffff,S_abastecimento,2
891f99cd873ffff,S_abastecimento,1
891f99cd877ffff,S_abastecimento,1
891f99cd88bffff,S_lazer,2
891f99cd89bffff,S_lazer,2
891f99cd90bffff,S_saude,1
891f99cd90bffff,U_urbanidade,1
891f99cd913ffff,S_saude,3
891f99cd913ffff,U_urbanidade,1
891f99cd917ffff,S_saude,3
891f99cd917ffff,U_urbanidade,1
891f99cd957ffff,S_saude,1
891f99cd987ffff,S_saude,2
891f99cd98fffff,S_saude,1
891f99cd997ffff,S_educacao,1
891f99cd997ffff,U_urbanidade,1
891f99cd99bffff,S_saude,5
891f99cd99bffff,U_urbanidade,1
891f99cd9dbffff,S_educacao,2
891f99cd9dbffff,S_servicos,1
891f99cdc0fffff,S_educacao,1
891f99cdc23ffff,S_educacao,1
891f99cdc23ffff,S_servicos,2
891f99cdc37ffff,T_transporte,2
891f99cdca3ffff,S_servicos,1
891f99cdca3ffff,T_transporte,1
891f99cdcafffff,T_transporte,2
891f99cdcb3ffff,S_servicos,1
891f99cdd13ffff,S_servicos,1
891f99cdd2bffff,U_urbanidade,1
891f99cdd6fffff,S_educacao,2
891f99cdd6fffff,T_transporte,1
891f99cdd87ffff,T_transporte,1
891f99cdda7ffff,S_lazer,2
891f99cddcbffff,T_transporte,2
891f99cddd3ffff,S_servicos,1
891f99cddd7ffff,S_educacao,1
