h3_id,dimension,quantity
891f99cc363ffff,S_servicos,1
891f99cc367ffff,S_saude,1
891f99cc36bffff,S_servicos,1
891f99cca4bffff,S_saude,1
891f99cca4bffff,U_urbanidade,1
891f99ccac3ffff,S_abastecimento,1
891f99ccac3ffff,U_urbanidade,1
891f99ccad3ffff,S_abastecimento,1
891f99ccad3ffff,S_saude,2
891f99ccad3ffff,U_urbanidade,1
891f99ccadbffff,S_abastecimento,1
891f99ccadbffff,S_saude,1
891f99cd81bffff,S_lazer,3
891f99cd827ffff,S_educacao,1
891f99cd82fffff,S_educacao,1
891f99cd82fffff,S_saude,1
891f99cd833ffff,S_abastecimento,1
891f99cd837ffff,S_educacao,1
891f99cd83bffff,S_saude,1
891f99cd857ffff,S_abastecimento,2
891f99cd877ffff,S_abastecimento,1
891f99cd89bffff,S_lazer,1
891f99cd8a3ffff,S_abastecimento,1
891f99cd8a7ffff,S_servicos,2
891f99cd90bffff,S_abastecimento,1
891f99cd917ffff,S_saude,1
891f99cd943ffff,S_educacao,1
891f99cd94fffff,U_urbanidade,1
891f99cd953ffff,S_servicos,1
891f99cd95bffff,S_educacao,3
891f99cd95bffff,S_saude,1
891f99cd95bffff,U_urbanidade,2
891f99cd963ffff,S_abastecimento,1
891f99cd987ffff,S_saude,1
891f99cd98fffff,S_saude,1
891f99cd98fffff,U_urbanidade,1
891f99cd997ffff,S_educacao,1
891f99cd9c7ffff,U_urbanidade,1
891f99cd9dbffff,S_abastecimento,1
891f99cd9dbffff,S_educacao,2
891f99cdc23ffff,S_servicos,1
891f99cdc2bffff,S_lazer,1
891f99cdc2bffff,S_saude,1
891f99cdc33ffff,S_educacao,1
891f99cdc33ffff,T_transporte,1
891f99cdc37ffff,T_transporte,2
891f99cdc87ffff,T_transporte,1
891f99cdca3ffff,S_servicos,2
891f99cdca3ffff,T_transporte,7
891f99cdcb3ffff,S_saude,1
891f99cdcb3ffff,T_transporte,1
891f99cdcb7ffff,S_educacao,2
891f99cdcb7ffff,S_servicos,1
891f99cdcb7ffff,T_transporte,8
891f99cdcbbffff,S_servicos,1
891f99cdd0fffff,T_transporte,1
891f99cdd23ffff,U_urbanidade,3
891f99cdd6bffff,S_educacao,1
891f99cdd6bffff,S_servicos,1
891f99cdd6fffff,S_educacao,1
891f99cdd77ffff,T_transporte,1
891f99cdd8bffff,S_educacao,1
891f99cdda3ffff,S_lazer,2
891f99cdda7ffff,S_lazer,1
891f99cddafffff,S_lazer,1
891f99cddb7ffff,S_lazer,1
891f99cddb7ffff,U_urbanidade,1
891f99cddc7ffff,S_servicos,1
891f99cddcbffff,T_transporte,1
891f99cddd7ffff,S_servicos,2
891f99cdddbffff,S_servicos,1
