h3_id,dimension,quantity
891f99cc34fffff,S_servicos,1
891f99cc34fffff,T_transporte,1
891f99cc35bffff,U_urbanidade,1
891f99cc367ffff,S_lazer,1
891f99cc367ffff,S_saude,1
891f99cca4bffff,S_educacao,1
891f99cca5bffff,S_educacao,1
891f99cca5bffff,S_saude,3
891f99ccad3ffff,S_abastecimento,2
891f99ccad3ffff,S_educacao,1
891f99ccad3ffff,S_servicos,1
891f99ccad7ffff,S_educacao,1
891f99ccadbffff,S_abastecimento,1
891f99ccadbffff,S_lazer,2
891f99cce4fffff,S_lazer,1
891f99cce6fffff,U_urbanidade,2
891f99cd807ffff,S_saude,1
891f99cd807ffff,S_servicos,1
891f99cd80bffff,S_abastecimento,2
891f99cd81bffff,S_abastecimento,3
891f99cd81bffff,S_lazer,2
891f99cd823ffff,S_saude,1
891f99cd827ffff,U_urbanidade,1
891f99cd82bffff,S_saude,1
891f99cd837ffff,T_transporte,1
891f99cd83bffff,S_servicos,1
891f99cd873ffff,S_saude,1
891f99cd883ffff,S_lazer,1
891f99cd88fffff,S_abastecimento,1
891f99cd8a7ffff,T_transporte,1
891f99cd8abffff,S_abastecimento,1
891f99cd8afffff,S_educacao,2
891f99cd8b7ffff,S_servicos,1
891f99cd8c7ffff,S_lazer,1
891f99cd917ffff,S_saude,3
891f99cd917ffff,S_servicos,1
891f99cd947ffff,U_urbanidade,1
891f99cd953ffff,S_lazer,1
891f99cd95bffff,U_urbanidade,1
891f99cd973ffff,S_saude,1
891f99cd983ffff,S_lazer,1
891f99cd987ffff,S_educacao,1
891f99cd987ffff,S_saude,1
891f99cd98bffff,S_servicos,1
891f99cd993ffff,U_urbanidade,1
891f99cd9bbffff,S_abastecimento,1
891f99cd9dbffff,S_educacao,1
891f99cd9dbffff,S_servicos,1
891f99cdc0fffff,S_saude,1
891f99cdc2bffff,S_abastecimento,1
891f99cdc2fffff,S_saude,1
891f99cdc2fffff,S_servicos,1
891f99cdc37ffff,S_abastecimento,1
891f99cdc37ffff,S_servicos,2
891f99cdca3ffff,T_transporte,1
891f99cdcafffff,T_transporte,3
891f99cdcb3ffff,S_servicos,2
891f99cdcb7ffff,S_educacao,1
891f99cdcb7ffff,T_transporte,5
891f99cdd03ffff,S_lazer,1
891f99cdd0fffff,S_lazer,1
891f99cdd0fffff,S_servicos,1
891f99cdd27ffff,U_urbanidade,2
891f99cdd4fffff,S_saude,1
891f99cdd57ffff,S_educacao,1
891f99cdd6bffff,T_transporte,5
891f99cdd6fffff,S_educacao,1
891f99cdd73ffff,S_servicos,1
891f99cdd83ffff,S_servicos,2
891f99cdda3ffff,S_lazer,1
891f99cddabffff,S_abastecimento,1
891f99cddc3ffff,S_servicos,1
891f99cddcfffff,S_educacao,1
891f99cdddbffff,T_transporte,1
