h3_id,dimension,quantity
892f5a3625bffff,S_saude,1
892f5a36283ffff,S_lazer,1
892f5a36293ffff,S_abastecimento,4
892f5a36293ffff,S_servicos,4
892f5a3629bffff,S_lazer,1
892f5a362cfffff,S_lazer,2
892f5a362d3ffff,T_transporte,2
892f5a362d7ffff,T_transporte,1
892f5a362dbffff,S_lazer,1
892f5a36623ffff,S_servicos,1
892f5a3662bffff,S_abastecimento,4
892f5a3662bffff,S_servicos,4
892f5a3662fffff,S_abastecimento,1
892f5a3662fffff,S_servicos,1
892f5a36653ffff,U_urbanidade,6
892f5a36663ffff,S_servicos,1
892f5a36667ffff,S_abastecimento,8
892f5a36667ffff,S_lazer,1
892f5a3666bffff,T_transporte,4
892f5a3667bffff,T_transporte,1
892f5a37083ffff,S_educacao,2
892f5a37097ffff,S_educacao,2
892f5a37183ffff,S_educacao,3
892f5a37183ffff,S_saude,4
892f5a37183ffff,U_urbanidade,1
892f5a37187ffff,S_educacao,1
892f5a3718bffff,S_saude,5
892f5a3718bffff,U_urbanidade,1
892f5a3718fffff,S_educacao,1
892f5a3718fffff,S_saude,3
892f5a3718fffff,U_urbanidade,3
892f5a3719bffff,S_saude,1
892f5a37407ffff,S_lazer,2
892f5a3742fffff,S_lazer,1
892f5a37437ffff,S_saude,1
892f5a37437ffff,T_transporte,7
892f5a37467ffff,S_educacao,3
892f5a374afffff,S_abastecimento,1
892f5a374afffff,T_transporte,2
892f5a37503ffff,U_urbanidade,5
892f5a3756fffff,U_urbanidade,1
892f5aadb03ffff,S_servicos,1
