h3_id,dimension,quantity
892f5a3624bffff,S_educacao,1
892f5a36293ffff,S_abastecimento,1
892f5a36293ffff,S_lazer,2
892f5a36293ffff,S_servicos,2
892f5a3629bffff,T_transporte,1
892f5a362c3ffff,S_lazer,1
892f5a362c3ffff,T_transporte,1
892f5a362c7ffff,S_lazer,1
892f5a362cfffff,T_transporte,1
892f5a36623ffff,S_servicos,1
892f5a3662bffff,S_abastecimento,3
892f5a3662bffff,S_servicos,1
892f5a3662fffff,S_abastecimento,2
892f5a3662fffff,S_servicos,1
892f5a36653ffff,U_urbanidade,2
892f5a36663ffff,S_lazer,1
892f5a36667ffff,S_abastecimento,3
892f5a36667ffff,S_lazer,4
892f5a3666bffff,T_transporte,5
892f5a3667bffff,T_transporte,1
892f5a37083ffff,S_educacao,1
892f5a37097ffff,S_educacao,2
892f5a37097ffff,S_lazer,2
892f5a37097ffff,S_servicos,2
892f5a37183ffff,S_educacao,3
892f5a3718bffff,S_educacao,2
892f5a3718bffff,S_servicos,1
892f5a3718fffff,S_educacao,5
892f5a3718fffff,S_saude,3
892f5a3718fffff,U_urbanidade,4
892f5a37197ffff,S_educacao,6
892f5a37407ffff,S_lazer,2
892f5a37407ffff,S_saude,3
892f5a37407ffff,S_servicos,2
892f5a3742bffff,S_saude,1
892f5a37433ffff,S_lazer,2
892f5a37433ffff,S_saude,1
892f5a37437ffff,S_saude,2
892f5a374a7ffff,T_transporte,2
892f5a374abffff,S_saude,1
892f5a374afffff,T_transporte,6
892f5a3750fffff,U_urbanidade,1
892f5a3751bffff,U_urbanidade,1
892f5a3752fffff,U_urbanidade,1
892f5a3755bffff,S_abastecimento,1
892f5a37567ffff,U_urbanidade,2
892f5a375cbffff,T_transporte,1
892f5a375d3ffff,T_transporte,3
892f5aadb13ffff,S_servicos,1
892f5aadbabffff,S_servicos,1
