seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,accepted_iterations,improvement_iterations,stopping_reason,final_perturbation_strength,seed_dir,profile_total_runtime_s,profile_initial_eval_s,profile_initial_local_search_s,profile_iteration_perturbation_s,profile_iteration_candidate_eval_s,profile_iteration_local_search_s,profile_iteration_acceptance_update_s,profile_iteration_bookkeeping_s,profile_iteration_logging_s,profile_evaluation_build_final_matrix_s,profile_evaluation_objective_only_s,profile_evaluation_total_s,profile_evaluation_calls,profile_evaluation_avg_s,profile_local_search_calls
182,57.23010000000001,60.516799999999996,3.4200000000000017,5.989827801207777,118,30121,117.31950528919697,36,36,max_evaluations,3,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/athlete/dataset_hex194_impacts6907/run_20260601_225413_budget100_seeds100/seed_runs/seed_000182,117.31950528919697,0.004159234929829836,0.20249728811904788,0.050629653967916965,0.44238632707856596,116.61353680375032,0.0005413657054305077,0.0010815311688929796,0.0021344246342778206,97.56011672015302,15.95493393111974,113.51505065127276,30121,0.003768634861102645,119
57,57.7861,60.0945,2.997700000000002,5.250206666573262,115,30364,120.21706797392108,36,36,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/athlete/dataset_hex194_impacts6907/run_20260601_225413_budget100_seeds100/seed_runs/seed_000057,120.21706797392108,0.0038777838926762342,0.17859263601712883,0.049610558431595564,0.4344430633354932,119.54431891487911,0.0005482800770550966,0.0010959722567349672,0.002014727098867297,100.27272589248605,16.044931781012565,116.31765767349862,30364,0.0038307751835561393,116
7217,57.2358,59.84889999999999,2.7520999999999987,4.820059968334475,117,30039,118.62891406496055,35,35,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/athlete/dataset_hex194_impacts6907/run_20260601_225413_budget100_seeds100/seed_runs/seed_007217,118.62891406496055,0.00388858700171113,0.24178265500813723,0.05092592095024884,0.44208136945962906,117.88383815181442,0.0005634361878037453,0.001146918162703514,0.0020789720583707094,98.81782335531898,15.944770352449268,114.76259370776825,30039,0.0038204532010975146,118
395,57.806700000000006,59.9225,2.8257000000000048,4.948963864875099,111,30202,119.6031157549005,31,31,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/athlete/dataset_hex194_impacts6907/run_20260601_225413_budget100_seeds100/seed_runs/seed_000395,119.6031157549005,0.003880470059812069,0.17063721804879606,0.04924090625718236,0.4217227476183325,118.9518032760825,0.0005030196625739336,0.0010294076055288315,0.0018010197672992945,99.76870101923123,15.949616318801418,115.71831733803265,30202,0.0038314786218804266,112
2949,57.591,60.2702,3.173400000000008,5.557929691331228,111,30234,119.80123910796829,27,27,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/athlete/dataset_hex194_impacts6907/run_20260601_225413_budget100_seeds100/seed_runs/seed_002949,119.80123910796829,0.003870435059070587,0.2537842800375074,0.054801599122583866,0.42320677172392607,119.05998793570325,0.0004874833393841982,0.0010713739320635796,0.0015600488986819983,99.89290831191465,16.004707515472546,115.8976158273872,30234,0.0038333537020370178,112
2177,57.344500000000004,60.0145,2.9177000000000035,5.11009373555086,117,30246,119.33167332899757,30,30,max_evaluations,7,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/athlete/dataset_hex194_impacts6907/run_20260601_225413_budget100_seeds100/seed_runs/seed_002177,119.33167332899757,0.003872079076245427,0.21395534509792924,0.068610655143857,0.444488906301558,118.59464648622088,0.0005378874484449625,0.0011397344060242176,0.0017897177021950483,99.50713041028939,15.917044229106978,115.42417463939637,30246,0.0038161798135091045,118
4854,58.17300000000001,60.369600000000005,3.272800000000011,5.73202000812657,114,30030,118.95582041307352,34,34,max_evaluations,3,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/athlete/dataset_hex194_impacts6907/run_20260601_225413_budget100_seeds100/seed_runs/seed_004854,118.95582041307352,0.00384720996953547,0.21423002611845732,0.05203124042600393,0.4323481151368469,118.2470828644,0.0005379929207265377,0.0011113118380308151,0.002061476930975914,99.31687316368334,15.764449012931436,115.08132217661478,30030,0.003832211860693133,115
1356,57.9874,60.3536,3.2568000000000055,5.703997421922079,104,30410,120.18860559398308,23,23,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/athlete/dataset_hex194_impacts6907/run_20260601_225413_budget100_seeds100/seed_runs/seed_001356,120.18860559398308,0.003846799023449421,0.21418953710235655,0.0629336650017649,0.3971083518117666,119.50521798827685,0.0004564251285046339,0.0010228871833533049,0.001469701062887907,100.2717108738143,15.990418563596904,116.2621294374112,30410,0.0038231545359227624,105
3557,57.64149999999999,59.862100000000005,2.7653000000000105,4.843178601953193,106,30023,114.1469761878252,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/athlete/dataset_hex194_impacts6907/run_20260601_225413_budget100_seeds100/seed_runs/seed_003557,114.1469761878252,0.003900592913851142,0.22617405117489398,0.04926061048172414,0.39072835398837924,113.47110383096151,0.0004941506776958704,0.0010474978480488062,0.0017818829510360956,94.38613171223551,15.981173222884536,110.36730493512005,30023,0.0036760918274363003,107
3801,58.1065,59.516000000000005,2.4192000000000107,4.237015034117518,114,30096,113.75561415893026,29,29,max_evaluations,6,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/athlete/dataset_hex194_impacts6907/run_20260601_225413_budget100_seeds100/seed_runs/seed_003801,113.75561415893026,0.0030591050162911415,0.24461562489159405,0.05774204316549003,0.40989204752258956,113.03441888932139,0.0005027325823903084,0.0010715015232563019,0.0017568825278431177,93.94203178212047,16.0594545728527,110.00148635497317,30096,0.003655020147360884,115
9674,57.4477,60.56190000000001,3.465100000000014,6.068816466071678,109,30032,107.58103744802065,41,41,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/athlete/dataset_hex194_impacts6907/run_20260601_225413_budget100_seeds100/seed_runs/seed_009674,107.58103744802065,0.003891106927767396,0.1551808500662446,0.04313794383779168,0.37532421853393316,106.99708014074713,0.0005543781444430351,0.0011007701978087425,0.0022153861355036497,87.58033473789692,16.36336106294766,103.94369580084458,30032,0.0034610980221378724,110
516,57.4555,59.2962,2.1994000000000042,3.8520547561334513,118,30414,103.45795736392029,33,33,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/athlete/dataset_hex194_impacts6907/run_20260601_225413_budget100_seeds100/seed_runs/seed_000516,103.45795736392029,0.003081267001107335,0.25392000400461257,0.04634424648247659,0.382716171676293,102.76517040957697,0.0005609982181340456,0.0012358862441033125,0.0021647093817591667,83.01253176131286,16.852463172283024,99.86499493359588,30414,0.0032835205804430815,119
4089,57.7543,60.2615,3.1647000000000034,5.542692410082534,117,30077,107.13355701300316,36,36,max_evaluations,5,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/athlete/dataset_hex194_impacts6907/run_20260601_225413_budget100_seeds100/seed_runs/seed_004089,107.13355701300316,0.003008783794939518,0.20183066907338798,0.05054212361574173,0.3923196110408753,106.47945850039832,0.000547872856259346,0.0011069695465266705,0.002130642533302307,87.07441963697784,16.42403561878018,103.49845525575802,30077,0.0034411163099962766,118
4937,57.6773,60.311400000000006,3.2146000000000114,5.630087850807772,103,30097,114.59319345606491,24,24,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/athlete/dataset_hex194_impacts6907/run_20260601_225413_budget100_seeds100/seed_runs/seed_004937,114.59319345606491,0.00333849317394197,0.21032508998177946,0.05800536437891424,0.3718673144467175,113.94435564544983,0.00047066970728337765,0.0009884792380034924,0.0014824112877249718,94.76924954308197,16.03094408591278,110.80019362899475,30097,0.0036814364763595956,104
9998,57.2448,59.926199999999994,2.8293999999999997,4.955444087934875,112,30105,119.13224493386224,32,32,max_evaluations,3,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/athlete/dataset_hex194_impacts6907/run_20260601_225413_budget100_seeds100/seed_runs/seed_009998,119.13224493386224,0.00388933508656919,0.20280729699879885,0.053659411845728755,0.42630798695608974,118.43964593717828,0.0005247972439974546,0.00107114901766181,0.0018066021148115396,99.45577845908701,15.79531129472889,115.2510897538159,30105,0.0038283039280457036,113
3129,57.8849,60.33120000000001,3.234400000000015,5.6647658012358235,112,30127,118.99079540907405,27,27,max_evaluations,5,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/athlete/dataset_hex194_impacts6907/run_20260601_225413_budget100_seeds100/seed_runs/seed_003129,118.99079540907405,0.003892039880156517,0.1742865659762174,0.057527783792465925,0.4241529852151871,118.32527290447615,0.0004776441492140293,0.0010209411848336458,0.0016811008099466562,99.20665939385071,15.908916275249794,115.11557566910051,30127,0.0038210102455969895,113
2887,57.5912,60.23650000000001,3.139700000000012,5.498907119138046,115,30272,119.80764366406947,30,30,max_evaluations,4,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/athlete/dataset_hex194_impacts6907/run_20260601_225413_budget100_seeds100/seed_runs/seed_002887,119.80764366406947,0.003889546962454915,0.2068413831293583,0.056021742057055235,0.4374086626339704,119.09761856915429,0.0005189189687371254,0.0010575244668871164,0.001716379076242447,99.84814103855751,16.05460988264531,115.90275092120282,30272,0.0038287113808536874,116
7411,57.9675,60.2243,3.127500000000005,5.477539897157117,113,30106,116.74439465580508,35,35,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/athlete/dataset_hex194_impacts6907/run_20260601_225413_budget100_seeds100/seed_runs/seed_007411,116.74439465580508,0.0039000578690320253,0.2862477919552475,0.04958505090326071,0.4208626567851752,115.97716288361698,0.0005740849301218987,0.0011870269663631916,0.0022096429020166397,97.01598500041291,15.930804101284593,112.9467891016975,30106,0.0037516371853350662,114
3764,57.88969999999999,60.1428,3.0460000000000065,5.334799848678046,118,30014,118.5926019588951,34,34,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/athlete/dataset_hex194_impacts6907/run_20260601_225413_budget100_seeds100/seed_runs/seed_003764,118.5926019588951,0.0038792560808360577,0.2853582398965955,0.05225798860192299,0.4460612712427974,117.79872596194036,0.000521648908033967,0.0011032689362764359,0.002109046094119549,99.10093590524048,15.66867976798676,114.76961567322724,30014,0.0038238693833953234,119
