seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,accepted_iterations,improvement_iterations,stopping_reason,final_perturbation_strength,seed_dir,profile_total_runtime_s,profile_initial_eval_s,profile_initial_local_search_s,profile_iteration_perturbation_s,profile_iteration_candidate_eval_s,profile_iteration_local_search_s,profile_iteration_acceptance_update_s,profile_iteration_bookkeeping_s,profile_iteration_logging_s,profile_evaluation_build_final_matrix_s,profile_evaluation_objective_only_s,profile_evaluation_total_s,profile_evaluation_calls,profile_evaluation_avg_s,profile_local_search_calls
182,51.7107,54.22370000000001,2.9525000000000077,5.758593518388507,111,30185,83.38328028400429,34,34,max_evaluations,3,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/average_adult/dataset_hex194_impacts4221/run_20260601_191421_budget100_seeds100/seed_runs/seed_000182,83.38328028400429,0.0027646468952298164,0.13304359302856028,0.05374184111133218,0.28712512110359967,82.90157922031358,0.00042096059769392014,0.0009229702409356833,0.001526854233816266,64.11399313551374,15.436629510484636,79.55062264599837,30185,0.002635435568858651,112
57,52.220800000000004,53.9481,2.6768999999999963,5.221059776248646,116,30138,83.27538827690296,30,30,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/average_adult/dataset_hex194_impacts4221/run_20260601_191421_budget100_seeds100/seed_runs/seed_000057,83.27538827690296,0.002676052041351795,0.13810005621053278,0.05270470608957112,0.29865463729947805,82.7785093288403,0.0003991778939962387,0.0009269497822970152,0.0012076080311089754,63.99640889861621,15.450958867557347,79.44736776617356,30138,0.0026361194427690477,117
7217,51.4714,53.783,2.511800000000001,4.8990466382686595,116,30313,83.56935198488645,36,36,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/average_adult/dataset_hex194_impacts4221/run_20260601_191421_budget100_seeds100/seed_runs/seed_007217,83.56935198488645,0.002659193007275462,0.11602686299011111,0.050659860484302044,0.296089013107121,83.09827345237136,0.00048508006148040295,0.0010316637344658375,0.001701069064438343,64.16107153473422,15.548472685506567,79.70954422024079,30313,0.002629549837371451,117
395,51.878899999999994,53.8513,2.5801000000000016,5.032259826179223,107,30025,82.95570710720494,32,32,max_evaluations,5,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/average_adult/dataset_hex194_impacts4221/run_20260601_191421_budget100_seeds100/seed_runs/seed_000395,82.95570710720494,0.0026348677929490805,0.1330018718726933,0.054160450818017125,0.27609812188893557,82.48495900118724,0.0004004857037216425,0.0008672529365867376,0.0014425315894186497,63.81008963380009,15.331391838612035,79.14148147241212,30025,0.0026358528383817526,108
2949,51.8274,54.39750000000001,3.1263000000000076,6.097575246922264,109,30231,83.54319326998666,34,34,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/average_adult/dataset_hex194_impacts4221/run_20260601_191421_budget100_seeds100/seed_runs/seed_002949,83.54319326998666,0.0026411768049001694,0.14938742900267243,0.04774186201393604,0.2804061872884631,83.0582387871109,0.00042136688716709614,0.000878975261002779,0.0013462428469210863,64.24694961053319,15.44485574355349,79.69180535408668,30231,0.0026360955758687006,110
2177,51.8066,53.8429,2.5717,5.015876359437656,113,30272,83.66209422284737,28,28,max_evaluations,6,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/average_adult/dataset_hex194_impacts4221/run_20260601_191421_budget100_seeds100/seed_runs/seed_002177,83.66209422284737,0.002642011968418956,0.14956891117617488,0.06404687301255763,0.2929032128304243,83.14766087848693,0.0004399146419018507,0.0009734963532537222,0.0015088999643921852,64.34142581326887,15.447394950082526,79.7888207633514,30272,0.002635730072785128,114
4854,52.4638,54.3067,3.035499999999999,5.920477773096786,118,30193,83.41367187607102,41,41,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/average_adult/dataset_hex194_impacts4221/run_20260601_191421_budget100_seeds100/seed_runs/seed_004854,83.41367187607102,0.0026302728801965714,0.13819661596789956,0.05081864935345948,0.3039030802901834,82.91174731194042,0.0005434609483927488,0.001101481495425105,0.0021964884363114834,64.16342442645691,15.40985782421194,79.57328225066885,30193,0.0026354877703662722,119
1356,52.062799999999996,54.422,3.1507999999999967,6.1453603582518,109,30154,83.25740987202153,29,29,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/average_adult/dataset_hex194_impacts4221/run_20260601_191421_budget100_seeds100/seed_runs/seed_001356,83.25740987202153,0.002830804092809558,0.13276168308220804,0.05588000197894871,0.2817241216544062,82.77909173979424,0.000414959155023098,0.0009246349800378084,0.0014999411068856716,64.0552115808241,15.374041545204818,79.42925312602893,30154,0.002634119955098127,110
3557,51.7906,53.841300000000004,2.5701000000000036,5.012755699105937,117,30129,83.24301053001545,23,23,max_evaluations,9,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/average_adult/dataset_hex194_impacts4221/run_20260601_191421_budget100_seeds100/seed_runs/seed_003557,83.24301053001545,0.0026294789277017117,0.15196357597596943,0.09677342930808663,0.304430695483461,82.68250006577,0.0003840760327875614,0.0009431226644665003,0.0011110620107501745,63.99734830413945,15.374311188235879,79.37165949237533,30129,0.0026343940884986333,118
3801,52.332300000000004,53.4145,2.1432999999999964,4.180319555617962,113,30088,83.1308296569623,22,22,max_evaluations,9,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/average_adult/dataset_hex194_impacts4221/run_20260601_191421_budget100_seeds100/seed_runs/seed_003801,83.1308296569623,0.0026151849888265133,0.17128239409066737,0.08418897190131247,0.2924707131460309,82.57563535682857,0.0003715886268764734,0.0008964617736637592,0.0011417688801884651,63.90275235660374,15.388254350284114,79.29100670688786,30088,0.0026353033337838294,114
