seed,iter,eval_count,elapsed_s,current_sum_iqc,best_sum_iqc,delta_vs_baseline,delta_vs_best_prev,accepted,improved,perturbation_strength,no_improve_streak,local_search_accepted_moves,applied_perturbation_moves,t_initial_eval_s,t_initial_local_search_s,t_perturb_s,t_candidate_eval_s,t_local_search_s,t_acceptance_s,t_bookkeeping_s,t_logging_s,t_iter_total_s
1232,0,59,0.0,52.18979999999999,52.18979999999999,0.9185999999999908,0.0,True,False,10,0,25,0,0.005086192162707448,0.1304582878947258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1232,1,124,0.2829528129659593,52.40050000000001,52.40050000000001,1.1293000000000077,0.21070000000001698,True,True,10,0,25,20,0.0,0.0,0.001421157969161868,0.0021637119352817535,0.14308687602169812,9.100185707211494e-06,1.1455034837126732e-05,5.943397991359234e-05,0.1467697061598301
1232,2,209,0.4701447980478406,52.9176,52.9176,1.6463999999999999,0.5170999999999921,True,True,10,0,25,20,0.0,0.0,0.0014056861400604248,0.002131890971213579,0.18355239112861454,9.581213817000389e-06,1.1791940778493881e-05,6.075296550989151e-05,0.18719262001104653
1232,3,287,0.6432024850510061,52.9176,52.9176,1.6463999999999999,0.0,False,False,10,1,25,20,0.0,0.0,0.0011653478723019361,0.0021647161338478327,0.16962748998776078,4.351139068603516e-06,1.1774012818932533e-05,0.0,0.17299533286131918
1232,4,368,0.82780557195656,52.93520000000001,52.93520000000001,1.6640000000000086,0.01760000000000872,True,True,10,0,25,20,0.0,0.0,0.001211046939715743,0.0021375080104917288,0.1812107739970088,7.860129699110985e-06,1.0807998478412628e-05,5.586794577538967e-05,0.18465544399805367
1232,5,480,1.0758398538455367,53.0524,53.0524,1.7811999999999983,0.11719999999998976,True,True,10,0,25,20,0.0,0.0,0.0013647580053657293,0.002051234943792224,0.2445207058917731,8.388888090848923e-06,1.0333023965358734e-05,6.163702346384525e-05,0.24803738994523883
1232,6,568,1.2705084069166332,53.0524,53.0524,1.7811999999999983,0.0,False,False,10,1,25,20,0.0,0.0,0.0013539378996938467,0.001978680957108736,0.1912368591874838,4.125991836190224e-06,1.1523021385073662e-05,0.0,0.19460680498741567
1232,7,676,1.5111501179635525,53.15069999999999,53.15069999999999,1.879499999999993,0.09829999999999472,True,True,10,0,25,20,0.0,0.0,0.0011596239637583494,0.0021280949003994465,0.23730959906242788,8.970964699983597e-06,1.3426179066300392e-05,6.45520631223917e-05,0.2407067008316517
1232,8,770,1.7193875059019774,53.1843,53.1843,1.9131,0.03360000000000696,True,True,10,0,25,20,0.0,0.0,0.0011677430011332035,0.0021589091047644615,0.20479881903156638,8.99285078048706e-06,1.285807229578495e-05,5.8726174756884575e-05,0.20822945283725858
1232,9,914,2.0429278230294585,53.2508,53.2508,1.9795999999999978,0.06649999999999778,True,True,10,0,25,20,0.0,0.0,0.0011532730422914028,0.0021315061021596193,0.32015037909150124,9.060138836503029e-06,1.181894913315773e-05,5.646212957799435e-05,0.32353429798968136
1232,10,992,2.21521822293289,53.315599999999996,53.315599999999996,2.044399999999996,0.06479999999999819,True,True,10,0,25,20,0.0,0.0,0.0013524868991225958,0.0020941710099577904,0.1687446739524603,8.37910920381546e-06,1.03700440376997e-05,5.333893932402134e-05,0.1722832191735506
1232,11,1095,2.4419143910054117,53.3751,53.3751,2.103900000000003,0.05950000000000699,True,True,10,0,25,20,0.0,0.0,0.001243595965206623,0.002004527021199465,0.2233522420283407,1.0047107934951782e-05,1.1119991540908813e-05,6.004911847412586e-05,0.2267017608974129
1232,12,1229,2.738036925904453,53.4643,53.4643,2.193100000000001,0.08919999999999817,True,True,10,0,25,20,0.0,0.0,0.001142367022112012,0.0021672609727829695,0.29271003301255405,8.523929864168167e-06,1.0298099368810654e-05,5.502603016793728e-05,0.2961146899033338
1232,13,1347,3.001177805941552,53.4643,53.4643,2.193100000000001,0.0,False,False,10,1,25,20,0.0,0.0,0.0011741318739950657,0.0020522000268101692,0.25982299307361245,4.6298373490571976e-06,1.110415905714035e-05,0.0,0.26308503095060587
1232,14,1500,3.3457999320235103,53.4643,53.4643,2.193100000000001,0.0,False,False,10,2,25,20,0.0,0.0,0.0013195730280131102,0.002098029013723135,0.341165839927271,4.085013642907143e-06,1.1304859071969986e-05,0.0,0.3446203120984137
1232,15,1610,3.591073744930327,53.52289999999999,53.52289999999999,2.2516999999999925,0.058599999999991326,True,True,10,0,25,20,0.0,0.0,0.0014049250166863203,0.0021442549768835306,0.24168037599883974,9.177019819617271e-06,1.3681827113032341e-05,6.135297007858753e-05,0.24533553305082023
1232,16,1705,3.80109277786687,53.52289999999999,53.52289999999999,2.2516999999999925,0.0,False,False,10,1,25,20,0.0,0.0,0.001339418813586235,0.0019397679716348648,0.20663785701617599,4.195841029286385e-06,2.866494469344616e-05,0.0,0.20996982092037797
