h3_id,dimension,quantity
892f5a36213ffff,S_servicos,1
892f5a3624bffff,S_saude,1
892f5a3625bffff,S_abastecimento,1
892f5a3625bffff,S_saude,1
892f5a3628bffff,S_lazer,1
892f5a3629bffff,S_servicos,1
892f5a362c7ffff,S_abastecimento,2
892f5a362c7ffff,T_transporte,1
892f5a362cbffff,S_lazer,1
892f5a362dbffff,T_transporte,1
892f5a36623ffff,S_abastecimento,1
892f5a36623ffff,S_servicos,1
892f5a36627ffff,S_servicos,1
892f5a3662fffff,S_abastecimento,1
892f5a36667ffff,S_abastecimento,1
892f5a366cfffff,U_urbanidade,1
892f5a37083ffff,S_educacao,3
892f5a37083ffff,S_lazer,1
892f5a37087ffff,S_educacao,1
892f5a37087ffff,S_servicos,1
892f5a37097ffff,S_educacao,2
892f5a370a3ffff,S_servicos,1
892f5a37113ffff,U_urbanidade,1
892f5a3718bffff,S_educacao,1
892f5a3718bffff,S_saude,5
892f5a3718fffff,S_educacao,1
892f5a3718fffff,U_urbanidade,1
892f5a37197ffff,S_educacao,2
892f5a3719bffff,S_saude,2
892f5a3719bffff,U_urbanidade,1
892f5a371b3ffff,S_saude,1
892f5a37407ffff,S_lazer,2
892f5a37407ffff,S_saude,1
892f5a37427ffff,S_saude,1
892f5a3742fffff,S_lazer,1
892f5a37433ffff,S_saude,3
892f5a37437ffff,T_transporte,1
892f5a3743bffff,S_saude,1
892f5a37467ffff,S_educacao,1
892f5a37467ffff,S_servicos,1
892f5a374a3ffff,S_saude,1
892f5a374a7ffff,T_transporte,2
892f5a374a7ffff,U_urbanidade,1
892f5a374abffff,S_servicos,1
892f5a374abffff,T_transporte,1
892f5a374afffff,T_transporte,1
892f5a374b7ffff,S_abastecimento,2
892f5a37507ffff,S_abastecimento,2
892f5a37507ffff,U_urbanidade,1
892f5a3750bffff,U_urbanidade,1
892f5a3750fffff,U_urbanidade,1
892f5a37513ffff,U_urbanidade,1
892f5a37517ffff,U_urbanidade,2
892f5a37527ffff,S_lazer,1
892f5a3753bffff,U_urbanidade,2
892f5a3754fffff,S_educacao,1
892f5a37557ffff,U_urbanidade,2
892f5a37573ffff,S_servicos,1
892f5a37573ffff,U_urbanidade,1
892f5a37577ffff,S_abastecimento,1
892f5a37597ffff,S_abastecimento,1
892f5a375c3ffff,T_transporte,1
892f5a375c3ffff,U_urbanidade,1
892f5a375cbffff,U_urbanidade,1
892f5a375cfffff,T_transporte,3
892f5a375d3ffff,T_transporte,1
892f5a375dbffff,S_saude,1
892f5aadb0bffff,S_educacao,1
892f5aadb0fffff,S_abastecimento,1
892f5aadb13ffff,S_servicos,1
892f5aadb1bffff,S_saude,1
892f5aadb4fffff,S_abastecimento,1
892f5aadb4fffff,U_urbanidade,2
892f5aadb6fffff,T_transporte,1
892f5aadb7bffff,S_abastecimento,1
892f5aadba3ffff,S_servicos,3
