seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,accepted_iterations,improvement_iterations,stopping_reason,final_perturbation_strength,seed_dir,profile_total_runtime_s,profile_initial_eval_s,profile_initial_local_search_s,profile_iteration_perturbation_s,profile_iteration_candidate_eval_s,profile_iteration_local_search_s,profile_iteration_acceptance_update_s,profile_iteration_bookkeeping_s,profile_iteration_logging_s,profile_evaluation_build_final_matrix_s,profile_evaluation_objective_only_s,profile_evaluation_total_s,profile_evaluation_calls,profile_evaluation_avg_s,profile_local_search_calls
182,43.2053,44.5847,2.356099999999998,5.579394059949887,115,30037,49.648334556026384,41,41,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260601_213200_budget100_seeds100/seed_runs/seed_000182,49.648334556026384,0.0016655558720231056,0.07792388717643917,0.050800297409296036,0.18170525296591222,49.33048333111219,0.0005030352622270584,0.000990227097645402,0.001892345491796732,30.481726931408048,15.342803836334497,45.824530767742544,30037,0.0015256027821600874,116
57,43.212999999999994,44.43300000000001,2.204400000000007,5.220158849689563,114,30127,49.598602866055444,39,39,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260601_213200_budget100_seeds100/seed_runs/seed_000057,49.598602866055444,0.001614114036783576,0.1300212750211358,0.05159121914766729,0.17987250513397157,49.22973580076359,0.0004971700254827738,0.0010037377942353487,0.001928494544699788,30.394477021181956,15.378516476601362,45.77299349778332,30127,0.0015193346001189404,115
7217,42.8386,44.22749999999999,1.998899999999992,4.7335218311760086,108,30005,49.43653384200297,36,36,max_evaluations,3,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260601_213200_budget100_seeds100/seed_runs/seed_007217,49.43653384200297,0.0016153901815414429,0.0635177691001445,0.04697013879194856,0.17053215811029077,49.148497477173805,0.00046832230873405933,0.0009382523130625486,0.001742267282679677,30.313300790498033,15.314942233031616,45.62824302352965,30005,0.0015206879861199684,109
395,42.8907,44.3677,2.139099999999999,5.065524312906417,115,30011,49.47059841314331,43,43,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260601_213200_budget100_seeds100/seed_runs/seed_000395,49.47059841314331,0.001639715163037181,0.0797319549601525,0.049402864184230566,0.1811109888367355,49.15298326918855,0.0004973576869815588,0.0009569700341671705,0.0019345767796039581,30.266754512209445,15.39403879782185,45.660793310031295,30011,0.0015214685718580286,116
2949,42.964,44.724500000000006,2.495900000000006,5.910449316340125,109,30106,49.48950373707339,36,36,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260601_213200_budget100_seeds100/seed_runs/seed_002949,49.48950373707339,0.0016149971634149551,0.08085460588335991,0.051522700348868966,0.17131267162039876,49.17894164426252,0.0004564204718917608,0.0009303293190896511,0.001630829880014062,30.34923793002963,15.317802659235895,45.667040589265525,30106,0.001516875061092989,110
2177,42.9477,44.3146,2.0859999999999985,4.939780148998542,118,30242,49.73861198499799,41,41,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260601_213200_budget100_seeds100/seed_runs/seed_002177,49.73861198499799,0.0016189960297197104,0.08573854994028807,0.050750392489135265,0.18528252211399376,49.409589084330946,0.0004860635381191969,0.00098308059386909,0.0018679860513657331,30.50610498455353,15.393852879758924,45.899957864312455,30242,0.001517755368835145,119
4854,43.4854,44.5964,2.3678000000000026,5.607100401149937,103,30122,49.654994043987244,27,27,max_evaluations,7,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260601_213200_budget100_seeds100/seed_runs/seed_004854,49.654994043987244,0.0016272789798676968,0.08550240308977664,0.06837249197997153,0.1632418087683618,49.33148126560263,0.000404934398829937,0.0008628282230347395,0.0013584254775196314,30.410319842398167,15.381811054656282,45.79213089705445,30122,0.0015202221265870276,104
1356,42.9713,44.79559999999999,2.566999999999993,6.078818620555721,104,30390,50.0525896770414,22,22,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260601_213200_budget100_seeds100/seed_runs/seed_001356,50.0525896770414,0.001643399940803647,0.07887063501402736,0.0640230665449053,0.16484441538341343,49.73848049668595,0.00039725005626678467,0.0008750457782298326,0.0012680604122579098,30.656055656261742,15.52119690948166,46.1772525657434,30390,0.001519488402953057,105
3557,42.3874,44.4991,2.2704999999999984,5.376687837153016,110,30045,49.37425092491321,42,42,max_evaluations,3,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260601_213200_budget100_seeds100/seed_runs/seed_003557,49.37425092491321,0.001624308992177248,0.08057503192685544,0.04881334351375699,0.17326773633249104,49.06419415725395,0.00048458389937877655,0.0009427950717508793,0.002048920840024948,30.209579853573814,15.361979839159176,45.57155969273299,30045,0.0015167768245209848,111
3801,43.2003,44.01390000000001,1.7853000000000065,4.227703499524035,107,30042,49.378588177030906,28,28,max_evaluations,5,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/shinjuku_toquio/elderly/dataset_hex194_impacts1980/run_20260601_213200_budget100_seeds100/seed_runs/seed_003801,49.378588177030906,0.001616006949916482,0.10680461884476244,0.053283975226804614,0.16833594907075167,49.04369659139775,0.0004087716806679964,0.0008715377189218998,0.001373304519802332,30.240342773962766,15.32939874031581,45.569741514278576,30042,0.00151686776893278,108
